"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1.34","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month11",9.16550940713529e-05,1.80468348014211e-06,50.7873513997786,0,NA,NA,5335033221
"1.35","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month12",-0.000215167765645773,1.51459947350792e-06,-142.062485435459,0,NA,NA,5335033221
"1.36","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayMonday",0.000157799438180417,1.09361097275914e-06,144.292113110657,0,NA,NA,5335033221
"1.37","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayTuesday",0.000208738725725081,1.12369468486554e-06,185.761068853021,0,NA,NA,5335033221
"1.38","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayWednesday",0.000238445585654699,1.14082042150971e-06,209.012374918,0,NA,NA,5335033221
"1.39","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayThursday",0.000211719148944236,1.12746448933515e-06,187.78342994118,0,NA,NA,5335033221
"1.40","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayFriday",0.000171799381971881,1.10408765199407e-06,155.6030281306,0,NA,NA,5335033221
"1.41","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdaySaturday",3.63798607514175e-05,1.01821190550885e-06,35.7291645821373,1.39399830890693e-279,NA,NA,5335033221
"2","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","(Intercept)",-0.000112342123538979,3.33809948241845e-06,-33.6545163290302,2.67814084034664e-248,NA,NA,4340212273
"2.1","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policyTRUE",8.39061184888772e-06,6.10668749083291e-07,13.74003805088,5.84451896509116e-43,NA,NA,4340212273
"2.2","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy01",3.52634622540177e-05,2.23808449228743e-06,15.7560906996754,6.23740991467139e-56,NA,NA,4340212273
"2.3","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy02",2.19998766973542e-05,2.19112321543375e-06,10.040456210948,1.0120505632461e-23,NA,NA,4340212273
"2.4","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy03",-3.85725772228161e-06,2.11230703319569e-06,-1.82608761967998,0.0678370648217389,NA,NA,4340212273
"2.5","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy04",-4.04165351732689e-05,1.94461827497718e-06,-20.7837886197707,6.06769403246374e-96,NA,NA,4340212273
"2.6","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy05",-3.91713466212261e-05,1.82425207297127e-06,-21.4725515193881,2.8115428194762e-102,NA,NA,4340212273
"2.7","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy06",-4.82073101035327e-05,2.16726395917701e-06,-22.2433958260621,1.30684106129766e-109,NA,NA,4340212273
"2.8","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy07",-3.98110880210821e-05,2.11583241476628e-06,-18.8158040037777,5.60520726499242e-79,NA,NA,4340212273
"2.9","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy08",-5.30364065255497e-05,2.07211597348122e-06,-25.5952886828274,1.72143199331439e-144,NA,NA,4340212273
"2.10","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy09",-5.31654430838897e-05,1.30239748995622e-06,-40.8212112614535,0,NA,NA,4340212273
"2.11","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy10",-0.000103116923035545,1.6105249929924e-06,-64.0269002245977,0,NA,NA,4340212273
"2.12","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy11",-5.24837272176827e-05,2.03590454185041e-06,-25.7790707465983,1.52249642833658e-146,NA,NA,4340212273
"2.13","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy12",-2.19352536476064e-05,2.05852596206387e-06,-10.6558061699714,1.63819220168724e-26,NA,NA,4340212273
"2.14","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp16-19",0.000271963019715073,3.70091299790736e-06,73.4853858679875,0,NA,NA,4340212273
"2.15","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp20-24",0.000269172757119126,3.37062579521583e-06,79.8583923202575,0,NA,NA,4340212273
"2.16","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp25-34",0.000209732918136348,3.23176634715813e-06,64.897302467667,0,NA,NA,4340212273
"2.17","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp35-44",0.000191623142174463,3.2198873314707e-06,59.5123749522436,0,NA,NA,4340212273
"2.18","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp45-54",0.00013968547057921,3.20432182524438e-06,43.5928343647432,0,NA,NA,4340212273
"2.19","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp55-64",9.20086462393447e-05,3.2053518267211e-06,28.7046949019211,3.33383831563431e-181,NA,NA,4340212273
"2.20","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp65-199",4.65047236549531e-05,3.20181956212003e-06,14.5244673388655,8.47991140055629e-48,NA,NA,4340212273
"2.21","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","curr_pts_grp1-3",0.000434148469585314,1.21924571061717e-06,356.079554600649,0,NA,NA,4340212273
"2.22","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","curr_pts_grp4-6",0.000903340125408454,3.43924176742742e-06,262.65676753634,0,NA,NA,4340212273
"2.23","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","curr_pts_grp7-9",0.00127403517844347,7.67081468759468e-06,166.08863990729,0,NA,NA,4340212273
"2.24","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","curr_pts_grp10-150",0.00174505540332985,1.37499325127717e-05,126.913743155389,0,NA,NA,4340212273
"2.25","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month02",4.51446057769351e-05,1.41026649795248e-06,32.0114005703739,7.56828379767315e-225,NA,NA,4340212273
"2.26","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month03",5.67196808795266e-05,1.38992979159086e-06,40.8075869894172,0,NA,NA,4340212273
"2.27","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month04",4.24932052046272e-05,1.3841537153268e-06,30.6997732506859,5.73175544885871e-207,NA,NA,4340212273
"2.28","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month05",5.28327228040968e-05,1.38841590755836e-06,38.0525190733426,7.82280717792192e-317,NA,NA,4340212273
"2.29","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month06",4.1254513514832e-05,1.38355285137394e-06,29.8178081696439,2.29625148921474e-195,NA,NA,4340212273
"2.30","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month07",2.51157325025278e-05,1.34708916867798e-06,18.6444469204486,1.40096688843912e-77,NA,NA,4340212273
"2.31","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month08",3.37939782148678e-06,1.31998749308922e-06,2.56017412223948,0.010461973101122,NA,NA,4340212273
"2.32","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month09",8.8766714795357e-05,1.44287619693857e-06,61.5206730720891,0,NA,NA,4340212273
"2.33","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month10",7.6234454416169e-05,1.41562198366043e-06,53.8522679755555,0,NA,NA,4340212273
"2.34","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month11",7.41639603095779e-05,1.42661183313209e-06,51.9860823996902,0,NA,NA,4340212273
"2.35","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month12",-0.000104917504447385,1.15839386724258e-06,-90.5715296103295,0,NA,NA,4340212273
"2.36","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","weekdayMonday",0.000132451719090577,8.3332108657425e-07,158.944398773204,0,NA,NA,4340212273
"2.37","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","weekdayTuesday",0.000175440281212159,8.73838452059625e-07,200.769696960174,0,NA,NA,4340212273
"2.38","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","weekdayWednesday",0.000191284416475312,8.88367203356333e-07,215.321339816038,0,NA,NA,4340212273
"2.39","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","weekdayThursday",0.000171288241704344,8.7173221743565e-07,196.491810533535,0,NA,NA,4340212273
"2.40","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","weekdayFriday",0.000124388593929823,8.27190709885187e-07,150.374747253978,0,NA,NA,4340212273
"2.41","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","weekdaySaturday",2.15679253630183e-05,7.18046953225365e-07,30.0369290143747,3.23496731958787e-198,NA,NA,4340212273
"3","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","(Intercept)",-9.14470304243605,0.0195138514258396,-468.626251316382,0,NA,NA,5335033221
"3.1","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policyTRUE",-0.076218597397908,0.0014515766359944,-52.5074567252831,0,-4.03655739428127,-16.4792223555661,5335033221
"3.2","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy01",0.148254189583027,0.00465506400230002,31.8479379681517,1.40574407109118e-222,9.94492625896953,38.5316937858159,5335033221
"3.3","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy02",0.110962698130775,0.00455825842069273,24.3432223208423,6.83930037582997e-131,7.28618233284412,27.2675407996353,5335033221
"3.4","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy03",0.0379512690398919,0.00476103453335442,7.97122322344364,1.57111428606543e-15,2.2159810118819,8.3591220976946,5335033221
"3.5","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy04",-0.096475297387763,0.00487164480778168,-19.8034341981704,2.78074681050714e-87,-4.72006423747483,-17.3888345084069,5335033221
"3.6","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy05",-0.0968711237859282,0.00517819129225664,-18.7075212788657,4.29910475123112e-78,-4.13290188744537,-17.4499075247146,5335033221
"3.7","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy06",-0.120598440508114,0.00468461017173951,-25.7435381145776,3.80786241955116e-146,-6.4409867400997,-20.9715606389986,5335033221
"3.8","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy07",-0.078210381336893,0.00462806720755693,-16.8991455459392,4.56473266828824e-64,-4.26532170610864,-14.4849365326112,5335033221
"3.9","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy08",-0.13201131087559,0.00488454694360503,-27.0263163400287,7.25249592925837e-161,-6.3290665536597,-22.5705798630342,5335033221
"3.10","all","Monthly 4 yr.","mnwk","no","no","all","Male","Logit","policy_monthpolicy09",-0.250318471695829,0.00712195368522331,-35.1474444737253,1.27175452982511e-270,-4.93318605869875,-35.9258828464968,5335033221
