"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"13.12","high","4 yr.","mnwk","no","no","4","Female","LPM","curr_pts_grp10-150",1.13326982850241e-05,1.2759119315746e-06,8.88203801890815,6.56468104796773e-19,NA,NA,249294627
"13.13","high","4 yr.","mnwk","no","no","4","Female","LPM","month02",2.06393753645612e-07,3.91753617813584e-07,0.526845813951933,0.598300665574912,NA,NA,249294627
"13.14","high","4 yr.","mnwk","no","no","4","Female","LPM","month03",6.7145983529718e-07,4.07546612816303e-07,1.64756573648628,0.0994418175988735,NA,NA,249294627
"13.15","high","4 yr.","mnwk","no","no","4","Female","LPM","month04",1.15684570483568e-06,4.49942653607795e-07,2.57109588424145,0.0101377260165739,NA,NA,249294627
"13.16","high","4 yr.","mnwk","no","no","4","Female","LPM","month05",8.85609629296426e-07,4.28656369752127e-07,2.06601299266481,0.0388272538260148,NA,NA,249294627
"13.17","high","4 yr.","mnwk","no","no","4","Female","LPM","month06",1.08198287342944e-06,4.43221575879558e-07,2.44117825555374,0.0146394274110457,NA,NA,249294627
"13.18","high","4 yr.","mnwk","no","no","4","Female","LPM","month07",1.0584952677167e-06,4.36224732312388e-07,2.42649072670801,0.0152456406439825,NA,NA,249294627
"13.19","high","4 yr.","mnwk","no","no","4","Female","LPM","month08",7.30880091220137e-07,4.17051295931898e-07,1.75249447334048,0.0796888205834025,NA,NA,249294627
"13.20","high","4 yr.","mnwk","no","no","4","Female","LPM","month09",1.05682844837972e-06,4.38856623938206e-07,2.40814058791221,0.0160340059313156,NA,NA,249294627
"13.21","high","4 yr.","mnwk","no","no","4","Female","LPM","month10",1.5421774990861e-06,4.59153098468068e-07,3.35874353071223,0.000782977091306203,NA,NA,249294627
"13.22","high","4 yr.","mnwk","no","no","4","Female","LPM","month11",1.30783956973394e-06,4.5107951513992e-07,2.89935482733741,0.00373931493871515,NA,NA,249294627
"13.23","high","4 yr.","mnwk","no","no","4","Female","LPM","month12",4.28321850268622e-08,3.73533580754135e-07,0.114667561991046,0.908708626162953,NA,NA,249294627
"13.24","high","4 yr.","mnwk","no","no","4","Female","LPM","weekdayMonday",-1.96905154203902e-07,3.37892241646965e-07,-0.582745413875563,0.560064696899238,NA,NA,249294627
