"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"month09",-5.43930408905865e-13,1.15973116543646e-14,1.08852342722156e-14,1.10255881170408e-15,-5.11354166873917e-15,-4.3249505369261e-15,-2.81719037101407e-15,-2.30958245420032e-15,1.78081689341406e-14,2.12624858273542e-14,2.23520644197795e-14,4.46405264003185e-14,3.35392174876416e-14,4.63488041466834e-14,5.31161327390179e-14,5.113019168621e-14,3.72607134124548e-14,7.8390440763978e-14,5.23227627496723e-13,5.23407106959125e-13,5.23522938253664e-13,5.23264368374725e-13,5.23280906397608e-13,5.23282137138462e-13,5.23318161279792e-13,1.23359601311809e-12,5.23110495232817e-13,5.23372920619921e-13,5.23008182109478e-13,1.86852219545328e-14,1.3706595787361e-14,1.97233838961855e-14,2.05644668139909e-14,2.218468042824e-14,5.1299819551958e-15,-1.15356682294815e-14,-9.55936561735475e-15,-6.686388131338e-15,-6.65112611700661e-15,-7.25880695853506e-15,-8.61238469601299e-15,1.63282225056074e-14,1.13886012946594e-14,1.17646594838553e-14,1.7295374267309e-14,2.16508284886081e-14,2.04437276717472e-14,2.28562686165518e-14,3.08587681714425e-14,4.13169001176848e-14,5.65427094879145e-14
"month10",-5.33214483864191e-13,1.19607983241011e-14,8.38628799273874e-15,2.86931383974954e-16,-5.01660663049161e-15,-4.148818085483e-15,-2.3489075183829e-15,-9.18162274381548e-16,1.5873252531663e-14,1.99196451108348e-14,1.50055211393313e-14,3.76787752156403e-14,2.57795154207819e-14,3.57539485671852e-14,4.85791226244294e-14,4.09141835341544e-14,3.05189661907035e-14,6.98297461043826e-14,5.23034159012532e-13,5.23062398265913e-13,5.23258485440974e-13,5.2311172361789e-13,5.22954067411843e-13,5.23162410353792e-13,5.231159302547e-13,5.23110495232815e-13,1.19074761440879e-12,5.23103129743338e-13,5.23028816940529e-13,9.46787746090303e-15,-8.27378001232411e-16,2.29259315658804e-15,2.06604464323023e-15,1.29975218022723e-14,1.65156422803504e-15,-1.11534835646973e-14,-8.58386934943944e-15,-5.34735124246694e-15,-5.60057610436487e-15,-8.15607197113352e-15,-1.04527136738291e-14,1.96740311638093e-14,1.21573177645634e-14,1.4101515864485e-14,1.70889136732962e-14,2.1604603403774e-14,1.7852923911599e-14,3.34538906390881e-14,3.5445531908715e-14,3.39632230835498e-14,4.15541824389389e-14
"month11",-5.4191221205965e-13,8.36647678601921e-15,6.10490903401985e-15,2.01939946750169e-15,1.0250686618976e-15,5.15871888291718e-16,1.64418343653792e-15,5.07522201252092e-16,2.63008027834929e-14,2.05230895171765e-14,1.71385757666256e-14,3.43937569666999e-14,2.78680436986968e-14,3.13232418124631e-14,4.67594731518163e-14,5.15840153198783e-14,3.73341368434001e-14,6.03785776967018e-14,5.23249963946466e-13,5.23357731525601e-13,5.23543226757016e-13,5.23345056802445e-13,5.23328113574912e-13,5.23434752571328e-13,5.2342500391438e-13,5.2337292061992e-13,5.23103129743338e-13,1.19043494058803e-12,5.23162936360195e-13,1.34441522324646e-14,1.41410444539807e-14,1.60086932643973e-14,5.99475801460857e-15,2.17305050209412e-14,8.92995680632244e-15,-7.25649487392891e-15,-6.99963859913295e-15,-6.51344876727257e-15,-5.69357035506785e-15,-7.32253762020942e-15,-6.7342590574194e-15,-3.20227500360747e-16,5.39051707919805e-15,7.63201294565774e-15,1.09550916351397e-14,1.53841866170731e-14,1.20230578165832e-14,5.79277481270526e-15,1.16044256234718e-14,2.45782865790614e-14,2.19426565986557e-14
"month12",-5.14879087205216e-13,-4.77012998520968e-15,-7.8864884668472e-15,-5.26677425186996e-15,-6.20107849279871e-15,-5.02585962385786e-15,-1.63512060121835e-15,3.62130539118505e-15,-3.57265360602225e-14,-4.39188788914753e-14,-4.83413056136267e-14,-6.9818921833351e-14,-8.28766992662674e-14,-8.87904625915679e-14,-1.07598172126683e-13,-1.26499059865043e-13,-1.20599364258712e-13,-1.6680836682651e-13,5.23224435358059e-13,5.23444038584654e-13,5.22983229938304e-13,5.22787094562606e-13,5.22713598319132e-13,5.23018051796642e-13,5.22934771221317e-13,5.23008182109475e-13,5.23028816940527e-13,5.23162936360192e-13,8.25535470213322e-13,1.38022849241144e-15,8.57735515447943e-16,-5.62073336052206e-15,8.74783460422775e-16,1.27926263678278e-14,7.01958382065886e-15,9.9171859413111e-15,9.07391774839551e-15,7.956225852812e-15,9.96978910621827e-15,8.9710413130594e-15,7.23394823406512e-15,5.99935550946517e-15,1.37224952032185e-14,1.56259214814566e-14,2.21001290530056e-14,2.41658187531729e-14,2.18164205199907e-14,3.92537994658649e-14,4.65196963225332e-14,4.36048399041932e-14,7.90383667393716e-14
"weekdayMonday",-2.7813207088089e-13,1.05929509858568e-15,-2.64660325218577e-15,4.32121701585568e-15,9.38033628534381e-15,9.44860056075914e-15,1.00386918158216e-14,9.07212573940839e-15,2.98036766610697e-14,3.39520388789987e-14,3.63188129368823e-14,6.82527066550261e-14,6.46713696650401e-14,7.3803640586531e-14,8.80088848369237e-14,9.5560728682834e-14,8.72229960042416e-14,1.24777842091953e-13,1.36750754570242e-14,4.22954010092204e-15,1.32949363429176e-14,1.45478087151905e-14,1.10854544972335e-14,8.42200984221707e-15,1.22963746359994e-14,1.86852219545312e-14,9.46787746090175e-15,1.34441522324628e-14,1.38022849241163e-15,6.11282140946392e-13,2.52751851366886e-13,2.52763760582424e-13,2.52707359473426e-13,2.52681608621469e-13,2.52749813590063e-13,1.8983431337999e-15,2.24278973517184e-16,-7.44906225729624e-17,-1.37372236849679e-15,-1.32604569853213e-15,-2.49502155160544e-15,-4.43333947545577e-16,-2.01514830427917e-15,-1.73973702417021e-15,-9.16701626481269e-15,-3.72212258595189e-16,-4.03159790462256e-15,-3.86132370866207e-15,-1.23459586227035e-14,1.43031559789309e-14,-9.44360671459593e-15
"weekdayTuesday",-2.81975707495435e-13,2.45015134797728e-15,-2.16058895568e-15,5.97795808136964e-15,1.30396073033535e-14,1.2664753804843e-14,1.2072167652536e-14,1.19065948594997e-14,3.07528299305747e-14,4.33270342313264e-14,4.7892890879361e-14,7.66986235795179e-14,8.0740636183799e-14,9.24792994292174e-14,1.09756148520936e-13,1.24371167012735e-13,1.1329296988665e-13,1.66060766533661e-13,1.28888464520052e-14,1.24901648756313e-14,1.13936114572067e-14,1.13675896004494e-14,1.1930635002983e-14,1.00117165669227e-14,1.47863148974544e-14,1.37065957873588e-14,-8.27378001234542e-16,1.41410444539785e-14,8.57735515447542e-16,2.52751851366887e-13,6.45205818749925e-13,2.52881574698319e-13,2.52776385669379e-13,2.52819356399504e-13,2.52792585796143e-13,-1.35709135641807e-15,-1.81352865460294e-15,-2.30935797781736e-15,-3.84578320394924e-15,-3.10826597490555e-15,-5.71980045582615e-15,1.08467502203198e-14,-1.58288359642004e-15,2.13838962430718e-16,1.80801664915992e-16,4.86107159728917e-15,2.1529093395858e-15,1.10947477644665e-14,-5.26057426412386e-15,2.38003967603838e-14,-2.05277717527228e-14
"weekdayWednesday",-2.85286970231512e-13,4.22741679600694e-15,-9.78044441713766e-16,7.49994812631381e-15,1.55474040472493e-14,1.56503783439218e-14,1.45611502283037e-14,1.3618946567975e-14,3.87329549708949e-14,4.95113149253574e-14,5.61177287952706e-14,9.23089137220872e-14,9.02857805208956e-14,1.07305410020058e-13,1.2629627402602e-13,1.42771639232311e-13,1.32671119469768e-13,1.71180470577437e-13,1.0494146333054e-14,1.16077873655154e-14,1.40316578270153e-14,8.29546541659267e-15,1.76538511479047e-14,1.0050667229041e-14,1.15245849841405e-14,1.97233838961857e-14,2.29259315658913e-15,1.60086932643975e-14,-5.6207333605199e-15,2.52763760582426e-13,2.52881574698321e-13,6.64973085658361e-13,2.52840952240183e-13,2.52819552638524e-13,2.52800308713529e-13,-2.43052638152874e-15,-3.63985853954289e-15,-4.95521398746602e-15,-6.93284880312966e-15,-6.1107684296475e-15,-8.0633480957407e-15,1.59292674733929e-15,-1.29487066921229e-15,-2.10624588001968e-15,-4.76819731804239e-15,1.1021356477876e-15,-2.13472894338322e-15,-9.8587899796859e-15,-1.80547977337994e-14,1.44910265172795e-14,-6.20543393741047e-15
"weekdayThursday",-2.82022044028015e-13,2.1638672000392e-15,-3.92279731911422e-16,6.2430971995117e-15,1.36634341275327e-14,1.41994171068607e-14,1.36502864355053e-14,1.14613737665725e-14,3.3833727582414e-14,4.56766246965958e-14,5.10006714307527e-14,8.21926727426293e-14,8.29803296121211e-14,1.00591513536643e-13,1.28844775854453e-13,1.32220061708736e-13,1.2479461764649e-13,1.72687914292291e-13,9.9105260770546e-15,1.4979965337832e-14,1.47308839201867e-14,8.80272676649361e-15,1.20855220093273e-14,8.60592007576133e-15,1.04283473820866e-14,2.05644668139902e-14,2.06604464323026e-15,5.99475801460773e-15,8.74783460424377e-16,2.52707359473426e-13,2.52776385669379e-13,2.52840952240182e-13,6.49367634699408e-13,2.52846145540455e-13,2.52760665373566e-13,-2.87251272625501e-15,-2.18062080031759e-15,-2.86496160865714e-15,-5.02078567824538e-15,-4.92312699131072e-15,-5.07640084646566e-15,9.65041324702685e-16,-4.7834351769491e-15,-6.42050230170793e-15,-6.71716790801741e-15,-5.22310534149974e-15,-1.27433568275735e-14,-2.36519351434676e-14,-1.91481375515624e-14,1.21139963724567e-14,-2.97145497175082e-14
"weekdayFriday",-2.84660106655463e-13,5.84740792277523e-15,1.93311539069613e-15,5.23611565212892e-15,9.52072977196507e-15,9.9384047015079e-15,7.86156064574927e-15,4.7966680437526e-15,2.89726154112214e-14,3.45219755433111e-14,3.62757429346623e-14,6.44178344501489e-14,6.36241694010413e-14,7.18763788165481e-14,9.58152799451438e-14,9.39160020082614e-14,7.74034992653167e-14,1.24694136199677e-13,1.25301552781448e-14,2.04162984391466e-14,2.55768479926097e-14,1.81720691685541e-14,1.69895330435064e-14,1.9835303288971e-14,1.72747833713974e-14,2.21846804282402e-14,1.29975218022727e-14,2.17305050209414e-14,1.27926263678299e-14,2.5268160862147e-13,2.52819356399505e-13,2.52819552638525e-13,2.52846145540457e-13,6.22964027035627e-13,2.52860161443684e-13,-5.87753393314959e-15,-5.76362422430971e-15,-5.35385957294175e-15,-7.74874370222891e-15,-6.39625663216731e-15,-6.86446557009329e-15,3.11183344125742e-15,9.3209961263468e-16,1.51699564109783e-15,-1.50936324860681e-15,3.49095966516643e-16,9.82528989923141e-16,-9.1143418191297e-15,-7.01914825568782e-15,2.83067041107548e-14,-3.94604193098418e-15
"weekdaySaturday",-2.60403972253236e-13,2.24158737329932e-15,9.46290997104701e-16,3.51986528191665e-16,1.22999878000169e-16,3.45859749522731e-16,-1.59904802888828e-15,-1.86888209971503e-15,5.88886882482054e-15,4.4810177083966e-15,7.60686101405934e-15,1.14742752879057e-14,1.04848520206434e-14,8.99310896439991e-15,2.21616665846403e-14,1.1173001998005e-14,1.36617340105297e-14,1.7631702604305e-14,8.66066944141296e-15,5.74862520313523e-15,9.92800929098852e-15,3.49635938650251e-15,7.17281020798477e-15,8.51078713180914e-15,8.68902423369357e-15,5.12998195519444e-15,1.6515642280338e-15,8.92995680632088e-15,7.01958382065878e-15,2.52749813590063e-13,2.52792585796144e-13,2.52800308713528e-13,2.52760665373566e-13,2.52860161443683e-13,5.29605254975632e-13,-2.83964828164492e-15,-1.71383658837047e-15,-1.38186431424667e-15,-2.4464623627619e-15,-1.91527633925161e-15,-2.41382899744658e-15,9.43204913686877e-17,2.30281763945974e-15,2.98873029072405e-16,1.5425289873965e-15,1.65910981343933e-16,4.08394634302362e-15,-1.11436530893439e-14,-1.38058118193232e-15,1.12256125197693e-14,1.30902770453517e-14
