"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"month09",-5.39979988767156e-13,4.06215270985329e-15,4.93359523034445e-15,-3.88008757514213e-15,-8.66365086902869e-15,-7.8481865169618e-15,-6.64227578189116e-15,-6.82539496345188e-15,1.7989983335753e-14,2.14545143527147e-14,2.25999662033679e-14,4.49232372546484e-14,3.38840402884993e-14,4.67386382966286e-14,5.35558437611222e-14,5.16101445021943e-14,3.77721549057293e-14,7.91046538613626e-14,5.2322738330039e-13,5.23407036761277e-13,5.23524576908558e-13,5.23266718867874e-13,5.23285424357198e-13,5.232869144367e-13,5.23322231837622e-13,1.23360244213156e-12,5.23114126645434e-13,5.23375652736601e-13,5.23008370989991e-13,1.86843249398848e-14,1.37060414403694e-14,1.97226127082079e-14,2.05641556377191e-14,2.21849503269504e-14,5.13023445163557e-15,1.61293543084056e-14,1.11370442615894e-14,1.14338366469889e-14,1.69663517362125e-14,2.11446690281678e-14,1.98742010959567e-14,2.22489961503798e-14,3.01320599404615e-14,4.0564233283566e-14,5.55220063340172e-14
"month10",-5.29428126713783e-13,4.68666159739577e-15,2.65272507627983e-15,-4.1743736520572e-15,-7.87349432055644e-15,-7.11203137350826e-15,-6.59838706923806e-15,-6.34540793465612e-15,1.59728756202395e-14,2.00364217100623e-14,1.51607462080953e-14,3.78083548555335e-14,2.59499476731525e-14,3.5969851141833e-14,4.88119981878596e-14,4.11757926060598e-14,3.08425280152191e-14,7.0302449344801e-14,5.23034281768342e-13,5.23062628137762e-13,5.23260016000299e-13,5.23113706582352e-13,5.22957633092636e-13,5.23166153864544e-13,5.23119130200294e-13,5.2311412664543e-13,1.19075219143685e-12,5.23105361504472e-13,5.23029146104904e-13,9.4671151331434e-15,-8.27893673601627e-16,2.29185372373517e-15,2.06572651691203e-15,1.29976556131551e-14,1.65170767409643e-15,1.9632835082347e-14,1.20671995684423e-14,1.39605645953265e-14,1.70629469404237e-14,2.14428779717908e-14,1.76252309268221e-14,3.32472518921834e-14,3.51400503725359e-14,3.35727770871337e-14,4.09832215012231e-14
"month11",-5.38659385036149e-13,2.09170854002935e-15,2.35360948054643e-15,-1.61086975985137e-15,-2.35884825732848e-15,-2.45791980677238e-15,-2.15193368467163e-15,-2.9903893291105e-15,2.64685944957337e-14,2.06978339753946e-14,1.73103795022756e-14,3.45478224346744e-14,2.80707525529665e-14,3.15349531912395e-14,4.69507149676948e-14,5.18098609028705e-14,3.75629696287362e-14,6.06410527179663e-14,5.23250248578579e-13,5.23358089752449e-13,5.23544534346761e-13,5.23346710274341e-13,5.23330843145738e-13,5.23437595178098e-13,5.23427485592171e-13,5.23375652736599e-13,5.23105361504476e-13,1.19043824650849e-12,5.23163475004987e-13,1.34437070146006e-14,1.41407854190626e-14,1.60082563170082e-14,5.99457535216243e-15,2.17306423368882e-14,8.93009971646379e-15,-5.31894306340804e-16,5.15117034581743e-15,7.42422232118025e-15,1.08079475102902e-14,1.5119093186166e-14,1.17642925472274e-14,5.5856954672951e-15,1.13187539636945e-14,2.43166351690688e-14,2.17031605864474e-14
"month12",-5.19111876350345e-13,3.53821078388821e-15,-2.82926337660387e-15,-6.36529428708978e-16,-2.12903679318976e-15,5.17964884757506e-17,2.94276028329401e-15,7.30977993723962e-15,-3.59657353808503e-14,-4.41635487494422e-14,-4.85596437991153e-14,-7.00598584630081e-14,-8.31634056974702e-14,-8.90722217527493e-14,-1.078814350809e-13,-1.26813328808135e-13,-1.2087425648946e-13,-1.67141077268271e-13,5.23225595015373e-13,5.23445568742304e-13,5.22981640468919e-13,5.22785662742067e-13,5.22712774461253e-13,5.23017543897794e-13,5.22934416708046e-13,5.23008370989986e-13,5.23029146104904e-13,5.23163475004984e-13,8.25536094171894e-13,1.37998538231874e-15,8.57567778622168e-16,-5.62101507943832e-15,8.74682011013499e-16,1.27926982636321e-14,7.01965301763088e-15,6.33835433706832e-15,1.40937939905741e-14,1.59100241323685e-14,2.23932812440302e-14,2.45931435765079e-14,2.22025992695782e-14,3.96153796077621e-14,4.69708192862038e-14,4.39421000112114e-14,7.93828090345299e-14
"weekdayMonday",-2.77786756959338e-13,3.66853182448143e-16,-1.70430257259438e-15,4.4314396076813e-15,9.3345121689059e-15,8.75716728897894e-15,9.36847909906093e-15,7.80174325172238e-15,2.9794170235612e-14,3.39480493352086e-14,3.62593475033099e-14,6.80912786150745e-14,6.45109839077074e-14,7.36216320623001e-14,8.7727781969398e-14,9.52880799858776e-14,8.69684222122894e-14,1.24348106044326e-13,1.36754625784894e-14,4.23014680990835e-15,1.32934391237855e-14,1.45462761929187e-14,1.10839142295827e-14,8.42054752976311e-15,1.22952752747585e-14,1.86843249398852e-14,9.46711513314596e-15,1.34437070146017e-14,1.37998538232229e-15,6.11283487793726e-13,2.52752520920028e-13,2.52764443753134e-13,2.52708056195158e-13,2.52682306114378e-13,2.52750480479269e-13,-4.0682238492366e-16,-1.96927078912548e-15,-1.58461264859046e-15,-8.84702248372174e-15,-2.4908998473026e-17,-3.63678038483302e-15,-3.31644934829347e-15,-1.17880943999661e-14,1.4834733487733e-14,-8.58545190970787e-15
"weekdayTuesday",-2.80475753801738e-13,-4.98566974581502e-16,-2.87721996282065e-15,5.03870744443866e-15,1.18455336839646e-14,1.07066227839886e-14,1.04848555531018e-14,8.98320047170341e-15,3.07828088400335e-14,4.33652346720135e-14,4.78764936931712e-14,7.65726607422847e-14,8.06220202422049e-14,9.23456700883076e-14,1.09522559747627e-13,1.24150868244516e-13,1.13101264100189e-13,1.657101776419e-13,1.28891445651439e-14,1.24906953378261e-14,1.13927042497476e-14,1.13666513875266e-14,1.19296785522414e-14,1.00108088198292e-14,1.47856300730475e-14,1.37060414403694e-14,-8.27893673599622e-16,1.41407854190632e-14,8.57567778624992e-16,2.52752520920028e-13,6.45207262493001e-13,2.52882250259214e-13,2.5277707862708e-13,2.52820060417166e-13,2.52793260279824e-13,1.08445677827513e-14,-1.58572537230552e-15,3.25596704905383e-16,4.87779526529269e-16,5.16403006077266e-15,2.49736885364843e-15,1.16018810935287e-14,-4.76175766720296e-15,2.42637457051147e-14,-1.97433671492364e-14
"weekdayWednesday",-2.8259577178689e-13,-1.05899728431947e-15,-2.26062297017713e-15,5.62132749877117e-15,1.30061237392826e-14,1.2120867267629e-14,1.14419787054261e-14,9.49921943593365e-15,3.88412804934037e-14,4.96293139150684e-14,5.61408939940134e-14,9.21818870575901e-14,9.01797273272e-14,1.07166552388815e-13,1.2600248341934e-13,1.42504400332282e-13,1.32421888698756e-13,1.70680409906155e-13,1.0494404005882e-14,1.16083431940578e-14,1.40304333880996e-14,8.29418262112616e-15,1.76525714795359e-14,1.00494379247638e-14,1.1523611460169e-14,1.97226127082055e-14,2.2918537237356e-15,1.60082563170072e-14,-5.62101507943741e-15,2.52764443753133e-13,2.52882250259213e-13,6.64974631085402e-13,2.52841646323057e-13,2.52820250420003e-13,2.52800977117365e-13,1.47388346743081e-15,-1.41375168969056e-15,-2.02214870773183e-15,-4.42323271488691e-15,1.42437535593288e-15,-1.7248660589954e-15,-9.20230007682564e-15,-1.74189434610334e-14,1.512488865693e-14,-5.05378676755704e-15
"weekdayThursday",-2.80158571064617e-13,-1.49919783025342e-15,-1.87275610589899e-15,5.11396357099672e-15,1.21836853365724e-14,1.16461919636669e-14,1.11405834603436e-14,8.86966415178875e-15,3.39142089773237e-14,4.57629525005153e-14,5.10205398194789e-14,8.21308454457226e-14,8.29169065472338e-14,1.00508212986293e-13,1.28672930180818e-13,1.32057076045497e-13,1.24647451620614e-13,1.72400885237818e-13,9.91070196076385e-15,1.49802834110641e-14,1.47304098792209e-14,8.80215647069475e-15,1.20849636543716e-14,8.60532378450265e-15,1.04279275291955e-14,2.0564155637717e-14,2.06572651691241e-15,5.99457535216139e-15,8.74682011014182e-16,2.52708056195158e-13,2.52777078627079e-13,2.52841646323057e-13,6.49369169256663e-13,2.5284683722713e-13,2.52761341653399e-13,8.71385318606545e-16,-4.87769803436133e-15,-6.37442717006165e-15,-6.5237235753006e-15,-5.02607978876678e-15,-1.24932531933852e-14,-2.32557921749893e-14,-1.87578780680473e-14,1.24941569917646e-14,-2.9039021311539e-14
"weekdayFriday",-2.81581919698712e-13,-1.83948856430077e-16,-1.0843414891901e-15,2.27935733086413e-15,6.76347616428123e-15,5.98676991923158e-15,4.58899219681332e-15,1.28517555175793e-15,2.91274553532601e-14,3.46834521617233e-14,3.63893764675317e-14,6.44821594153704e-14,6.37175678352871e-14,7.19574556138613e-14,9.58357995915645e-14,9.39624044481304e-14,7.74468166620977e-14,1.24671078913674e-13,1.25301214086296e-14,2.04162474365921e-14,2.55773141269278e-14,1.81724689329583e-14,1.69899131087842e-14,1.98355900468168e-14,1.72750945490105e-14,2.21849503269502e-14,1.29976556131576e-14,2.17306423368886e-14,1.27926982636351e-14,2.52682306114377e-13,2.52820060417166e-13,2.52820250420004e-13,2.52846837227131e-13,6.22965668783097e-13,2.52860844162955e-13,2.9117218250011e-15,7.15273364617993e-16,1.41708948196657e-15,-1.50677102150433e-15,2.7980710296487e-16,9.60857609322457e-16,-9.02475783749966e-15,-6.98220996526092e-15,2.83816395998654e-14,-3.67917911218864e-15
"weekdaySaturday",-2.59424664657285e-13,3.25504529011378e-16,-4.99575715457188e-16,-5.30440368421556e-16,-5.97833368793564e-16,-9.03749152813769e-16,-2.58137371401008e-15,-3.1058136575396e-15,5.9280261899495e-15,4.52266814493931e-15,7.64233211203798e-15,1.15061223644984e-14,1.05176895198976e-14,9.02923064744649e-15,2.21958350218108e-14,1.12097724934029e-14,1.37065527895052e-14,1.76886795797815e-14,8.66061046997954e-15,5.7485772389946e-15,9.92841586823818e-15,3.49675026351145e-15,7.17321493554889e-15,8.51110823586452e-15,8.68939173680879e-15,5.13023445163453e-15,1.6517076740983e-15,8.9300997164638e-15,7.01965301763324e-15,2.52750480479269e-13,2.52793260279823e-13,2.52800977117366e-13,2.527613416534e-13,2.52860844162954e-13,5.29606715216524e-13,5.17414991796606e-17,2.25194548486361e-15,2.65869773294643e-16,1.5295162010322e-15,1.35060208105932e-16,4.05237876940161e-15,-1.11618217690926e-14,-1.41380703992705e-15,1.11861072433495e-14,1.30491964366403e-14
