"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"policyTRUE:curr_pts_reg1",5.53843343202836e-14,-3.02643638119977e-13,1.99992910192275e-14,7.67504610118792e-14,5.1113027349535e-14,7.36862746626355e-14,8.56816510759917e-14,7.86901423104769e-14,-3.22743862043845e-11,-1.51426788657423e-13,-1.51056940445758e-13,-1.49014940901591e-13,-1.49347367019153e-13,-1.50035515549222e-13,-1.46101207172003e-13,-1.48464172212939e-13,-1.49551994709562e-13,-1.46783155520568e-13,2.80278285431661e-14,3.38501629707552e-14,4.58424682638462e-14,2.06334398770364e-14,2.98003421692465e-14,1.53534286643005e-14,1.27354107842821e-14,1.25789408967563e-14,1.09253812569573e-14,1.38801489974753e-14,1.8459976572208e-14,1.21881057517181e-14,1.34208673459997e-14,2.23849613248608e-15,3.23083253144254e-15,1.50744295256321e-14,1.13740804962653e-14,5.78899475255721e-11,3.03062542204279e-13,3.03332877700138e-13,3.03234947125747e-13,3.0293645955301e-13,3.03701442092279e-13,3.01834777178921e-13,3.03362883979559e-13,3.04917531499809e-13,3.06041081625737e-13
"policyTRUE:curr_pts_reg2",5.37159767473375e-14,-3.02457311236067e-13,4.80553268922963e-14,8.00644687742691e-14,8.02873603722663e-14,8.95020276761868e-14,1.06029218430034e-13,1.07474443382583e-13,-1.51748186282245e-13,-7.20856614025111e-12,-1.51856845743254e-13,-1.49585404132685e-13,-1.50243320727678e-13,-1.51508713423196e-13,-1.46542393930756e-13,-1.49215384291292e-13,-1.52369156780134e-13,-1.49404685331488e-13,1.68612967472956e-14,3.6016008142108e-14,2.58378527763439e-14,1.45197846884503e-14,1.17483785484365e-14,1.48226583603877e-14,2.84074963678125e-15,1.1521317624444e-14,1.39091421982441e-14,3.58095050040943e-15,1.38615816476677e-14,-9.9100492412165e-15,-2.39198104179576e-15,-6.05806016946416e-15,-1.15748512670091e-14,-4.04153271651908e-16,2.23073177914182e-15,3.03062542204278e-13,1.26451250573273e-11,3.03987291948907e-13,3.04130898046657e-13,3.03870692538429e-13,3.04702635695946e-13,3.0217742097783e-13,3.03372472914741e-13,3.04454074853979e-13,3.06981661755501e-13
"policyTRUE:curr_pts_reg3",4.56452900654926e-14,-3.03003719260258e-13,4.28347850603607e-14,8.4818167708667e-14,7.40507086949717e-14,9.43740850564669e-14,1.02922505818087e-13,1.07719017623297e-13,-1.52447423487073e-13,-1.52267456551046e-13,-7.42418580523520e-12,-1.50112983247112e-13,-1.50764175109518e-13,-1.523253418117e-13,-1.46688019347533e-13,-1.49909400638803e-13,-1.52369541544735e-13,-1.50950383836841e-13,2.05199459498587e-14,3.82425101954124e-14,3.81011025798158e-14,2.01358426974029e-14,1.69113578421324e-14,1.32671387027773e-14,6.64646960346101e-15,2.06988735898271e-14,1.89962284237002e-14,6.63934620995336e-15,2.24448957069073e-14,-1.60734190541878e-15,1.71590518710719e-15,2.13535915278435e-16,-6.03817568763313e-15,3.83267330056111e-15,-1.58646752949586e-15,3.03332877700139e-13,3.03987291948907e-13,1.41925048493644e-11,3.04348946851845e-13,3.03906897036465e-13,3.05109785703236e-13,3.0180848657181e-13,3.03233676862891e-13,3.042457609164e-13,3.07864048391387e-13
"policyTRUE:curr_pts_reg4",4.58876862856576e-14,-3.03406204604452e-13,3.76012642260452e-14,7.17673306220574e-14,4.82770744092307e-14,9.22113036055975e-14,1.09103880752045e-13,9.69529063301654e-14,-1.50067918876729e-13,-1.50052364200407e-13,-1.49968740770769e-13,-9.23274725720035e-11,-1.47154748777866e-13,-1.4844337948799e-13,-1.43060508547799e-13,-1.45782340216443e-13,-1.48073867050176e-13,-1.44757170631054e-13,3.84311883082768e-14,6.67090444620908e-14,6.22534503385484e-14,2.79585639106192e-14,3.57941824363398e-14,3.0206097441392e-14,1.04355309970925e-14,2.46705169866654e-14,2.97438947229006e-14,2.27510816843506e-14,2.5252347467863e-14,-2.0662458857168e-14,-9.62168232445954e-15,1.78096659499753e-15,-7.10557138540245e-15,3.06977881078909e-15,1.2878412577488e-15,3.03234947125747e-13,3.0413089804666e-13,3.04348946851844e-13,1.53281004933877e-10,3.03890966331475e-13,3.04673341353273e-13,3.02309538302401e-13,3.03426869243674e-13,3.04363518203602e-13,3.05740485542295e-13
"policyTRUE:curr_pts_reg5",4.67770535582116e-14,-3.02906702666311e-13,-4.58523703958554e-15,7.51126214236918e-14,6.98058038348464e-14,6.75119075351453e-14,9.02800349591819e-14,9.19432189408044e-14,-1.52365498218887e-13,-1.52332711528058e-13,-1.52266989382163e-13,-1.5000161701933e-13,-6.28985041812085e-11,-1.52732942514245e-13,-1.46367996177323e-13,-1.4993079549162e-13,-1.51475803224312e-13,-1.5099296751203e-13,1.94101251150824e-14,7.32661015578078e-14,6.97740663362528e-14,3.66572573518788e-14,1.89622275660552e-14,4.84948286795292e-15,-1.55387426744797e-15,1.66533498871351e-14,1.09899326823234e-14,1.34736874299966e-14,3.07801187030373e-14,-3.78031360798227e-15,3.10579098851559e-14,1.38126842207203e-14,5.22158417150325e-15,5.24926794521941e-15,7.38721671593163e-15,3.0293645955301e-13,3.03870692538427e-13,3.03906897036466e-13,3.03890966331476e-13,1.12532846982716e-10,3.0524644528659e-13,3.01505763448279e-13,3.0317711919418e-13,3.02643201620324e-13,3.07923685768739e-13
"policyTRUE:curr_pts_reg6",5.37267526038605e-14,-3.03451460905452e-13,-3.37448283452313e-14,5.73387132173215e-14,5.7490752940697e-14,9.65440198937161e-14,7.94520488553633e-14,9.39771931767798e-14,-1.51401685516012e-13,-1.51603073508802e-13,-1.51242994299423e-13,-1.47493629340725e-13,-1.48572591975248e-13,-1.12434945054474e-10,-1.41227460657751e-13,-1.46131469803801e-13,-1.48160919360759e-13,-1.46809660548449e-13,3.95329414399937e-14,6.80088352727882e-14,7.7527767054103e-14,4.11500397839081e-14,4.56261658192991e-14,1.64242150669971e-14,3.33385766206574e-15,4.34194418042419e-14,4.77687548596851e-14,8.07574957739657e-15,3.79182010102624e-14,-1.86265165232541e-14,-1.11154333021486e-14,-1.78820399240115e-14,-1.98129928253104e-14,1.12819290154813e-14,2.86397526510971e-15,3.03701442092282e-13,3.04702635695945e-13,3.05109785703236e-13,3.04673341353274e-13,3.0524644528659e-13,1.99148459152023e-10,3.01552098123915e-13,3.04243672402121e-13,3.04440767478241e-13,3.11493449776992e-13
"policyTRUE:curr_pts_reg7",2.31283030944821e-14,-3.03120005105395e-13,4.95010973013667e-14,5.83683304290275e-14,2.78378208611937e-14,3.86977202382462e-14,6.55899482477369e-14,7.41103374813011e-14,-1.52050771619895e-13,-1.50743250954818e-13,-1.51428551158282e-13,-1.50538958599468e-13,-1.50972218198248e-13,-1.52164318060722e-13,-4.39018204575703e-10,-1.51560741960208e-13,-1.52523106638872e-13,-1.5453073638476e-13,8.81218641376777e-14,1.53814229162801e-13,1.69432569957712e-13,5.54051087821827e-14,6.51711305831334e-14,6.44950235545724e-14,1.53912889323478e-14,1.01166595549446e-13,6.36342511002768e-14,5.5379381103118e-14,8.39610597715238e-14,-3.4228233886645e-14,1.28594611094055e-14,2.27334121016824e-14,-2.63542591127024e-14,1.96782828440762e-14,1.62259254484691e-14,3.01834777178921e-13,3.02177420977829e-13,3.0180848657181e-13,3.02309538302404e-13,3.01505763448283e-13,3.01552098123919e-13,7.27506452408521e-10,2.99851664108696e-13,2.99310976255193e-13,3.01479684357759e-13
"policyTRUE:curr_pts_reg8",9.2143822060566e-14,-3.03176538345401e-13,8.98387951418401e-15,6.30820357245619e-14,5.56392107934845e-14,5.57683898888571e-14,1.01800597513629e-13,7.97879319516249e-14,-1.52204263282263e-13,-1.51248762926718e-13,-1.51480326867254e-13,-1.4903127616903e-13,-1.49971785262894e-13,-1.51720550927091e-13,-1.4494389058133e-13,-4.48595804647692e-10,-1.50049118826588e-13,-1.51293638425805e-13,-2.40360941091511e-15,6.85050058881162e-14,7.06626629888151e-14,4.57265226081038e-14,2.37974917981198e-14,1.89305311517164e-14,-1.82363920945233e-15,6.3369552846958e-14,2.30772774058118e-14,3.42841948447779e-14,-7.56246178039153e-15,-3.76762573487769e-14,-3.21637735973201e-14,-1.54991480033601e-14,-6.63298768356681e-14,-3.19953117178605e-14,-5.86089864512207e-14,3.03362883979563e-13,3.03372472914736e-13,3.03233676862894e-13,3.03426869243678e-13,3.03177119194183e-13,3.04243672402121e-13,2.99851664108692e-13,7.73420404140698e-10,3.00891762103105e-13,3.06312833470476e-13
"policyTRUE:curr_pts_reg9",-3.44665032501955e-14,-3.04196431307935e-13,1.05055108912766e-13,7.32822672642849e-14,8.74542592893657e-14,1.07069289169827e-13,1.42341415885312e-13,1.54471325587616e-13,-1.49499448600327e-13,-1.48335906039739e-13,-1.49473401260904e-13,-1.44491650430452e-13,-1.45353818828101e-13,-1.47691689328676e-13,-1.39542490069252e-13,-1.43772611564736e-13,-3.9687670855268e-10,-1.46065344979401e-13,5.92337640527114e-14,7.32932823765843e-14,1.49855148280331e-13,1.04003542177127e-13,1.101734627005e-13,8.68984667436377e-14,1.99590683806354e-14,1.05961995138674e-13,6.85758770386764e-14,6.47296514123933e-14,7.28648619639231e-14,-5.92125722050589e-15,1.12933159760042e-14,2.35648064203056e-15,-2.99243535601052e-14,2.1431558060899e-14,4.3931122383954e-15,3.04917531499809e-13,3.04454074853979e-13,3.04245760916402e-13,3.04363518203602e-13,3.02643201620324e-13,3.0444076747824e-13,2.99310976255191e-13,3.00891762103102e-13,7.16719645268069e-10,3.06262717878714e-13
"policyTRUE:curr_pts_reg10-150",-5.6173912213169e-14,-3.04996826930169e-13,-1.18858237611845e-13,1.07211065603061e-13,1.16509920793948e-13,1.46753786245912e-13,1.32237683592046e-13,1.32913286417503e-13,-1.51806251451279e-13,-1.52699292817253e-13,-1.51402498955897e-13,-1.44425188543949e-13,-1.46838560708814e-13,-1.49973646630992e-13,-1.33867999106169e-13,-1.41654165040595e-13,-1.40674052047035e-13,-5.79525479711825e-10,5.79534372127774e-14,1.12484732574452e-13,1.69536607950322e-13,1.28287586989741e-13,1.59933786633103e-13,9.23703466079499e-14,4.3521118289702e-14,1.35581520467196e-13,7.0991109732966e-14,2.15019274856938e-14,1.45366666525562e-13,-1.799299953968e-16,1.28835011514527e-14,-3.54878666197414e-14,-2.44248588999309e-14,3.53576201074168e-14,3.97655143400341e-14,3.06041081625732e-13,3.06981661755502e-13,3.07864048391388e-13,3.05740485542295e-13,3.07923685768745e-13,3.11493449776992e-13,3.01479684357752e-13,3.06312833470479e-13,3.06262717878715e-13,8.73495939356701e-10
