"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"53.20","all","4 yr.","mnwk","no","2","Female","Logit","month10",0.418183003068805,0.00686460984301616,60.9186847660762,0,NA,NA,5454392801
"53.21","all","4 yr.","mnwk","no","2","Female","Logit","month11",0.39157272295838,0.00696048546797439,56.2565247438602,0,NA,NA,5454392801
"53.22","all","4 yr.","mnwk","no","2","Female","Logit","month12",-0.616860471859736,0.00901071656817184,-68.4585368092307,0,NA,NA,5454392801
"53.23","all","4 yr.","mnwk","no","2","Female","Logit","weekdayMonday",0.715529730015003,0.00607851747073324,117.714514017624,0,NA,NA,5454392801
"53.24","all","4 yr.","mnwk","no","2","Female","Logit","weekdayTuesday",0.856746815589927,0.00594639444300536,144.078369472732,0,NA,NA,5454392801
"53.25","all","4 yr.","mnwk","no","2","Female","Logit","weekdayWednesday",0.891327048655481,0.00591714289409233,150.634700667003,0,NA,NA,5454392801
"53.26","all","4 yr.","mnwk","no","2","Female","Logit","weekdayThursday",0.829957332796193,0.00597420347870496,138.923512691621,0,NA,NA,5454392801
"53.27","all","4 yr.","mnwk","no","2","Female","Logit","weekdayFriday",0.659909643631556,0.00613982959551555,107.480123571108,0,NA,NA,5454392801
"53.28","all","4 yr.","mnwk","no","2","Female","Logit","weekdaySaturday",0.155288522133156,0.00678840120081207,22.8755663578899,8.13633661925326e-116,NA,NA,5454392801
"55","all","4 yr.","mnwk","no","3","Female","Logit","(Intercept)",-10.0759937468704,0.0101233967258831,-995.317482827535,0,NA,NA,5454392801
"55.1","all","4 yr.","mnwk","no","3","Female","Logit","policyTRUE",-0.115731892576431,0.00286526421537561,-40.3913509809635,0,-1.04292133938412,-8.25278815813758,5454392801
"55.2","all","4 yr.","mnwk","no","3","Female","Logit","age_grp20-24",0.12368748362187,0.00839959039830801,14.7254184735943,4.42720608499251e-49,1.81748903315373,8.78582678586604,5454392801
"55.3","all","4 yr.","mnwk","no","3","Female","Logit","age_grp25-34",-0.0795540206021881,0.00782189740906932,-10.1706806471211,2.68029094500003e-24,-0.996637725592106,-5.10368384242297,5454392801
"55.4","all","4 yr.","mnwk","no","3","Female","Logit","age_grp35-44",-0.113486321087706,0.00779745260209674,-14.5542816197677,5.48591987279054e-48,-1.37594861855709,-7.1601857914867,5454392801
"55.5","all","4 yr.","mnwk","no","3","Female","Logit","age_grp45-54",-0.321487827016928,0.0078893411721039,-40.749641827341,0,-3.25282991259905,-18.3511211942396,5454392801
"55.6","all","4 yr.","mnwk","no","3","Female","Logit","age_grp55-64",-0.538890575755431,0.00842956874856415,-63.9286055822515,0,-4.54122311631415,-27.8102605196662,5454392801
"55.7","all","4 yr.","mnwk","no","3","Female","Logit","age_grp65-199",-0.811064476163532,0.00952696570747598,-85.1335567973206,0,-5.55546399410969,-37.0932747396321,5454392801
"55.8","all","4 yr.","mnwk","no","3","Female","Logit","curr_pts_grp1-3",1.49490981849194,0.00341991369448503,437.119164996075,0,NA,NA,5454392801
"55.9","all","4 yr.","mnwk","no","3","Female","Logit","curr_pts_grp4-6",2.07332668787076,0.00495215466850433,418.671634199373,0,NA,NA,5454392801
"55.10","all","4 yr.","mnwk","no","3","Female","Logit","curr_pts_grp7-9",2.39652629067997,0.00770188627928406,311.160955093035,0,NA,NA,5454392801
"55.11","all","4 yr.","mnwk","no","3","Female","Logit","curr_pts_grp10-150",2.66121385651058,0.0102577069094462,259.43555221488,0,NA,NA,5454392801
"55.12","all","4 yr.","mnwk","no","3","Female","Logit","month02",0.180748918660039,0.00719310576247581,25.1280774436753,2.45428435217813e-139,NA,NA,5454392801
"55.13","all","4 yr.","mnwk","no","3","Female","Logit","month03",0.186687023133108,0.0070316151654373,26.5496644427778,2.59121341346257e-155,NA,NA,5454392801
"55.14","all","4 yr.","mnwk","no","3","Female","Logit","month04",0.208384747109529,0.00710890196323753,29.313211546193,7.03858325284839e-189,NA,NA,5454392801
"55.15","all","4 yr.","mnwk","no","3","Female","Logit","month05",0.221106676597881,0.0070212540193622,31.4910521664855,1.15174853152913e-217,NA,NA,5454392801
"55.16","all","4 yr.","mnwk","no","3","Female","Logit","month06",0.189431376252838,0.00712896761496758,26.5720629527224,1.42812383541139e-155,NA,NA,5454392801
"55.17","all","4 yr.","mnwk","no","3","Female","Logit","month07",0.133721709124642,0.00715441525401422,18.6907950373182,5.88297676730458e-78,NA,NA,5454392801
"55.18","all","4 yr.","mnwk","no","3","Female","Logit","month08",0.0225121861255927,0.00735189919752248,3.06209123938738,0.00219796445150496,NA,NA,5454392801
"55.19","all","4 yr.","mnwk","no","3","Female","Logit","month09",0.239298301764255,0.00703255014681525,34.027244281027,8.81206910492234e-254,NA,NA,5454392801
"55.20","all","4 yr.","mnwk","no","3","Female","Logit","month10",0.265161515154728,0.00692047785309398,38.3154921933867,0,NA,NA,5454392801
"55.21","all","4 yr.","mnwk","no","3","Female","Logit","month11",0.276651374229196,0.00696114093894013,39.7422457979019,0,NA,NA,5454392801
"55.22","all","4 yr.","mnwk","no","3","Female","Logit","month12",-0.530961546902737,0.00856259942264127,-62.0093876514608,0,NA,NA,5454392801
"55.23","all","4 yr.","mnwk","no","3","Female","Logit","weekdayMonday",0.558099779546664,0.00616522048531751,90.523896246011,0,NA,NA,5454392801
"55.24","all","4 yr.","mnwk","no","3","Female","Logit","weekdayTuesday",0.709729742311949,0.00600660902478533,118.15813870744,0,NA,NA,5454392801
"55.25","all","4 yr.","mnwk","no","3","Female","Logit","weekdayWednesday",0.774683225141806,0.00594409211435849,130.3282671664,0,NA,NA,5454392801
"55.26","all","4 yr.","mnwk","no","3","Female","Logit","weekdayThursday",0.71178512845923,0.00600694477247204,118.493702775681,0,NA,NA,5454392801
"55.27","all","4 yr.","mnwk","no","3","Female","Logit","weekdayFriday",0.566292281351588,0.00616026458346798,91.9266167351514,0,NA,NA,5454392801
"55.28","all","4 yr.","mnwk","no","3","Female","Logit","weekdaySaturday",0.119977115897727,0.00675583513604034,17.7590354829242,1.46734418866626e-70,NA,NA,5454392801
"57","all","4 yr.","mnwk","no","4","Female","Logit","(Intercept)",-12.7042741068484,0.0752964394437402,-168.72343766455,0,NA,NA,5454392801
"57.1","all","4 yr.","mnwk","no","4","Female","Logit","policyTRUE",-0.0475898117604126,0.0295654802047173,-1.60964108923282,0.107476232578639,-0.00409535220862857,-0.0536983648240622,5454392801
"57.2","all","4 yr.","mnwk","no","4","Female","Logit","age_grp20-24",-0.770857587706707,0.0442030105057419,-17.4390291269092,4.17099327137699e-68,-0.354410785869519,-1.34214000647923,5454392801
"57.3","all","4 yr.","mnwk","no","4","Female","Logit","age_grp25-34",-1.72359743618606,0.0443449376004727,-38.8679639537408,0,-0.509216533972807,-2.05193931070643,5454392801
"57.4","all","4 yr.","mnwk","no","4","Female","Logit","age_grp35-44",-2.20109315346597,0.0491882148620138,-44.7483845396836,0,-0.540741630664825,-2.22113049305219,5454392801
"57.5","all","4 yr.","mnwk","no","4","Female","Logit","age_grp45-54",-2.72737764383114,0.0570979893342381,-47.7666144750864,0,-0.527639298704873,-2.33425180477732,5454392801
"57.6","all","4 yr.","mnwk","no","4","Female","Logit","age_grp55-64",-3.22564406699996,0.0809658573251936,-39.8395592112906,0,-0.505032643129171,-2.39834186164846,5454392801
"57.7","all","4 yr.","mnwk","no","4","Female","Logit","age_grp65-199",-3.19136111544416,0.0960658477360122,-33.2205585091383,5.43562401705937e-242,-0.470090622896969,-2.39488093246115,5454392801
"57.8","all","4 yr.","mnwk","no","4","Female","Logit","curr_pts_grp1-3",1.19230515511829,0.0383019666980843,31.1290844283963,9.73485637824477e-213,NA,NA,5454392801
