"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1.35","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayMonday",0.000112809405237514,7.81976617948884e-07,144.261864930708,0,NA,NA,7461274411
"1.36","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayTuesday",0.000149169163888136,8.03529528907476e-07,185.642417013541,0,NA,NA,7461274411
"1.37","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayWednesday",0.00017041954658813,8.15783235515907e-07,208.902977125236,0,NA,NA,7461274411
"1.38","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayThursday",0.000151277422086322,8.06148027373072e-07,187.65464523839,0,NA,NA,7461274411
"1.39","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayFriday",0.000122779191811429,7.8944807604929e-07,155.525354404389,0,NA,NA,7461274411
"1.40","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdaySaturday",2.59662756969805e-05,7.27990583219029e-07,35.6684224982181,1.22102028659389e-278,NA,NA,7461274411
"2","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","(Intercept)",6.97015993593836e-05,1.36168693217566e-06,51.1876832422976,0,NA,NA,5454392801
"2.1","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policyTRUE",1.31422740255339e-05,4.93001857326508e-07,26.6576562141225,1.45894018204096e-156,NA,NA,5454392801
"2.2","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy01",2.26897981994307e-05,1.76952676730429e-06,12.8225232975687,1.22643422310729e-37,NA,NA,5454392801
"2.3","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy02",1.22458347398989e-05,1.73491958395861e-06,7.05844515972162,1.68375941251959e-12,NA,NA,5454392801
"2.4","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy03",-8.42693698140085e-06,1.67545213678986e-06,-5.02964948765814,4.91377292119714e-07,NA,NA,5454392801
"2.5","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy04",-3.7515269946553e-05,1.54570713871488e-06,-24.2706195804619,4.00619643339404e-130,NA,NA,5454392801
"2.6","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy05",-3.62448449334529e-05,1.45298251434132e-06,-24.9451349728623,2.41144302223647e-137,NA,NA,5454392801
"2.7","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy06",-4.32820031925141e-05,1.72944475337454e-06,-25.0265312656338,3.14498501178036e-138,NA,NA,5454392801
"2.8","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy07",-3.64272639361474e-05,1.69214190385029e-06,-21.5273103592914,8.64057173331271e-103,NA,NA,5454392801
"2.9","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy08",-4.67949141232749e-05,1.66092978834621e-06,-28.1739267075634,1.22056990623777e-174,NA,NA,5454392801
"2.10","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy09",-4.75240263670574e-05,1.04747009121343e-06,-45.3702943556163,0,NA,NA,5454392801
"2.11","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy10",-8.67475598442811e-05,1.29593894562081e-06,-66.9379989986527,0,NA,NA,5454392801
"2.12","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy11",-4.54162145190018e-05,1.64166750938527e-06,-27.664684998248,1.85832230573853e-168,NA,NA,5454392801
"2.13","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy12",-2.04631727849163e-05,1.66355148088236e-06,-12.3008954156697,8.95756857105119e-35,NA,NA,5454392801
"2.14","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp20-24",4.53343854982646e-05,1.44057989409389e-06,31.4695392349477,2.26877887192342e-217,NA,NA,5454392801
"2.15","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp25-34",-3.82131600626764e-06,1.21529184704693e-06,-3.14436076861139,0.00166450097866948,NA,NA,5454392801
"2.16","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp35-44",-1.24186152124731e-05,1.20125581855889e-06,-10.3380271051434,4.74199480954537e-25,NA,NA,5454392801
"2.17","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp45-54",-5.47192255404751e-05,1.17179902316724e-06,-46.6967666456788,0,NA,NA,5454392801
"2.18","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp55-64",-9.06198744138364e-05,1.17410718002704e-06,-77.1819438253919,0,NA,NA,5454392801
"2.19","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp65-199",-0.000125973383753765,1.16825396402246e-06,-107.830478331972,0,NA,NA,5454392801
"2.20","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","curr_pts_grp1-3",0.000490650307402583,1.21696029955853e-06,403.176921696274,0,NA,NA,5454392801
"2.21","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","curr_pts_grp4-6",0.000966920749727554,3.46699689527647e-06,278.892880188301,0,NA,NA,5454392801
"2.22","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","curr_pts_grp7-9",0.00134685966499004,7.76610306910624e-06,173.427992521485,0,NA,NA,5454392801
"2.23","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","curr_pts_grp10-150",0.00183449474550054,1.39818099979807e-05,131.205812821479,0,NA,NA,5454392801
"2.24","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month02",3.61977599809327e-05,1.12670068061388e-06,32.127219414841,1.83804919296448e-226,NA,NA,5454392801
"2.25","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month03",4.56037693438042e-05,1.11113055617028e-06,41.0426741399193,0,NA,NA,5454392801
"2.26","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month04",3.23447192796081e-05,1.09681806851558e-06,29.4895937695329,3.91471190566607e-191,NA,NA,5454392801
"2.27","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month05",4.06334596666411e-05,1.10153755494757e-06,36.8879476547443,7.21160709881499e-298,NA,NA,5454392801
"2.28","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month06",3.19224772585551e-05,1.09900775013195e-06,29.0466352532294,1.69704649463183e-185,NA,NA,5454392801
"2.29","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month07",1.94718539601363e-05,1.07133918458801e-06,18.175246682146,8.1063635228288e-74,NA,NA,5454392801
"2.30","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month08",2.20983943591162e-06,1.05073747990956e-06,2.1031318270876,0.03545424755484,NA,NA,5454392801
"2.31","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month09",7.03971371708961e-05,1.14911288957036e-06,61.2621595404926,0,NA,NA,5454392801
"2.32","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month10",6.06302014682421e-05,1.12863671434911e-06,53.7198557316183,0,NA,NA,5454392801
"2.33","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month11",5.9156626705781e-05,1.13842332077831e-06,51.9636462342823,0,NA,NA,5454392801
"2.34","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month12",-8.35348084405676e-05,9.24876957543491e-07,-90.3199152700693,0,NA,NA,5454392801
"2.35","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayMonday",0.000105377101865459,6.63112375993237e-07,158.912886684735,0,NA,NA,5454392801
"2.36","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayTuesday",0.000139526220981506,6.9538047844229e-07,200.647307922789,0,NA,NA,5454392801
"2.37","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayWednesday",0.000152143406811583,7.06944207335257e-07,215.212749794032,0,NA,NA,5454392801
"2.38","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayThursday",0.000136215104748735,6.93628524317072e-07,196.380483174115,0,NA,NA,5454392801
"2.39","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayFriday",9.89292218782745e-05,6.58209728364745e-07,150.300455333673,0,NA,NA,5454392801
"2.40","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdaySaturday",1.71306233551631e-05,5.71319862895841e-07,29.9842950818012,1.57263156940001e-197,NA,NA,5454392801
"3","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","(Intercept)",-8.70265013996958,0.00402057054551862,-2164.53113841509,0,NA,NA,7461274411
"3.1","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policyTRUE",-0.0723127399964725,0.00145385916686618,-49.7384764938021,0,-2.76839451476661,-15.6931992379171,7461274411
"3.2","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy01",0.130426374507353,0.0046545870920497,28.0210407342315,9.00556367368425e-173,6.11870355338128,33.1900536662473,7461274411
"3.3","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy02",0.0911082405173992,0.0045577812948196,19.989603410974,6.78327631340751e-89,4.18064218101138,21.8553871518363,7461274411
"3.4","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy03",0.0168706317459009,0.00476058548303636,3.54381447534487,0.000394382659878899,0.688515850560484,3.62116085039516,7461274411
"3.5","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy04",-0.117562537718735,0.00487130374195561,-24.1336906804212,1.10768159943436e-128,-4.02801271089002,-20.6535001708918,7461274411
"3.6","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy05",-0.116979535472651,0.00517796426601527,-22.5918004572621,5.21773496967259e-113,-3.50494285486342,-20.568878279867,7461274411
"3.7","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy06",-0.139246974109555,0.00468452453872656,-29.7248894649633,3.66224564388513e-194,-5.24141051079978,-23.6882524750131,7461274411
"3.8","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy07",-0.0958481031157407,0.00462812717043355,-20.7099112850786,2.81975292291411e-95,-3.69445332815928,-17.3908307011658,7461274411
