"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"policyTRUE:curr_pts_reg1",3.02522818690628e-14,-1.19522849701385e-13,-1.90795403848934e-14,1.23201114241352e-14,2.55234622024258e-15,9.18952077545698e-15,1.53793693001327e-14,9.59674768929063e-15,-3.21835251826318e-11,-5.98149751843765e-14,-5.95473386113157e-14,-5.86388077753031e-14,-5.88499832668457e-14,-5.9176376802826e-14,-5.7167686725051e-14,-5.85743709382375e-14,-5.83428163541932e-14,-5.75299391693846e-14,2.18466407263187e-14,2.76579983847499e-14,3.62616183185101e-14,1.78467042778815e-14,2.3383222301735e-14,1.29849777606608e-14,9.83180995911604e-15,1.11681962040822e-14,1.04826813589186e-14,1.10856559522475e-14,1.36000436939548e-14,8.39316341380714e-15,9.43740552781425e-15,1.91759928316898e-15,1.95766470134176e-15,1.07480964626838e-14,8.01401042929265e-15,5.77067768252494e-11,1.18700562433249e-13,1.18645226437534e-13,1.1849560620018e-13,1.18468778199328e-13,1.18730710959726e-13,1.17614297555418e-13,1.18637974867438e-13,1.19359785992274e-13,1.19630087791774e-13
"policyTRUE:curr_pts_reg2",2.46896855517936e-14,-1.19411067882774e-13,8.02276524814816e-15,2.03410407505329e-14,2.46019130219295e-14,2.33281468556641e-14,3.20572545608458e-14,3.27060535248725e-14,-6.09460890147038e-14,-7.11760586024004e-12,-6.08061813428304e-14,-5.98537700377025e-14,-6.02750930043798e-14,-6.09695058121332e-14,-5.84690848065539e-14,-6.00369595385833e-14,-6.11923674099915e-14,-6.04604064297832e-14,1.36903456778946e-14,2.79137626805157e-14,2.50642100663654e-14,1.59497878125576e-14,1.33669879500668e-14,1.44636486973038e-14,4.73368699521579e-15,1.19254535178858e-14,1.34431676619932e-14,4.64074429941153e-15,1.08820071529123e-14,-6.21119708457779e-15,-9.62860065243794e-16,-3.44359930493468e-15,-7.77248622164048e-15,5.47729917578996e-16,1.93694805873005e-15,1.18700562433249e-13,1.24607510528969e-11,1.19086962325616e-13,1.19134713747918e-13,1.19017792531548e-13,1.19313889830826e-13,1.17829471446442e-13,1.18533206645565e-13,1.18994710946823e-13,1.20165726288225e-13
"policyTRUE:curr_pts_reg3",2.15325118058831e-14,-1.19630019441369e-13,3.83372260661991e-15,2.0720385983082e-14,1.84972371033432e-14,2.33885836214091e-14,2.74563452646629e-14,3.04632074091431e-14,-6.13496246197257e-14,-6.09402335809329e-14,-7.33307817946015e-12,-6.01761957267954e-14,-6.05834942699142e-14,-6.14649013482638e-14,-5.8597264050549e-14,-6.05011355538656e-14,-6.12143594395401e-14,-6.15628668461977e-14,1.62248988390856e-14,2.96330987839041e-14,3.34019414857347e-14,1.98742071473778e-14,1.70136552952619e-14,1.35956932931232e-14,7.42026840340292e-15,1.82270133689528e-14,1.69502457665196e-14,6.69007128017463e-15,1.66352893062378e-14,-6.69136117730341e-16,1.76056996763488e-15,7.26995137040153e-16,-4.07820873391207e-15,3.38133292426624e-15,-6.12579270220269e-16,1.18645226437535e-13,1.19086962325617e-13,1.40075844465057e-11,1.19034479731096e-13,1.18780053579942e-13,1.1929262832704e-13,1.17320256795674e-13,1.18155464274491e-13,1.18569826471283e-13,1.20399778528867e-13
"policyTRUE:curr_pts_reg4",2.1820549139926e-14,-1.19814586348819e-13,-3.19235305308457e-15,1.07669691579485e-14,1.80099220765554e-15,2.24882987893807e-14,3.2010015294916e-14,2.29488045066151e-14,-5.97644791242327e-14,-5.9530723625603e-14,-5.95091140494636e-14,-9.22407175295216e-11,-5.80939674053899e-14,-5.8824254133638e-14,-5.59160189301832e-14,-5.75483906869589e-14,-5.81812256634745e-14,-5.70259275906943e-14,2.77789852507713e-14,4.8015315037227e-14,5.01159430376755e-14,2.56869964288347e-14,3.00711358634289e-14,2.53908531845161e-14,1.03938662833663e-14,2.12255607037786e-14,2.43579195132946e-14,1.76294728472298e-14,1.87634271660907e-14,-1.34299113305192e-14,-5.82441359406263e-15,1.77003518488985e-15,-4.82445174198365e-15,2.84281292829185e-15,1.30439417168802e-15,1.18495606200179e-13,1.19134713747917e-13,1.19034479731095e-13,1.53099176537533e-10,1.18735292503569e-13,1.19021712853907e-13,1.17561915749273e-13,1.18267391454858e-13,1.18661476505214e-13,1.1899873420792e-13
"policyTRUE:curr_pts_reg5",2.05499007080183e-14,-1.19614708950733e-13,-2.39326052016018e-14,1.42184067438551e-14,1.54776138597638e-14,7.06098783253129e-15,2.01462049454394e-14,2.10549366821511e-14,-6.11948224827387e-14,-6.08339646498368e-14,-6.08981189070011e-14,-5.99359927200123e-14,-6.28093762924867e-11,-6.15701521285992e-14,-5.82150055808732e-14,-6.03389365542599e-14,-6.05296431359148e-14,-6.14421810709599e-14,1.48476938142822e-14,5.20006128208727e-14,5.64498813807863e-14,3.27658190831337e-14,2.00398457729466e-14,9.36861036402142e-15,3.12929959919031e-15,1.65328384704859e-14,1.2310765298417e-14,1.163495210089e-14,2.26771267371655e-14,-2.1055202626402e-15,2.13714067763777e-14,9.83354275845019e-15,3.43734884146876e-15,4.33464854419063e-15,5.38073341465802e-15,1.18468778199328e-13,1.19017792531547e-13,1.18780053579941e-13,1.18735292503571e-13,1.12350062781017e-10,1.19334797459034e-13,1.17053094974771e-13,1.18023267491997e-13,1.17488918653375e-13,1.20301293421287e-13
"policyTRUE:curr_pts_reg6",2.74337181675934e-14,-1.19794455893808e-13,-4.16909710103977e-14,1.81412009664386e-15,5.82304873944871e-15,2.33635820538418e-14,1.07740920157352e-14,2.08386559736698e-14,-6.0916570921909e-14,-6.064802636853e-14,-6.05465141449316e-14,-5.87650469646368e-14,-5.94224508456631e-14,-1.12347542430615e-10,-5.54770517910489e-14,-5.84216551138071e-14,-5.88831161626891e-14,-5.94932266259853e-14,2.85109404972598e-14,4.9039590991518e-14,6.02448261037502e-14,3.45484595013013e-14,3.68248319117619e-14,1.6344079723732e-14,5.81550072647083e-15,3.39564539737393e-14,3.66830564555194e-14,7.95383708753323e-15,2.71311454130013e-14,-1.20277536853206e-14,-6.83452975069829e-15,-1.13841544044227e-14,-1.33287307673726e-14,8.33337463183758e-15,2.34982136076397e-15,1.18730710959725e-13,1.19313889830823e-13,1.19292628327039e-13,1.19021712853907e-13,1.19334797459033e-13,1.98966264683265e-10,1.1686581383273e-13,1.1844257551197e-13,1.18346690749163e-13,1.22330442155461e-13
"policyTRUE:curr_pts_reg7",6.41048528534219e-15,-1.19711079396459e-13,6.20313371622474e-15,-6.29810236009499e-16,-1.30502124892423e-14,-1.4186386573783e-14,2.01292700067603e-15,7.49150262143881e-15,-6.07013880791893e-14,-5.95649082988553e-14,-6.01051240926041e-14,-5.98966245841536e-14,-6.01646901410442e-14,-6.08512614123738e-14,-4.38937411735108e-10,-6.09150689674972e-14,-6.08151417276664e-14,-6.3061464201395e-14,6.0270796111317e-14,1.05121163373034e-13,1.23628569347898e-13,4.62636730375584e-14,5.19810321647584e-14,5.00714025231298e-14,1.52575794827916e-14,7.34491215409398e-14,4.78258043365731e-14,3.97657646345971e-14,5.84930380685505e-14,-2.24710130139283e-14,9.20452422387488e-15,1.58023402936618e-14,-1.76578776791165e-14,1.39656662691659e-14,1.12856865090251e-14,1.17614297555421e-13,1.17829471446443e-13,1.17320256795674e-13,1.17561915749274e-13,1.1705309497477e-13,1.16865813832731e-13,7.27337987780474e-10,1.15747531268774e-13,1.15253548004142e-13,1.15951111001172e-13
"policyTRUE:curr_pts_reg8",5.11395748212739e-14,-1.1969730113825e-13,-1.27545817623267e-14,5.13364223767433e-15,6.26268430423828e-15,-1.9767143028693e-15,2.7674149121534e-14,1.19159840579109e-14,-6.13289483986269e-14,-6.03129882337669e-14,-6.05914308699485e-14,-5.95626076969483e-14,-6.01419279120538e-14,-6.11562401921063e-14,-5.76153489605902e-14,-4.48516717253425e-10,-5.98666757225398e-14,-6.20319463687294e-14,-1.5524800496769e-16,4.84308755288203e-14,5.73139451152082e-14,3.9486087255884e-14,2.39842564290931e-14,1.95009267576467e-14,3.5669573448633e-15,4.82362581073103e-14,2.09469486319512e-14,2.59462757998778e-14,-2.74020935971592e-15,-2.47343723777122e-14,-2.08673514244922e-14,-9.73480075431291e-15,-4.4357336998089e-14,-2.05243357770383e-14,-3.86846901624852e-14,1.18637974867439e-13,1.18533206645565e-13,1.18155464274492e-13,1.18267391454859e-13,1.18023267492e-13,1.18442575511971e-13,1.15747531268778e-13,7.73253158463909e-10,1.16113332939552e-13,1.18945128124332e-13
"policyTRUE:curr_pts_reg9",-3.02422323671033e-14,-1.20118893094345e-13,4.77654045481157e-14,1.36489315814807e-14,2.56537271966009e-14,2.96958504109603e-14,5.18420305523761e-14,6.13452400155677e-14,-6.0509348595668e-14,-5.93517417338858e-14,-6.02435723520911e-14,-5.76390206877118e-14,-5.81695547047878e-14,-5.95406201896657e-14,-5.52072398585878e-14,-5.77263940172065e-14,-3.96799590897267e-10,-5.98531735868762e-14,4.18275331502209e-14,5.27546887590089e-14,1.08409790607593e-13,7.63591524585349e-14,7.97561153043268e-14,6.31521594872507e-14,1.65531162777934e-14,7.52524040345586e-14,5.04745921903303e-14,4.58546831496195e-14,5.03829466913676e-14,-3.46832495905321e-15,8.24143886169974e-15,2.24478247467948e-15,-1.99747609292063e-14,1.51978231846882e-14,3.39669826065992e-15,1.19359785992276e-13,1.18994710946824e-13,1.18569826471285e-13,1.18661476505215e-13,1.17488918653375e-13,1.18346690749164e-13,1.15253548004141e-13,1.16113332939553e-13,7.16555337057417e-10,1.18800529143832e-13
"policyTRUE:curr_pts_reg10-150",-3.88434559537144e-14,-1.204613376687e-13,-1.01664127042084e-13,2.30859554175819e-14,3.61729348425767e-14,4.89240181356877e-14,3.84513340211671e-14,3.88190590059881e-14,-6.04377232857193e-14,-6.0561167190524e-14,-5.99077399099762e-14,-5.58441940542413e-14,-5.73342329685073e-14,-5.92757440000081e-14,-4.96455589761468e-14,-5.4487133907966e-14,-5.32061857357119e-14,-5.79454008774218e-10,3.99633681377583e-14,7.74733542674056e-14,1.23275126277383e-13,9.44558457323553e-14,1.14898398211295e-13,6.87516951437232e-14,3.41468618894821e-14,9.69057350227273e-14,5.32816351141689e-14,1.74332807133955e-14,9.95076334422238e-14,2.20705791866443e-16,9.08499745960971e-15,-2.32504836881556e-14,-1.65474031414462e-14,2.43319058218888e-14,2.69661793808266e-14,1.19630087791773e-13,1.20165726288221e-13,1.20399778528866e-13,1.18998734207921e-13,1.20301293421287e-13,1.22330442155463e-13,1.15951111001175e-13,1.18945128124328e-13,1.18800529143833e-13,8.73324513413342e-10
