"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"policyTRUE:age_grp55-64",7.31607330694959e-12,-2.5119580855955e-11,-7.36178010423776e-12,-7.3583967326317e-12,-7.33096332384024e-12,-7.32808570402344e-12,-9.03698315624363e-12,-7.30691678908485e-12,5.03650125559769e-13,4.52851902716223e-13,3.61331382707764e-13,2.89785792421975e-13,3.74400895657705e-13,3.87048336505224e-13,2.44943157525893e-13,3.46426177281717e-13,2.62791951862277e-13,3.63102662037077e-13,-4.42018961618174e-14,-8.94741812412566e-14,-1.85271424946882e-14,-4.02944573770286e-14,-3.83618505514836e-14,-4.45191823284934e-14,-3.21284164156831e-14,-5.10528313815644e-14,-5.41464021865403e-14,-4.48670181852927e-14,4.59797254940893e-14,-1.18320012431811e-14,-2.4146818393369e-14,-3.91437065316771e-14,-2.93339863834074e-14,-3.95348829566498e-14,-1.17123970869053e-14,2.5212714815222e-11,2.52202480081857e-11,2.51917052446033e-11,2.51865379218931e-11,2.83362769158809e-11,2.51590973306044e-11,-5.13118635230199e-13,-4.20582919047779e-13,-8.05588821295727e-14,2.16019556924332e-13,-2.36567953154308e-13,-1.35921057699195e-13,2.96596904151767e-13,-1.2451552786981e-13,2.94212113187235e-13,5.30402645904051e-13
"policyTRUE:age_grp65-199",7.31140467588109e-12,-2.50964315835221e-11,-7.36529437702655e-12,-7.35292004239336e-12,-7.32528141822499e-12,-7.31822672569963e-12,-7.30690701575099e-12,-8.56533260736747e-12,4.25785871484668e-13,3.67931260553271e-13,3.19517618532156e-13,1.50542730575357e-13,2.53611770358242e-13,3.11518732977536e-13,9.87452635748169e-14,2.18636025169612e-13,3.07335587707644e-13,2.87226371156463e-13,-4.43991808130606e-14,-9.39129105972097e-14,-3.67240959761913e-14,-5.72825762157248e-14,-5.2984439994685e-14,-5.48274255319138e-14,-3.9977953950698e-14,-5.87884702006302e-14,-6.49035275751969e-14,-4.44722893519929e-14,3.91130967010658e-14,-1.64035968321177e-14,-3.39458411132318e-14,-4.66089242954061e-14,-3.00941429929016e-14,-4.16528939496247e-14,-1.36622202421474e-14,2.52077501883e-11,2.52116463637726e-11,2.51843289471376e-11,2.51745039497792e-11,2.51590973306045e-11,2.73891615313297e-11,-3.36598480889311e-13,-2.42075272971018e-13,1.72355794292509e-14,4.98743924878793e-13,9.94188075654063e-15,1.1882161004257e-14,5.58313364081416e-13,1.31457301165987e-13,2.57577105021466e-13,6.84343045407417e-13
"policyTRUE:curr_pts_reg1",-1.3085634727487e-13,-2.16737188067429e-13,4.87710528955786e-13,6.3934740653269e-13,5.36975385371088e-13,5.56063518835582e-13,5.03579215909661e-13,4.25936655444047e-13,-3.31169739924783e-11,-3.97401557544784e-13,-3.93398098721416e-13,-4.01439040185394e-13,-4.09619228561058e-13,-4.07280516015254e-13,-4.13346108825602e-13,-4.2107151918695e-13,-3.94083878657131e-13,-4.19721786844125e-13,-1.72300807333721e-15,5.66645486979375e-15,3.90275435015853e-14,2.37339050206364e-14,9.50498702528987e-15,2.48225324315815e-14,1.07140086900554e-14,1.79602505558393e-14,2.18063443665123e-14,-9.23674640959422e-15,3.84264283472237e-15,-2.86816538964306e-15,1.81640765623769e-14,1.14442822773959e-15,3.4872814610798e-15,4.03290515037024e-15,-1.43083163123211e-15,-7.02491616047371e-13,-8.05544721040991e-13,-6.53640686826213e-13,-6.19818892405855e-13,-5.13118635230218e-13,-3.36598480889309e-13,5.86325669115388e-11,7.84891912200098e-13,7.8392709655037e-13,8.07676182961047e-13,8.22382011213938e-13,8.19344647020597e-13,8.38328441423926e-13,8.50617493911144e-13,8.04108800831687e-13,8.64843885528025e-13
"policyTRUE:curr_pts_reg2",-6.03684239511616e-14,-3.04254488367411e-13,4.67732392225142e-13,5.6625413575225e-13,4.58709046733414e-13,4.87993046196646e-13,4.52561472892841e-13,3.67684863407224e-13,-3.97790969842733e-13,-7.33235830394402e-12,-3.92189334414848e-13,-4.01909373777457e-13,-4.08139064064889e-13,-4.0677567660441e-13,-4.14773627022333e-13,-4.21253990161149e-13,-3.9486015444917e-13,-4.24794654281585e-13,1.03561060496019e-14,2.8800590177204e-14,2.70722356220992e-14,8.09403713497912e-15,6.0137967783405e-15,1.85655405256243e-15,-5.88247650551108e-15,1.78666337348733e-15,2.72858513460211e-15,-4.51495883550981e-16,1.68871221263014e-14,-6.19848858630173e-15,-6.30392827774885e-15,-4.7651840362439e-15,-7.92219280346555e-15,-5.18102852810434e-16,2.75615971044841e-15,-7.16429157610577e-13,-7.15215138349598e-13,-5.54866122568562e-13,-5.21323104270743e-13,-4.20582919047827e-13,-2.42075272971042e-13,7.84891912200098e-13,1.2631177471721e-11,7.87631698743874e-13,8.14610264819892e-13,8.28538658579148e-13,8.2703033859977e-13,8.50158403241413e-13,8.61837338594455e-13,8.14317923000851e-13,8.85542195785546e-13
"policyTRUE:curr_pts_reg3",-2.85429743185557e-15,-5.79442590826677e-13,5.57353008309856e-13,5.65390151391034e-13,4.13500006152617e-13,3.94161783367143e-13,3.60985084214617e-13,3.19089175652356e-13,-3.93672376889812e-13,-3.92231086891373e-13,-5.91078292130076e-12,-4.10745305975947e-13,-4.1387979189156e-13,-4.13533391599719e-13,-4.34501770820715e-13,-4.37222165528538e-13,-4.05666123445668e-13,-4.51679330775063e-13,1.02256403970496e-14,2.86934483332051e-14,1.74864067622268e-14,8.52405792569522e-15,2.21591920428878e-15,-2.48504077280505e-15,-2.67225533921454e-16,9.98117341343579e-16,5.62217418326508e-15,3.70873238919831e-15,2.03473150239414e-14,-5.92268377100755e-15,-3.10979274753391e-15,-6.86275583030766e-15,-1.14554318501775e-14,1.44733191240995e-16,-1.31805498801594e-15,-7.32180908703782e-13,-5.42079663578652e-13,-2.9860147954545e-13,-1.782132984099e-13,-8.05588821295801e-14,1.7235579429279e-14,7.8392709655037e-13,7.87631698743878e-13,1.11203474735416e-11,8.399245608634e-13,8.49097296974126e-13,8.5057364881177e-13,8.95297885608631e-13,9.01397565366688e-13,8.50417133853532e-13,9.56167664020208e-13
"policyTRUE:curr_pts_reg4",3.15435780544326e-14,-8.48063304997814e-13,8.9895491545717e-13,6.09414854672534e-13,3.92568232063824e-13,3.48166057726235e-13,2.89315814226769e-13,1.50173795687745e-13,-4.02036507209054e-13,-4.01621985241876e-13,-4.10358138244082e-13,-5.75933235761018e-11,-4.49603980856605e-13,-4.50161308555359e-13,-5.00339428175432e-13,-4.95356478701164e-13,-4.51017128143826e-13,-5.37902837799882e-13,3.22024066333809e-14,5.43517926030693e-14,4.68775971904311e-14,2.23669438083749e-14,3.65096824717397e-14,2.06904391353182e-14,8.43973799281848e-15,1.06874997764568e-14,9.27682468305579e-15,8.47005926289403e-15,3.19581120044904e-14,-2.1225874269885e-14,-4.18839972603263e-15,-1.3217315912693e-14,-1.26978729819077e-14,-6.20201390229332e-15,1.10896784889829e-15,-1.03089595349822e-12,-4.09657767848064e-13,-7.89239847475296e-14,6.94837804612901e-14,2.16019556924291e-13,4.98743924878763e-13,8.07676182961047e-13,8.14610264819894e-13,8.39924560863399e-13,9.51913321229746e-11,9.18352075166804e-13,9.2242382484785e-13,1.00729195547035e-12,1.00438239415401e-12,9.37373329961654e-13,1.10855224995437e-12
"policyTRUE:curr_pts_reg5",-6.57222454123279e-14,-3.66045404591147e-13,7.90641844526098e-13,7.69707909950257e-13,5.10534357393394e-13,4.63815522360907e-13,3.73690259909839e-13,2.52782051839019e-13,-4.10100266245186e-13,-4.08120869678965e-13,-4.13847540853953e-13,-4.50207479662889e-13,-3.35080143795236e-11,-4.5312330194158e-13,-4.95393568923031e-13,-4.9683846819417e-13,-4.44968234206657e-13,-5.27484669069261e-13,1.99511869082706e-14,5.77070897697041e-14,4.52014663426817e-14,2.70340986012182e-14,1.26647294559358e-14,6.77418254244118e-15,-1.48109174734031e-14,1.50175139856664e-14,1.66205401609989e-14,1.71714234601433e-14,3.42663924493473e-14,-3.99746423545222e-15,5.18860441558176e-15,-1.48860111245363e-15,-9.65786613243003e-15,-2.48384222649242e-15,-1.63788737510147e-15,-1.40549048061192e-12,-1.04246495057424e-12,-6.07512710764715e-13,-4.22979031906383e-13,-2.36567953154318e-13,9.94188075651308e-15,8.22382011213939e-13,8.28538658579153e-13,8.49097296974123e-13,9.18352075166801e-13,5.87712809369422e-11,9.39875507575538e-13,1.01527717976445e-12,1.02755512916255e-12,9.41882017095303e-13,1.11476661165419e-12
"policyTRUE:curr_pts_reg6",-8.97634432919963e-14,-4.21936085140141e-13,8.69598821757181e-13,8.17906275374974e-13,5.43003304592064e-13,4.70094414506295e-13,3.86460190915017e-13,3.10914535846745e-13,-4.07775101500983e-13,-4.06382325292813e-13,-4.13049823848686e-13,-4.50113219720404e-13,-4.52277745486476e-13,-4.86817802535876e-11,-4.98191160298795e-13,-4.98179364408503e-13,-4.4550594594497e-13,-5.30971901546896e-13,1.60124393139979e-14,5.28978215757001e-14,4.12889176664219e-14,3.35865930863848e-14,2.9427681517559e-14,9.29319947715086e-15,-1.36472649396552e-14,1.43732120302618e-14,9.7804962498732e-15,1.03236879305165e-14,3.05834194383821e-14,-1.10786763399451e-14,-1.47901032639415e-17,-7.80728941806895e-15,-2.42007912110159e-14,-1.24003838483509e-15,5.9885923973785e-15,-1.47025488322012e-12,-1.01768037909852e-12,-5.51112985577065e-13,-3.43426510507689e-13,-1.35921057699176e-13,1.18821610042894e-14,8.19344647020601e-13,8.27030338599776e-13,8.50573648811774e-13,9.22423824847851e-13,9.39875507575541e-13,8.6245492730022e-11,1.02549050371673e-12,1.03536599848236e-12,9.50584531036604e-13,1.13389732465282e-12
"policyTRUE:curr_pts_reg7",1.53512773038279e-14,-7.98230257210084e-13,1.30476633806762e-12,8.35681938796388e-13,4.42970664477839e-13,3.07049624287708e-13,2.44085612946951e-13,9.7763914294041e-14,-4.14113289745313e-13,-4.14563517537526e-13,-4.34159946117305e-13,-5.00787067356214e-13,-4.94846086127865e-13,-4.9875194826953e-13,-1.49087447146968e-10,-5.72071089282243e-13,-5.09239315481005e-13,-6.49442684036286e-13,4.43722215931919e-14,9.10680634115045e-14,8.72029056209003e-14,3.996581671604e-14,-5.01873195935744e-15,8.08612372607373e-15,-2.03813058108203e-14,1.47226646077321e-14,3.71350652660927e-14,-4.061310857361e-15,6.17991403122964e-14,-1.17251705669233e-14,1.62331205818684e-14,-2.4300761982991e-14,-4.65166064564511e-14,-2.16917207007823e-14,-2.37801213095501e-14,-1.86687145806684e-12,-8.15422399527138e-13,-1.92671276486122e-13,1.06948251663716e-13,2.96596904151756e-13,5.58313364081377e-13,8.38328441423924e-13,8.50158403241411e-13,8.95297885608626e-13,1.00729195547035e-12,1.01527717976446e-12,1.02549050371672e-12,2.55154966299933e-10,1.15586087441309e-12,1.06134704915944e-12,1.32661790471808e-12
"policyTRUE:curr_pts_reg8",-1.05538302762705e-13,-3.74552815673342e-13,1.18125330445191e-12,1.0232362456313e-12,5.62625629447154e-13,4.50214518411467e-13,3.45407096310791e-13,2.17514721141546e-13,-4.21569053456848e-13,-4.20802002633236e-13,-4.36836215089081e-13,-4.95541605750621e-13,-4.96156222297451e-13,-4.98695124190486e-13,-5.71987260812473e-13,-1.39981220982355e-10,-5.00422029784399e-13,-6.30076537496005e-13,3.96306339147599e-14,8.50284284353089e-14,9.27765869108839e-14,5.33275896025061e-14,4.62405527285175e-14,4.69693314919937e-14,-5.2452315162268e-15,2.89947873225004e-14,4.01210082365086e-14,7.36276443556696e-15,7.58660767946265e-14,-2.80949554530383e-14,-1.53370263187619e-14,-3.99149935524841e-14,-3.74130393951379e-14,-1.73860091831749e-14,-4.7434158903026e-15,-2.14940263664059e-12,-1.36809939449367e-12,-6.42021388687547e-13,-3.29131792049384e-13,-1.24515527869911e-13,1.3145730116597e-13,8.50617493911144e-13,8.61837338594457e-13,9.0139756536669e-13,1.00438239415401e-12,1.02755512916255e-12,1.03536599848236e-12,1.15586087441309e-12,2.41856697104913e-10,1.06009614956471e-12,1.31975335320363e-12
"policyTRUE:curr_pts_reg9",-7.28371811027176e-14,-7.91081211285379e-13,1.08690847832159e-12,7.40769223559187e-13,4.06787718782855e-13,3.75368993270201e-13,2.6177083979714e-13,3.06316741550927e-13,-3.94041373479741e-13,-3.94139879483112e-13,-4.05323956393369e-13,-4.50645719594138e-13,-4.44262056526427e-13,-4.45721920796494e-13,-5.08930389319161e-13,-5.00282586362552e-13,-1.6370495092538e-10,-5.50208548062004e-13,1.50518256550669e-14,5.01300649228669e-14,1.0293022864558e-13,8.04461688479781e-14,6.53349978408054e-14,5.96625828902688e-14,2.5059879331951e-14,5.31455459974642e-14,3.9838058397354e-14,3.38409901560282e-14,7.18512288417012e-14,2.42398251404797e-14,4.17098780943428e-14,2.38729411701433e-14,2.38764565914895e-14,5.1612108649482e-14,1.98605497050704e-14,-1.71994714228841e-12,-6.25202038463573e-13,-8.48113036895925e-14,8.41430098957397e-14,2.94212113187258e-13,2.57577105021509e-13,8.04108800831688e-13,8.14317923000855e-13,8.50417133853531e-13,9.3737332996165e-13,9.41882017095306e-13,9.50584531036606e-13,1.06134704915944e-12,1.06009614956472e-12,2.92229140741875e-10,1.21029055536636e-12
