"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"month11",-9.89447468451057e-13,3.43698105815962e-14,1.68938941078868e-14,1.14348442555793e-14,1.36063554090966e-14,7.54806361825726e-15,7.62260766174475e-16,-1.16428606207401e-15,1.17041788074111e-14,2.52231989043884e-14,2.70940044832679e-14,6.66806518068435e-14,5.49934204670168e-14,7.12394031002214e-14,3.92881501455128e-14,8.44363159828015e-14,4.25396347574232e-14,1.2529466982817e-13,9.41386198027885e-13,9.41664651798727e-13,9.42056586325815e-13,9.41605707963837e-13,9.41516093965106e-13,9.41718493820658e-13,9.41748807542859e-13,9.41784587440169e-13,9.41058237423125e-13,2.29515215477301e-12,9.41209746633675e-13,3.99829952006563e-14,3.71129815942839e-14,4.38608784689795e-14,2.07769207087509e-14,5.1859310114841e-14,2.04680386586439e-14,-2.45303043097529e-14,-2.0020455700629e-14,-2.66166152429188e-14,-2.96944839453503e-14,-2.87213045031749e-14,-3.19098432507458e-14,1.32933805296243e-14,2.44980037764298e-15,5.56201575513518e-15,2.21169798025245e-14,1.22934581514414e-14,6.6082974504029e-15,5.62484463904302e-14,3.38984587648939e-14,6.66470013477664e-14,1.9636739877754e-14
"month12",-9.29502116192141e-13,-2.74909585946979e-14,-2.21341636675006e-14,-1.64593409701259e-14,-1.34393503872513e-14,-3.6258982613809e-15,5.54120024718233e-15,1.62670991184569e-14,-4.78333058278895e-14,-4.98605513877689e-14,-5.50345799642087e-14,-8.65642833581128e-14,-1.10262599405054e-13,-1.28433105830695e-13,-1.80871534823652e-13,-1.25408830694482e-13,-1.6073943496211e-13,-3.03517964440684e-13,9.41151213289445e-13,9.41577817599919e-13,9.41192597138952e-13,9.40853761492895e-13,9.40598117687655e-13,9.41218603637986e-13,9.40885641466764e-13,9.41056581467156e-13,9.41185059942892e-13,9.41209746633674e-13,1.47857279101345e-12,-2.2066476930637e-15,-7.41655891199453e-15,-1.78063080405074e-14,-7.68949081211284e-15,2.02096528182063e-14,1.24536964151886e-14,3.62372148266896e-14,3.88029213176565e-14,3.47415277259799e-14,3.61798369892242e-14,3.49759792714795e-14,3.06118322648504e-14,1.83660844508958e-14,1.32171542363776e-14,2.25433662143186e-14,2.51458796381649e-14,3.07769595453543e-14,3.85251225187455e-14,8.70680494003499e-14,-1.01181145624532e-14,7.61116163860461e-14,1.52475263309505e-13
"weekdayMonday",-4.49627037581261e-13,3.55382031733426e-14,3.0072640533618e-14,3.54180374745946e-14,4.02746716999379e-14,2.81285839791275e-14,2.07975931165481e-14,1.02911018728121e-14,3.53887053061612e-14,6.24866151663288e-14,6.36742971172389e-14,1.31078842696978e-13,1.39491962477763e-13,1.69976094109594e-13,2.00640631393661e-13,2.43029258108041e-13,1.40122990745187e-13,2.35229506303017e-13,3.16932142684468e-14,1.67261965121665e-14,3.46951169140769e-14,3.10465926835288e-14,2.47706179818762e-14,1.73199910166989e-14,2.60765253562941e-14,4.08209395458334e-14,2.56005686539263e-14,3.99829952006582e-14,-2.20664769306196e-15,1.10985659533824e-12,3.84433873461031e-13,3.84408023326188e-13,3.84224288098205e-13,3.84259590068252e-13,3.843916608176e-13,-2.59306921679194e-14,-3.15037186904694e-14,-3.37022845613196e-14,-3.66229037213163e-14,-3.77700796693239e-14,-3.83992384328589e-14,1.21344619788226e-14,-1.10773845393941e-14,-2.50917141672786e-15,-2.32010463980496e-14,-5.19580271434936e-15,-2.09759202176269e-14,-3.80783727048258e-14,-4.15956965346523e-14,-7.86198522470173e-15,-2.75778298385529e-15
"weekdayTuesday",-4.62888401328259e-13,4.32773132050684e-14,2.91607697727497e-14,4.58481863120609e-14,5.38523046027249e-14,4.07654804090776e-14,2.80581900271907e-14,1.70920987368539e-14,4.68294214060864e-14,7.64401332328799e-14,8.26798444803739e-14,1.57992798809429e-13,1.5040241152456e-13,2.14381219409153e-13,2.51646325910315e-13,3.03362872432647e-13,1.92413733694604e-13,3.06074929001092e-13,3.19120462063085e-14,3.36456616521621e-14,3.10899586298702e-14,2.96820793686005e-14,2.89898284544893e-14,2.30915591912346e-14,3.08717165476016e-14,4.17717355811268e-14,8.09910543165562e-15,3.71129815942866e-14,-7.41655891199119e-15,3.84433873461032e-13,1.22006539538539e-12,3.84604884480854e-13,3.84381705510698e-13,3.84450137795452e-13,3.84421587921127e-13,-3.30337735467245e-14,-3.8688921567796e-14,-4.012541796777e-14,-4.71957070318524e-14,-4.79248222393842e-14,-5.06215695298946e-14,1.28091639099146e-14,-3.66463298767611e-15,4.17481734835006e-16,-1.23898274515534e-14,3.08879207795616e-14,-1.38725073389905e-14,1.07526765528163e-14,-3.68036981768936e-14,9.51437369302167e-15,9.78311011340537e-15
"weekdayWednesday",-4.72592184758252e-13,5.0112455097962e-14,3.33095695261779e-14,5.0040476769792e-14,6.17130255330052e-14,4.67192045347609e-14,3.57463138691073e-14,2.05502282532917e-14,4.89058614187063e-14,8.19749192148078e-14,9.52633164495638e-14,1.65667185777171e-13,1.87050843797004e-13,2.37645903415852e-13,2.48416275964199e-13,2.9284440126525e-13,2.08194828357325e-13,3.72899120868622e-13,2.4736251211594e-14,3.42990768131718e-14,4.0503814054651e-14,2.67495726882649e-14,4.47160784994758e-14,2.42324910480034e-14,2.52724106828177e-14,5.69814152636815e-14,1.75261122222387e-14,4.38608784689796e-14,-1.7806308040508e-14,3.84408023326187e-13,3.84604884480852e-13,1.26077802086846e-12,3.84565024455297e-13,3.84481823784906e-13,3.84440984085624e-13,-4.27565937536371e-14,-4.28304310697484e-14,-4.712345762862e-14,-5.51527569939501e-14,-5.72563148984457e-14,-5.74304502041382e-14,8.07266168777737e-16,-7.6572812837658e-15,-1.30875692537008e-15,-5.37323151752907e-16,1.23701540515601e-14,-2.12569218338992e-14,2.09330127036364e-14,-1.9407497606122e-14,-2.16363239847292e-16,-4.19250344208724e-14
"weekdayThursday",-4.60531474595878e-13,3.74614040406658e-14,2.49268950817411e-14,4.43345409480462e-14,5.44301815401886e-14,4.03563309316132e-14,2.76960683711441e-14,1.51697845721889e-14,4.60956426701022e-14,7.93803490275505e-14,8.6696315476506e-14,1.55252714900871e-13,1.59746563525996e-13,2.08116864602978e-13,2.51675786363102e-13,3.05672809772071e-13,2.1008150637425e-13,3.26123955283519e-13,2.34180609920876e-14,3.95593262829881e-14,4.0151342208512e-14,2.62872192053705e-14,3.32437234976898e-14,2.04372060372407e-14,2.25300959793555e-14,5.13765915943752e-14,1.62945494097438e-14,2.07769207087533e-14,-7.68949081211006e-15,3.84224288098206e-13,3.84381705510697e-13,3.84565024455298e-13,1.21369852392913e-12,3.84490725184833e-13,3.84356690191674e-13,-2.96124533007797e-14,-3.5464737595614e-14,-3.66683053037103e-14,-4.43713373267514e-14,-4.24575165854341e-14,-4.36222248827307e-14,2.58645098362925e-15,-1.28378792792967e-14,-7.263354789609e-15,-8.98533478078995e-15,4.19306773865254e-15,-2.23826711131134e-14,-3.00337502991671e-14,-7.22530142008704e-14,-3.36199255174291e-14,-2.8912088615542e-14
"weekdayFriday",-4.56032030214779e-13,3.38866591293365e-14,1.92940149316735e-14,2.86910889509393e-14,3.58239945094475e-14,2.47545395050762e-14,1.58353964539412e-14,4.42050670551173e-15,2.82993430635121e-14,5.24836409593092e-14,5.62573759747633e-14,1.07800795988989e-13,1.15717405989811e-13,1.21154402526884e-13,1.70454354061991e-13,1.95860745936972e-13,1.36593173694645e-13,1.95715240200285e-13,2.53741278229186e-14,4.6981555628949e-14,5.70367969036187e-14,4.01679648871755e-14,3.32691832409077e-14,3.9676948117294e-14,3.16755967775957e-14,4.99648374897618e-14,3.4089734867624e-14,5.1859310114843e-14,2.02096528182089e-14,3.84259590068252e-13,3.84450137795452e-13,3.84481823784907e-13,3.84490725184832e-13,1.09337356055131e-12,3.84605329602452e-13,-2.81493551091425e-14,-2.75633781514861e-14,-2.9439999459567e-14,-3.3025739484098e-14,-3.74757192270228e-14,-3.56309437198377e-14,1.48935738242275e-14,-1.35083614537149e-15,2.96715957044848e-15,1.62964828117055e-15,4.03773311992832e-15,1.04300414364265e-14,1.88393470671936e-14,-3.58619131181671e-14,2.09645441421676e-14,3.48822175906638e-14
"weekdaySaturday",-4.0524258782657e-13,1.03906607187235e-14,2.36352104540982e-15,7.91227409160062e-15,8.75205019264213e-15,5.62253319537188e-15,3.1572638047461e-15,-1.79534054513634e-16,-3.35854713171773e-15,5.73611306442372e-15,9.02411284359483e-15,1.24109934605346e-14,1.0713886250223e-14,1.51181755612725e-14,7.99036417147416e-15,5.34668825925239e-14,-1.44179695489234e-15,1.82620300697211e-14,1.70074946731536e-14,1.4410335490732e-14,2.25408241771604e-14,8.71178298578527e-15,1.459556691925e-14,1.86147906037551e-14,1.46233252204427e-14,8.37520923496572e-15,7.90054776953648e-15,2.04680386586462e-14,1.24536964151907e-14,3.84391660817601e-13,3.84421587921127e-13,3.84440984085626e-13,3.84356690191674e-13,3.84605329602452e-13,8.23553147821517e-13,-7.33040453317342e-15,-9.06245447870417e-15,-7.6035300213213e-15,-8.5117522012707e-15,-1.01312921735331e-14,-8.87445498109009e-15,1.18475742306032e-14,2.18604433185548e-15,-1.9130655471673e-15,1.05909415966594e-15,7.56530238098052e-15,2.75173174249953e-15,1.68437429699162e-14,-6.25205241672715e-14,4.29952745082745e-15,4.17293094568798e-14
"policyTRUE:age_grp20-24",3.31135138708135e-12,-1.31691159329862e-11,-7.55630657066598e-12,-3.23587094437497e-12,-3.24201354127073e-12,-3.25561689818385e-12,-3.26842194065284e-12,-3.27824571144646e-12,1.34285739309362e-13,1.33751689796941e-13,1.07408232671611e-13,1.50185828238567e-13,1.47916589946404e-13,1.18953467971923e-13,3.40505670072086e-13,3.00145852014575e-13,1.29075078441589e-13,5.60904779693065e-15,-2.04106228988991e-14,-3.70677555788377e-14,3.67807670192406e-14,1.928399352234e-14,-2.12653373948108e-15,6.26602053428228e-15,-4.39597708160106e-15,-2.13130128934196e-14,-2.43909154807728e-14,-2.45303043097542e-14,3.623721482672e-14,-2.59306921679161e-14,-3.30337735467105e-14,-4.27565937536404e-14,-2.96124533007484e-14,-2.81493551091207e-14,-7.33040453317675e-15,2.22539939826602e-11,1.31042624103619e-11,1.31132041931307e-11,1.31330653418881e-11,1.31497998910294e-11,1.31630147427305e-11,-2.47886519588618e-13,-2.28669037905109e-13,-1.64148512922361e-13,-2.71547026984868e-13,-3.94619901709191e-13,-3.92197259406989e-13,-6.57730778328991e-13,-6.75468619386454e-13,-8.89976978426781e-14,-3.10304559541402e-13
"policyTRUE:age_grp25-34",3.31634810306315e-12,-1.3148759144014e-11,-3.23575413552665e-12,-4.80271407918958e-12,-3.25810733217959e-12,-3.26769589673601e-12,-3.27646176112665e-12,-3.28222714921316e-12,3.0103823645627e-13,2.40269441909655e-13,2.0307524246811e-13,2.52922424888652e-13,2.97889958581075e-13,2.81428019616816e-13,3.01266970399755e-13,3.82625775516308e-13,3.67091914611918e-14,3.51252141752922e-13,-1.36207133602874e-14,-3.73059016935899e-14,1.46842324793372e-14,-5.32414138629714e-15,-1.25500147448285e-14,-2.7935948221613e-15,-1.32080843193652e-14,-3.45765405284822e-14,-2.08775728854441e-14,-2.00204557006122e-14,3.88029213177007e-14,-3.15037186904569e-14,-3.86889215677705e-14,-4.28304310697449e-14,-3.54647375955827e-14,-2.75633781514533e-14,-9.06245447870331e-15,1.31042624103622e-11,1.6248095528189e-11,1.31296643974708e-11,1.31389709384708e-11,1.31473075667798e-11,1.31527567322341e-11,-4.42194841906792e-13,-3.58361649057253e-13,-2.44412585965564e-13,-3.7695415212822e-13,-4.90157479740939e-13,-4.85356017767577e-13,-5.1672625806675e-13,-6.77304824385628e-13,6.68311841782292e-14,-4.40290990787408e-13
