"","(Intercept)","policyTRUE","age_grp16-19","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"curr_pts_reg2",-1.63730046351592e-13,1.56134497169838e-13,-1.85237083020223e-13,-3.11482239546692e-14,-3.42616854921547e-14,-4.18874491851681e-14,-4.33150316192293e-14,-3.93372894844603e-14,-2.26151569815208e-14,1.55981884333938e-13,6.91736491701468e-12,1.56648233539161e-13,1.63298865965777e-13,1.58349008041022e-13,1.5723209574307e-13,1.64174906620885e-13,1.60646533065008e-13,1.55238972263849e-13,1.61267362318077e-13,1.52981595493955e-14,7.38280034666675e-15,2.26625807692761e-15,1.1988213632504e-14,1.00744731070476e-14,5.9674501764252e-15,-2.2202209170986e-15,2.34958084759266e-14,2.23748599993062e-14,2.33735330121041e-14,-5.12311194268605e-14,4.30994072817877e-14,5.46983012990729e-14,6.19246480672082e-14,5.71193623047349e-14,4.22430947900584e-14,4.42649388754551e-15,-1.55374196211458e-13,-6.91632386479563e-12,-1.54810926746926e-13,-1.56710208821019e-13,-1.54949326600951e-13,-1.53895770294278e-13,-1.56814477337643e-13,-1.55539714124882e-13,-1.52321274125842e-13,-1.51082214287428e-13
"curr_pts_reg3",-3.06103764972945e-13,1.56326461560045e-13,-1.40917502004876e-13,7.32777096543748e-14,9.99944906394841e-14,9.72158322334489e-14,1.09444161108811e-13,1.09383411123474e-13,1.14458656489576e-13,1.55924316667481e-13,1.5664823353916e-13,5.48769943307284e-12,1.70369757053653e-13,1.61513779909708e-13,1.61037198408428e-13,1.74101260599913e-13,1.67261269387422e-13,1.61829579901251e-13,1.72084676797899e-13,1.47593194629677e-14,7.50655173973376e-15,1.79284006973346e-15,9.09848911699656e-15,8.80526282090348e-15,4.31931736135549e-15,-6.30332769128959e-15,2.25757816959529e-14,1.34922815337203e-14,1.69373002889361e-14,-5.76018376325779e-14,4.6321824122863e-14,6.08435378361773e-14,7.08064867886321e-14,6.43105146206391e-14,4.4276064614779e-14,8.47945549008553e-15,-1.55469822410527e-13,-1.55126155093146e-13,-5.48272619883359e-12,-1.58473011975445e-13,-1.54973474552048e-13,-1.53514462615889e-13,-1.59527782028293e-13,-1.56533129165598e-13,-1.5149092764279e-13,-1.49983543945755e-13
"curr_pts_reg4",-3.49688779163693e-13,1.56488730209288e-13,-3.94928959195076e-13,3.0039593681497e-14,8.11940160517065e-14,1.0094150402534e-13,1.13140445492230e-13,1.25967929764774e-13,1.50341554782368e-13,1.61737739857112e-13,1.63298865965774e-13,1.70369757053653e-13,5.43050631917902e-11,1.75899693204298e-13,1.75543412750002e-13,2.0139516357663e-13,1.88338137084482e-13,1.80938381882111e-13,2.02037784420337e-13,2.75560834503318e-14,1.13216639383376e-14,1.23602993828671e-14,3.11046268380533e-14,1.44261092300501e-14,1.1342908135617e-14,-2.71769625328074e-15,5.02603697903342e-14,4.15335374829476e-14,3.77106964190165e-14,-8.67677302744601e-14,8.95790567954163e-14,9.98901318113264e-14,1.19588234059882e-13,1.06376988896004e-13,8.20480343027698e-14,1.34837337605649e-14,-1.56063147268922e-13,-1.55362254705682e-13,-1.5431492389784e-13,-5.42747257022850e-11,-1.5576249302904e-13,-1.52412076793899e-13,-1.64593439411181e-13,-1.5863636231115e-13,-1.49390497057328e-13,-1.46425373128181e-13
"curr_pts_reg5",-1.79821071038669e-13,1.56206573304151e-13,-3.15190674673662e-13,-1.298414711494e-13,-8.70082164860684e-14,-7.19672992903826e-14,-5.63258821740876e-14,-4.22866934247986e-14,-1.58794407792673e-14,1.58363630179651e-13,1.58349008041021e-13,1.61513779909707e-13,1.75899693204297e-13,3.24533076613695e-11,1.6697772756895e-13,1.83976555069997e-13,1.76866381755967e-13,1.65028922793662e-13,1.84415050916587e-13,2.63726001045876e-14,1.4149329524591e-14,2.5969800385474e-15,1.78526477900986e-14,1.74961087928142e-14,4.5431291776421e-15,8.78202632093104e-16,3.93439563280347e-14,2.92299061439798e-14,3.23182407936094e-14,-1.04947446904333e-13,8.58522317638429e-14,1.06927354430527e-13,1.18667667427226e-13,1.09145490032405e-13,8.25389102786127e-14,1.26026136657055e-14,-1.56335013238792e-13,-1.5480524778128e-13,-1.5420741470069e-13,-1.58622069106574e-13,-3.2439983011886e-11,-1.52608761442999e-13,-1.60035468653855e-13,-1.55662322787736e-13,-1.48981062027224e-13,-1.48176502965534e-13
"curr_pts_reg6",-2.85097416989252e-13,1.56246980511402e-13,-2.07416366520055e-13,-6.88660575026557e-14,-2.02777064808068e-15,1.52708594235745e-14,4.19916898666264e-14,5.1400481382512e-14,6.34341157845395e-14,1.56975571515829e-13,1.57232095743071e-13,1.61037198408428e-13,1.75543412750003e-13,1.6697772756895e-13,4.61146109976687e-11,1.85493746036999e-13,1.77989815111836e-13,1.65912564179371e-13,1.87294617749696e-13,2.73908136155772e-14,1.70842405400598e-14,1.67957083997198e-14,3.10268042288977e-14,1.83103209432675e-14,1.68681381994704e-14,-2.23954820828856e-15,5.49004715398175e-14,4.15171565659499e-14,3.60953154815903e-14,-1.11513265403457e-13,9.72219128279221e-14,1.21664662214334e-13,1.403402777483e-13,1.31809849934997e-13,9.26027781243741e-14,1.03215758308911e-14,-1.56400495779547e-13,-1.54873375433943e-13,-1.54379335808402e-13,-1.58979558001844e-13,-1.54052672974916e-13,-4.61003129316681e-11,-1.61083040400167e-13,-1.56046987422195e-13,-1.49057006434508e-13,-1.48954624776527e-13
"curr_pts_reg7",-3.37868094587234e-13,1.56579523700854e-13,-4.73639593298026e-13,-1.54271331101034e-13,1.12171664750788e-14,4.72103789969769e-14,8.10008416470463e-14,8.79059275883245e-14,1.13359381072051e-13,1.63005538474471e-13,1.64174906620883e-13,1.74101260599913e-13,2.01395163576632e-13,1.83976555069997e-13,1.85493746036996e-13,1.42851089180029e-10,2.04613246962039e-13,1.92108049087647e-13,2.28668630075929e-13,3.83061530719477e-14,1.40155591179018e-14,2.66316584957962e-15,2.8927764731353e-14,3.8548855602062e-14,2.59448864170282e-14,1.59706062535608e-14,6.19787156133872e-14,5.63982535422307e-14,5.4704523454246e-14,-1.38762196963974e-13,1.17558609956127e-13,1.46418339767243e-13,1.67436975213502e-13,1.71583461196577e-13,1.25794076469833e-13,2.81474304088303e-14,-1.57285416002115e-13,-1.55207796129539e-13,-1.54236343352481e-13,-1.63831796933845e-13,-1.55328860006775e-13,-1.52234254062815e-13,-1.42799887042424e-10,-1.59353606558563e-13,-1.47667130861162e-13,-1.46827577272809e-13
"curr_pts_reg8",-2.15980633054621e-13,1.56250399682821e-13,-4.16889029898464e-13,-2.37441568212466e-13,-1.30538829841701e-13,-7.63486572087711e-14,-5.3166108622813e-14,-3.01785974296613e-14,-9.84975544037228e-15,1.60608024551024e-13,1.60646533065005e-13,1.67261269387418e-13,1.8833813708448e-13,1.76866381755966e-13,1.77989815111835e-13,2.04613246962038e-13,1.34760641034232e-10,1.7845328168872e-13,2.11332785974275e-13,3.67656311000506e-14,2.30711680286934e-14,3.46642328854926e-15,3.04780964736098e-14,1.89454575083283e-14,1.66282571643946e-14,1.42063317000842e-15,6.22634092117033e-14,4.89540242525094e-14,6.36712918361956e-14,-1.63937922315071e-13,1.27962551404131e-13,1.66741705793136e-13,1.90318629302904e-13,1.76429467527751e-13,1.23583740070303e-13,1.33332375519862e-14,-1.57306841129772e-13,-1.5464256584178e-13,-1.53927611623377e-13,-1.60765084378969e-13,-1.53591221644633e-13,-1.51914609414844e-13,-1.64059550908991e-13,-1.34722849715922e-10,-1.46845473842531e-13,-1.46990927343146e-13
"curr_pts_reg9",-4.14871470305766e-13,1.57188316237469e-13,-2.7665321014006e-13,9.68843558509257e-15,1.46889807376134e-13,1.47995133018411e-13,1.65967920625712e-13,1.82759119043163e-13,1.58776812501925e-13,1.5483078153397e-13,1.55238972263849e-13,1.61829579901253e-13,1.80938381882111e-13,1.65028922793661e-13,1.65912564179375e-13,1.92108049087647e-13,1.78453281688722e-13,1.53174615246311e-10,1.92646621702773e-13,5.00256086725256e-14,2.58194056290264e-14,-1.62589926136206e-14,1.25039555839613e-14,7.52090109688456e-15,4.47429498759597e-15,-1.97942955395848e-14,4.08397037874989e-14,3.26073659273306e-14,4.24426889697588e-14,-1.53587632048889e-13,1.14796782056988e-13,1.49177549381834e-13,1.73780661896518e-13,1.63729121274032e-13,9.93284325650082e-14,1.64905136758448e-14,-1.55681694402836e-13,-1.53969731646614e-13,-1.53189029671709e-13,-1.60398562882528e-13,-1.52554667728239e-13,-1.50719284217724e-13,-1.63232212783406e-13,-1.55292675483017e-13,-1.53152963593871e-10,-1.45085040117129e-13
"curr_pts_reg10-150",-2.93247947182155e-13,1.57158381387069e-13,-5.17657814140282e-13,-3.69253113550227e-13,-8.48624161986007e-14,-2.61899922517217e-14,-1.46089563376373e-16,1.80069945218521e-14,2.85289806409625e-14,1.60000843064552e-13,1.6126736231808e-13,1.720846767979e-13,2.02037784420339e-13,1.84415050916589e-13,1.87294617749699e-13,2.28668630075934e-13,2.11332785974273e-13,1.92646621702777e-13,1.04054527862038e-10,4.13299593738101e-14,1.04178977739881e-14,2.13911812276911e-15,3.88405085610571e-14,4.5648478490917e-14,2.51076762878276e-14,1.16086654396475e-14,9.43238559976335e-14,8.34509499227173e-14,7.12366634784446e-14,-2.14923487827543e-13,1.6526176341663e-13,2.20496609631254e-13,2.25500326832461e-13,2.28283663055859e-13,1.62715185220712e-13,2.16364086490166e-14,-1.57466824681549e-13,-1.54302963589485e-13,-1.53580945474007e-13,-1.63613821701666e-13,-1.52916834272545e-13,-1.50578605807371e-13,-1.70420553935881e-13,-1.57408113999972e-13,-1.43352957740967e-13,-1.03957355376076e-10
"month02",-1.05311407870193e-12,6.24828762892213e-15,1.46735579783877e-14,1.17365378109884e-14,1.28464488945348e-14,1.33870236164839e-14,1.23778817060216e-14,9.86034123262229e-15,5.77063917545281e-15,1.60074239996251e-14,1.52981595493934e-14,1.47593194629638e-14,2.75560834503302e-14,2.63726001045841e-14,2.73908136155767e-14,3.83061530719474e-14,3.67656311000524e-14,5.00256086725274e-14,4.13299593738081e-14,2.34280260405389e-12,1.01296731496651e-12,1.0134562450605e-12,1.01306970418616e-12,1.01303106249542e-12,1.01315023631811e-12,1.01322249264037e-12,1.01302607713936e-12,1.01268320367832e-12,1.01311631542444e-12,1.01301849697342e-12,2.61573543762748e-14,2.44638632999013e-14,1.98089831578404e-14,1.88203082777759e-14,2.46546995812933e-14,1.68663193416469e-14,4.51274961475621e-15,1.14383144397501e-14,1.18911045757619e-14,2.75122620160448e-14,1.81166842055259e-14,1.5930360403547e-14,3.53384672183924e-14,3.17574808418174e-14,1.53072376074455e-14,3.33843381777451e-14
"month03",-1.0517672612632e-12,7.17709317005705e-15,3.13173864560529e-14,2.10806858826606e-14,1.21353694072699e-14,9.6297268243643e-15,6.48095805558316e-15,5.92467629008341e-15,3.37805770556944e-15,1.01918134584218e-14,7.38280034666538e-15,7.50655173973239e-15,1.13216639383392e-14,1.41493295245898e-14,1.70842405400618e-14,1.4015559117895e-14,2.30711680286955e-14,2.58194056290228e-14,1.04178977739892e-14,1.01296731496651e-12,2.25339926499522e-12,1.01380297390062e-12,1.01301670201918e-12,1.0132508791089e-12,1.01342483127937e-12,1.01331018851437e-12,1.01338086961162e-12,1.01274197519994e-12,1.01334423100525e-12,1.01340357422397e-12,7.37903151483153e-15,2.30251958430868e-14,2.14231063099702e-14,2.87466226577558e-14,3.985205366888e-14,1.14518890052735e-14,1.34399606722723e-14,2.68023675147818e-14,2.79491174350303e-14,4.60501023133433e-14,4.71175709587487e-14,4.50144417962975e-14,7.0639302432331e-14,6.63798883984381e-14,4.35464689071689e-14,7.20599700975751e-14
"month04",-1.05182369634376e-12,2.33120766941678e-14,3.37444099439941e-14,1.09250891360733e-14,-1.59949290475146e-15,-1.01844585228359e-14,-7.28172439622812e-15,-4.82673968407453e-15,-1.86838473342115e-15,-7.71855307283115e-15,2.26625807692745e-15,1.79284006973266e-15,1.23602993828711e-14,2.59698003854947e-15,1.67957083997202e-14,2.66316584958108e-15,3.46642328855811e-15,-1.62589926136194e-14,2.13911812277341e-15,1.01345624506051e-12,1.01380297390063e-12,2.2746385425129e-12,1.01307990591042e-12,1.01301038004457e-12,1.01330308056529e-12,1.01321129005124e-12,1.01355483245367e-12,1.0130669947072e-12,1.01361320583108e-12,1.01300358807489e-12,2.54464642966262e-14,2.16492217103599e-14,2.66345453284089e-14,2.80399248044842e-14,4.9982381460837e-14,1.94870683362901e-14,3.96569361959749e-14,3.54442215916309e-14,3.04111010410796e-14,5.33887850640478e-14,5.71967570206462e-14,5.21807076040082e-14,9.088941692663e-14,9.57001458786435e-14,9.86385115279768e-14,1.50947973099338e-13
"month05",-1.03299535282424e-12,2.1428399523321e-14,4.40555849261549e-14,6.08851877301627e-15,-1.53296910227528e-14,-2.3684378226967e-14,-2.26821810641072e-14,-1.92127868916885e-14,-1.66844212333773e-14,8.51942328759907e-15,1.19882136325017e-14,9.09848911699421e-15,3.1104626838054e-14,1.78526477901e-14,3.10268042289012e-14,2.89277647313493e-14,3.04780964736131e-14,1.25039555839598e-14,3.8840508561059e-14,1.01306970418615e-12,1.01301670201917e-12,1.01307990591041e-12,2.27103961540576e-12,1.01259733469402e-12,1.01284997781305e-12,1.01295986720899e-12,1.01307960104938e-12,1.01279998719659e-12,1.01323855816617e-12,1.01256461387902e-12,2.86085057828325e-14,2.23059511793994e-14,1.6277302999793e-14,1.72649907662479e-14,3.57207665734957e-14,6.90497736215015e-15,2.81683720567182e-14,2.15869041657907e-14,2.38176473839177e-14,3.63415604012043e-14,4.38262659044195e-14,4.64407731102649e-14,5.73926532209598e-14,6.71585044677016e-14,8.2668843527605e-14,1.18695438322313e-13
"month06",-1.00220078426453e-12,1.73219653540389e-14,3.79823594828672e-14,-2.16312886384835e-14,-4.30813370721585e-14,-5.3859270827611e-14,-5.41730115755371e-14,-5.11777525613658e-14,-4.90761030177742e-14,3.77878181952026e-15,1.00744731070483e-14,8.80526282090238e-15,1.44261092300528e-14,1.74961087928187e-14,1.83103209432725e-14,3.85488556020589e-14,1.89454575083335e-14,7.52090109688149e-15,4.56484784909164e-14,1.01303106249542e-12,1.0132508791089e-12,1.01301038004457e-12,1.01259733469403e-12,2.27661707096721e-12,1.01287489398734e-12,1.01294845038958e-12,1.01311762933798e-12,1.01251150951283e-12,1.01321683571125e-12,1.01238216913558e-12,2.09973153089486e-14,2.24215718204848e-14,3.39907631001085e-14,2.34458805392712e-14,3.34841289170419e-14,1.401121722369e-14,1.52453111436121e-14,1.70831958796391e-14,1.55855469325433e-14,4.20020813611002e-14,2.8381267651662e-14,3.82359924964734e-14,1.95634695600669e-14,5.55930925095927e-14,6.57118646338844e-14,8.95597527042492e-14
"month07",-9.95543985377489e-13,1.2423361704916e-14,5.12294222927605e-14,-1.63202523473e-14,-3.82262660700527e-14,-5.20099905944548e-14,-5.46604997690015e-14,-5.42250004478236e-14,-5.19889245229848e-14,-5.29417649104591e-15,5.96745017642387e-15,4.31931736135296e-15,1.13429081356161e-14,4.54312917763882e-15,1.68681381994699e-14,2.59448864170239e-14,1.66282571643899e-14,4.47429498759154e-15,2.51076762878216e-14,1.01315023631811e-12,1.01342483127937e-12,1.01330308056528e-12,1.01284997781306e-12,1.01287489398734e-12,2.19829130870431e-12,1.01308988532669e-12,1.01312360253689e-12,1.01291932994651e-12,1.01343505477279e-12,1.01293780037693e-12,1.60395484074881e-14,1.89564670301042e-14,1.86724670284927e-14,1.59777462988417e-14,3.83050485864526e-14,1.66259778308204e-14,2.3782142860735e-14,1.14088847894474e-14,9.16673108027967e-15,2.76164844557449e-14,2.04875205055989e-14,2.04673624056031e-14,2.44875797023096e-14,5.15720717854242e-14,5.72513682189263e-14,8.47875458171623e-14
"month08",-9.67747655982245e-13,9.25181228614567e-15,3.63406998595381e-14,-4.65262116088591e-14,-6.83125252623608e-14,-7.84206832080141e-14,-7.97538584680104e-14,-7.67597322897196e-14,-7.30484785527377e-14,-2.48424062911361e-15,-2.22022091710157e-15,-6.30332769129317e-15,-2.71769625327761e-15,8.78202632093312e-16,-2.23954820828901e-15,1.59706062535586e-14,1.42063317000812e-15,-1.9794295539585e-14,1.1608665439645e-14,1.01322249264037e-12,1.01331018851436e-12,1.01321129005123e-12,1.01295986720899e-12,1.01294845038957e-12,1.01308988532669e-12,2.07445420903729e-12,1.01324187977415e-12,1.0128529893414e-12,1.01343771115762e-12,1.01272885763943e-12,2.34826028986882e-14,2.87197721601602e-14,2.24183223031873e-14,2.04070873578437e-14,3.41346210746351e-14,1.70034985700994e-14,1.19739544898047e-14,3.38620290432659e-15,8.20069725659796e-15,1.67221408832415e-14,1.97085675261269e-15,2.06989700263455e-15,1.58235705507356e-15,1.14967173610216e-14,3.04214218913639e-14,3.52125253288683e-14
"month09",-9.92793334847947e-13,1.02835044394586e-14,5.29702749858913e-14,-4.00060485178615e-14,-5.98006223560701e-14,-6.9006274604774e-14,-7.05311348201419e-14,-6.91048182690082e-14,-7.06762393349508e-14,1.74865120227543e-14,2.3495808475924e-14,2.25757816959503e-14,5.02603697903358e-14,3.93439563280329e-14,5.49004715398181e-14,6.1978715613388e-14,6.22634092117022e-14,4.08397037874934e-14,9.43238559976312e-14,1.01302607713936e-12,1.01338086961163e-12,1.01355483245366e-12,1.01307960104938e-12,1.01311762933798e-12,1.0131236025369e-12,1.01324187977416e-12,2.40261642196076e-12,1.01279878465475e-12,1.01330699761293e-12,1.01280675186328e-12,3.60145873523889e-14,2.57804442711131e-14,3.7487689376863e-14,3.9674757805663e-14,4.34770831363259e-14,1.01890664071967e-14,1.89688873741695e-14,1.03962317027485e-14,1.02732075617346e-14,1.97951973881341e-14,2.33865478546339e-14,2.20445472232525e-14,2.60920599042233e-14,3.5034006323107e-14,4.90956099499147e-14,6.8456919493121e-14
"month10",-1.00398031095318e-12,1.11366495558893e-14,8.63115321286788e-14,-1.47647241239407e-14,-2.88000134307863e-14,-3.43696930087459e-14,-3.73466856664701e-14,-3.71388441238545e-14,-3.80837012671275e-14,1.58400053725773e-14,2.23748599993043e-14,1.34922815337184e-14,4.15335374829516e-14,2.9229906143979e-14,4.15171565659488e-14,5.63982535422279e-14,4.89540242525101e-14,3.26073659273294e-14,8.34509499227175e-14,1.01268320367833e-12,1.01274197519994e-12,1.01306699470719e-12,1.01279998719659e-12,1.01251150951283e-12,1.01291932994651e-12,1.0128529893414e-12,1.01279878465475e-12,2.3144196209469e-12,1.01280734261021e-12,1.01281440134664e-12,1.81451916433641e-14,-2.08160823075182e-15,3.93376450645672e-15,3.10323723331448e-15,2.49151451594077e-14,2.76159760476347e-15,2.33184436550622e-14,1.18652896336477e-14,1.40310211041003e-14,1.98983581026337e-14,2.44503662989482e-14,1.9140558516812e-14,4.18643945167483e-14,4.27137204614123e-14,4.01191492854597e-14,4.9442112265046e-14
"month11",-1.03200659267197e-12,5.15050992801958e-15,8.82018430136548e-14,-6.10299426007341e-15,-1.35154742519345e-14,-1.3979089798226e-14,-1.85080582689734e-14,-1.90873043889467e-14,-2.19044233113092e-14,3.07192838052771e-14,2.33735330121024e-14,1.69373002889328e-14,3.77106964190176e-14,3.23182407936099e-14,3.60953154815913e-14,5.47045234542467e-14,6.36712918361953e-14,4.24426889697563e-14,7.12366634784347e-14,1.01311631542443e-12,1.01334423100524e-12,1.01361320583106e-12,1.01323855816616e-12,1.01321683571124e-12,1.01343505477278e-12,1.01343771115762e-12,1.01330699761292e-12,1.0128073426102e-12,2.3098685613345e-12,1.01302117364891e-12,2.56800663837666e-14,2.72879378674273e-14,3.10810832628477e-14,1.1854672512975e-14,4.28741361390417e-14,1.77628210673379e-14,-2.64721907273057e-15,4.68316170897581e-15,7.57641456183036e-15,1.3512664910253e-14,1.8572818557237e-14,1.33959207543644e-14,6.38511515584113e-15,1.29434567505246e-14,3.02090662733818e-14,2.62605104918336e-14
"month12",-9.75708348121978e-13,8.48739737077111e-15,2.14112159944893e-14,-4.14815669359125e-14,-3.61560234915553e-14,-3.33351768388433e-14,-3.29257358829745e-14,-2.822829892886e-14,-2.06840207402618e-14,-4.0520865450455e-14,-5.1231119426861e-14,-5.76018376325805e-14,-8.67677302744561e-14,-1.04947446904334e-13,-1.11513265403456e-13,-1.38762196963975e-13,-1.63937922315071e-13,-1.53587632048893e-13,-2.14923487827542e-13,1.01301849697341e-12,1.01340357422396e-12,1.01300358807487e-12,1.01256461387901e-12,1.01238216913556e-12,1.01293780037692e-12,1.01272885763943e-12,1.01280675186327e-12,1.01281440134663e-12,1.01302117364891e-12,1.59969996375843e-12,2.18386252315069e-15,5.94588846678645e-16,-1.20306780642261e-14,8.01104228759194e-16,2.49198042818118e-14,1.37208999057191e-14,4.82906871743243e-15,1.49794120441097e-14,1.73736300891383e-14,2.61858906547629e-14,2.93550668095612e-14,2.55707970878685e-14,4.9660230393317e-14,5.98585734580506e-14,5.41910037753008e-14,1.00916698498087e-13
"weekdayMonday",-5.34840867786305e-13,6.36557505110457e-16,-1.78404764406664e-14,-8.78345528032438e-15,2.67833671532299e-15,9.8753132081362e-15,9.13147210697552e-15,1.02739390546706e-14,7.13300817962397e-15,3.74824184273118e-14,4.30994072817851e-14,4.6321824122861e-14,8.95790567954143e-14,8.58522317638427e-14,9.72219128279224e-14,1.17558609956126e-13,1.27962551404131e-13,1.14796782056987e-13,1.65261763416626e-13,2.61573543762773e-14,7.37903151483138e-15,2.54464642966256e-14,2.86085057828365e-14,2.09973153089478e-14,1.60395484074904e-14,2.34826028986933e-14,3.60145873523913e-14,1.81451916433643e-14,2.56800663837716e-14,2.1838625231564e-15,1.19559230050367e-12,4.94435871267735e-13,4.94453963840714e-13,4.94339207807118e-13,4.94286092944907e-13,4.94413706158155e-13,-1.09354280945883e-15,-3.14202573582512e-15,-2.81497546881803e-15,-1.24565001894825e-14,-8.52855960790876e-16,-5.60887061408011e-15,-5.45078010406429e-15,-1.74306097208117e-14,1.94116605701292e-14,-1.19127888329344e-14
"weekdayTuesday",-5.35974778834448e-13,-1.06874810376769e-15,-1.905122499252e-14,-1.60663332025457e-14,9.90837030480573e-16,1.09216702743234e-14,8.81235488036746e-15,8.55358973853786e-15,5.39379633645709e-15,3.74192282868166e-14,5.46983012990728e-14,6.08435378361762e-14,9.98901318113291e-14,1.06927354430527e-13,1.21664662214337e-13,1.46418339767242e-13,1.66741705793134e-13,1.49177549381833e-13,2.20496609631258e-13,2.44638632999028e-14,2.30251958430867e-14,2.16492217103579e-14,2.23059511794026e-14,2.24215718204842e-14,1.8956467030106e-14,2.87197721601644e-14,2.57804442711147e-14,-2.08160823075264e-15,2.72879378674321e-14,5.94588846682876e-16,4.94435871267734e-13,1.26184881874775e-12,4.94700769209489e-13,4.94488524292455e-13,4.94570245653121e-13,4.94507705839039e-13,1.43156250526933e-14,-2.7913371719999e-15,-3.85522777276766e-16,9.54378418664073e-17,6.03298730502806e-15,2.51805695153421e-15,1.48408697261721e-14,-8.14955731585646e-15,3.1939964169313e-14,-2.7291350871888e-14
"weekdayWednesday",-5.46881789660831e-13,-2.29176920899172e-15,-1.11239342861331e-14,-7.272604475916e-15,9.63718694426481e-15,2.01411240597242e-14,1.83267554840503e-14,1.74696551542044e-14,1.32026245808755e-14,4.71449605721106e-14,6.19246480672068e-14,7.08064867886325e-14,1.19588234059881e-13,1.18667667427227e-13,1.40340277748303e-13,1.67436975213504e-13,1.90318629302906e-13,1.73780661896516e-13,2.25500326832458e-13,1.98089831578416e-14,2.14231063099698e-14,2.66345453284067e-14,1.62773029997964e-14,3.39907631001073e-14,1.86724670284942e-14,2.24183223031915e-14,3.74876893768643e-14,3.93376450645621e-15,3.10810832628522e-14,-1.20306780642217e-14,4.94453963840713e-13,4.94700769209489e-13,1.30047231168131e-12,4.94612207345541e-13,4.94565586916992e-13,4.94521219145969e-13,1.80362838587709e-15,-2.13705596130811e-15,-3.23567787239605e-15,-6.11415795367984e-15,1.24576580638181e-15,-2.83125328033146e-15,-1.34011026130706e-14,-2.52076651538771e-14,1.98866272725496e-14,-7.04084673521942e-15
"weekdayThursday",-5.39902917284526e-13,-3.2637318493913e-15,-1.31908592370347e-14,-9.12805324533533e-15,5.45067386427813e-15,1.63022580597992e-14,1.51190196525169e-14,1.4224525607186e-14,9.62838404852517e-15,4.08437556100293e-14,5.71193623047347e-14,6.43105146206401e-14,1.06376988896004e-13,1.09145490032407e-13,1.31809849934999e-13,1.71583461196577e-13,1.7642946752775e-13,1.63729121274031e-13,2.28283663055855e-13,1.88203082777752e-14,2.87466226577536e-14,2.80399248044799e-14,1.72649907662484e-14,2.3445880539268e-14,1.5977746298841e-14,2.0407087357847e-14,3.96747578056633e-14,3.10323723331151e-15,1.18546725129777e-14,8.01104228761875e-16,4.94339207807116e-13,4.94488524292454e-13,4.9461220734554e-13,1.27021686157885e-12,4.94615366126921e-13,4.94443499272499e-13,1.73094515511608e-15,-6.2012556970245e-15,-8.46908871853096e-15,-8.24237957080361e-15,-6.8946148407307e-15,-1.68024379087131e-14,-3.18749438824891e-14,-2.61488919863565e-14,1.71632521216893e-14,-3.86942502239104e-14
"weekdayFriday",-5.48582060178306e-13,-4.30007433563493e-16,3.22835443175176e-15,-7.44447343388749e-16,4.79359618130555e-15,1.11562208364904e-14,9.6147008806353e-15,6.97394105800865e-15,8.07276197142776e-16,3.45758383636616e-14,4.22430947900579e-14,4.42760646147777e-14,8.20480343027682e-14,8.2538910278612e-14,9.26027781243744e-14,1.25794076469831e-13,1.23583740070304e-13,9.93284325650076e-14,1.62715185220713e-13,2.46546995812916e-14,3.98520536688767e-14,4.99823814608323e-14,3.57207665734954e-14,3.34841289170373e-14,3.8305048586451e-14,3.4134621074636e-14,4.34770831363239e-14,2.49151451594033e-14,4.28741361390429e-14,2.49198042818134e-14,4.94286092944904e-13,4.94570245653119e-13,4.94565586916991e-13,4.94615366126919e-13,1.21851863135784e-12,4.94643143916841e-13,3.99702190593443e-15,8.76331169032744e-16,1.63204077448602e-15,-1.99650997565971e-15,-8.83823034730915e-17,9.85634322594329e-16,-1.26535036304759e-14,-1.04331809902866e-14,3.79183225543088e-14,-5.14562638839825e-15
