"","(Intercept)","policyTRUE","age_grp16-19","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"month08",-5.86123685454557e-13,4.35808795746221e-15,3.12220150586036e-14,-1.48251231792298e-15,-1.21585636740781e-14,-1.62472247371425e-14,-1.68124466781459e-14,-1.70100775629915e-14,-1.55635656580322e-14,1.685861581304e-15,-2.65346496084387e-15,-2.50364794143118e-15,3.94507926684784e-15,-2.61380488106228e-15,2.03703249923404e-15,-8.52941257112845e-16,1.21372745776618e-14,-3.98826638885075e-15,9.55957404097614e-16,5.84161513720717e-13,5.84244820859651e-13,5.84223957355507e-13,5.84092712808173e-13,5.84066411432234e-13,5.8408050455038e-13,1.22012750692575e-12,5.84263621902283e-13,5.83969742309507e-13,5.8435841604388e-13,5.83810236309934e-13,1.61422606934284e-14,1.94042142321919e-14,1.59664037839277e-14,1.43623226300236e-14,2.01364500333669e-14,9.18374087220501e-15,1.11184449161536e-14,3.83338906749176e-15,6.8887395193751e-15,1.08555855832023e-14,1.3557322825333e-15,5.12940873418606e-15,1.56788141253281e-14,1.39445595803065e-15,1.82645137504468e-14,3.94293932925461e-14
"month09",-6.14639125823552e-13,7.89186800025631e-15,5.14440548094163e-14,1.11614257332832e-14,3.47575326810468e-15,-5.30496034369835e-16,-4.05646767119466e-15,-6.80006650990935e-15,-8.51724904106356e-15,2.3623346704665e-14,2.13193538522837e-14,2.12105904612535e-14,4.12782521506014e-14,4.63880102009632e-14,4.64439111114517e-14,4.51686243262368e-14,6.8695459537109e-14,2.26509447073943e-14,6.49755467334961e-14,5.84066576771658e-13,5.84406710074161e-13,5.84492502024241e-13,5.84177213305196e-13,5.84297842790731e-13,5.84105358452077e-13,5.84263621902281e-13,1.47429752793146e-12,5.83931433010368e-13,5.84373393062288e-13,5.83909887841533e-13,2.53299082066177e-14,2.56810137486252e-14,3.52042324704503e-14,3.20418507396441e-14,3.14635915368597e-14,5.37625888935622e-15,1.27768580013456e-14,1.27838430889877e-14,2.02112867657054e-14,2.434833522287e-14,1.78859301140963e-14,3.98399918860453e-14,8.79501831340343e-14,5.6848157329671e-14,9.08318348748349e-14,1.16645752626114e-13
"month10",-6.07249252102218e-13,8.47605117756281e-15,6.0434459451684e-14,1.627818847225e-14,9.2040206598987e-15,4.36378615185164e-15,-4.00180797456218e-16,-2.78336280140566e-15,-4.50410920062058e-15,2.05118261439934e-14,2.0153895584953e-14,1.98416047896361e-14,6.40683557481682e-14,4.73991190572941e-14,3.70687422868575e-14,3.11910194249453e-14,1.09918867174622e-13,3.4245173148652e-14,7.0838168581292e-14,5.83809503007283e-13,5.83886655216205e-13,5.84145484483085e-13,5.8394558564566e-13,5.83804589421619e-13,5.84025738795601e-13,5.83969742309509e-13,5.83931433010373e-13,1.42173005744127e-12,5.83923114309439e-13,5.83995894473846e-13,1.59056239258947e-14,4.92860946974149e-15,1.0712092932666e-14,9.77530287116433e-15,2.11063591687106e-14,4.71070124829103e-15,1.19169408453652e-14,1.49239727268654e-14,1.8883156499171e-14,2.85485551283931e-14,1.30963843881761e-14,4.34704127595933e-14,5.72761531512475e-14,2.39810098133441e-14,6.00134600828624e-14,6.30377573119349e-14
"month11",-6.21214035015139e-13,4.13647122909862e-15,6.45298891838503e-14,1.84998206556017e-14,1.53087070155459e-14,1.46376671326386e-14,7.76232923413495e-15,4.13501292047286e-15,2.57721675148981e-15,1.16159768141756e-14,2.26039059273405e-14,2.38400536685085e-14,5.40174808826359e-14,4.57363696890592e-14,5.82520264076431e-14,3.26892582742272e-14,6.78156178423977e-14,3.47578527355096e-14,9.86118119800559e-14,5.84105680050943e-13,5.84281784993617e-13,5.84551336670455e-13,5.84275293876003e-13,5.84213468375326e-13,5.84336962961711e-13,5.84358416043881e-13,5.84373393062291e-13,5.83923114309437e-13,1.42639342523439e-12,5.84006364137397e-13,2.47093818538019e-14,2.30672696408563e-14,2.74029046045947e-14,1.32045409928539e-14,3.27040604691351e-14,1.29654379554139e-14,1.35203366182089e-14,5.09378155525957e-15,7.32768294279532e-15,2.13376484060652e-14,1.35420236076193e-14,8.80994495600231e-15,4.86089884406511e-14,3.13242665891178e-14,5.55603944248423e-14,2.0514453765538e-14
"month12",-5.60764520302221e-13,4.77527866640084e-15,3.5571291645581e-15,-2.62987314751633e-14,-2.19411793856699e-14,-2.1502162484873e-14,-1.87340037290128e-14,-1.47340723949854e-14,-1.0015255027631e-14,-4.43891807585492e-14,-4.57495263784137e-14,-4.96412381620716e-14,-7.54524794957451e-14,-9.41515904807231e-14,-1.07668505316947e-13,-1.4997780671628e-13,-1.06511095666317e-13,-1.32589430734763e-13,-2.44769412574451e-13,5.83966655797506e-13,5.84233531206811e-13,5.84023006933404e-13,5.83796195776509e-13,5.83639480581054e-13,5.84032285121823e-13,5.83810236309935e-13,5.83909887841537e-13,5.83995894473844e-13,5.84006364137398e-13,9.1778030221702e-13,-1.6467760572e-15,-5.19831981386359e-15,-1.16803819978835e-14,-5.19799109218075e-15,1.26649152461964e-14,7.80550560675838e-15,1.47337706438996e-14,1.10878713206665e-14,1.81938210158125e-14,2.08183899462447e-14,2.56720437754253e-14,3.10925262255099e-14,6.99503170589197e-14,-5.64770981802311e-15,6.02152379220381e-14,1.20005204601246e-13
"weekdayMonday",-2.85937964278694e-13,7.76233660276728e-17,1.72152238093365e-14,2.43565720082694e-14,2.56898403417884e-14,2.70262500771512e-14,2.11428855059234e-14,1.71006742591567e-14,1.1131515406784e-14,3.49932559877433e-14,5.62713892630684e-14,5.70084962188985e-14,1.09870083537412e-13,1.17171828269702e-13,1.40460832154094e-13,1.64732582037161e-13,1.97705927956516e-13,1.16384371835764e-13,1.90594596159842e-13,1.94864530476702e-14,9.93940893197102e-15,2.16845520273908e-14,1.97219823808104e-14,1.52955326906152e-14,1.07725358745946e-14,1.61422606934283e-14,2.53299082066204e-14,1.59056239258937e-14,2.47093818538011e-14,-1.64677605720061e-15,6.94190481655962e-13,2.40479725774455e-13,2.4045721831322e-13,2.40338796738803e-13,2.40358237280725e-13,2.40435928239893e-13,1.12699252792575e-14,-6.97567345044932e-15,-2.60211324396586e-16,-1.5943244153096e-14,-2.1194040376729e-15,-1.4366972543878e-14,-2.7426607318348e-14,-3.01846813069324e-14,-4.1124700253689e-15,8.11075869228578e-16
"weekdayTuesday",-2.96778347589356e-13,-9.17607987794529e-16,2.18856473494168e-14,2.67278176744032e-14,3.44168157436056e-14,3.82010123150668e-14,3.08467338288467e-14,2.40122398040465e-14,1.72628640777592e-14,4.64237968691352e-14,6.97185332538135e-14,7.4316414839759e-14,1.33623737756052e-13,1.28450795736452e-13,1.77927524428388e-13,2.07676746772791e-13,2.47738928850095e-13,1.59841215225575e-13,2.48828450529855e-13,1.95315288863831e-14,2.02614005835587e-14,1.94164464175649e-14,1.89401236201847e-14,1.78988608680735e-14,1.42821423273739e-14,1.94042142321916e-14,2.56810137486274e-14,4.92860946974029e-15,2.30672696408557e-14,-5.19831981386354e-15,2.40479725774455e-13,7.63134887309422e-13,2.40598128403201e-13,2.40453733810273e-13,2.40490483146631e-13,2.40461034059036e-13,1.25613779594957e-14,-4.86945215804099e-16,2.68637482376468e-15,-6.6661639441188e-15,2.69418778638299e-14,-8.09098249698012e-15,1.1525125393916e-14,-2.5516040316495e-14,1.0186982459812e-14,1.13265088564886e-14
"weekdayWednesday",-2.99516231077008e-13,-1.17717550280469e-15,2.18006157211276e-14,2.46988874576509e-14,3.44185095218444e-14,3.96777053992082e-14,3.06693177698327e-14,2.50404194694181e-14,1.61632281702384e-14,4.88740018383842e-14,7.49227859421935e-14,8.50315337335496e-14,1.40307100950301e-13,1.5805002412064e-13,1.96847158769889e-13,2.05541829249396e-13,2.3986272568182e-13,1.72765621516803e-13,3.01263798127713e-13,1.5057758585844e-14,2.07405681676322e-14,2.52206465064417e-14,1.71136199749776e-14,2.79713944459984e-14,1.47848462739929e-14,1.59664037839274e-14,3.52042324704528e-14,1.0712092932664e-14,2.74029046045934e-14,-1.16803819978847e-14,2.40457218313221e-13,2.40598128403201e-13,7.88614434094867e-13,2.40562943726214e-13,2.40505051789541e-13,2.40472245596021e-13,3.27170867949018e-15,-3.54223233587751e-15,1.44969274426332e-15,2.81205958584277e-15,1.25096214416943e-14,-1.37011448107945e-14,1.97914993599448e-14,-1.13179483396287e-14,2.7431907517755e-15,-2.86727077839277e-14
"weekdayThursday",-2.94240408033076e-13,-1.89843673299766e-15,1.98365155582651e-14,2.2410601432305e-14,3.22194689649186e-14,3.72334268758327e-14,2.89800059540831e-14,2.29274176257981e-14,1.5611477832063e-14,4.59556118618821e-14,7.21716225093951e-14,7.75984622892429e-14,1.31424347840443e-13,1.35884621527221e-13,1.73078412146974e-13,2.07493823808097e-13,2.49402893436149e-13,1.73553397157232e-13,2.64131716649321e-13,1.43736771324133e-14,2.4500086422343e-14,2.5070063859323e-14,1.68049388171425e-14,2.10405725480736e-14,1.25242339414846e-14,1.43623226300229e-14,3.2041850739646e-14,9.77530287116311e-15,1.32045409928519e-14,-5.19799109218243e-15,2.40338796738803e-13,2.40453733810273e-13,2.40562943726214e-13,7.59280052221992e-13,2.40509313088151e-13,2.40419111521972e-13,3.5835652353058e-15,-8.69711362882148e-15,-4.2659754571272e-15,-5.07710597576119e-15,4.85496268134448e-15,-1.5821274327455e-14,-2.14004843806827e-14,-5.42499914108447e-14,-2.43818903944919e-14,-1.99352347520671e-14
"weekdayFriday",-2.93631917034296e-13,6.84764360726195e-16,2.04454462026641e-14,1.97587270990273e-14,2.53217408888857e-14,2.83403404380738e-14,2.29072213531516e-14,1.66251925111585e-14,1.0486678650939e-14,2.8819816860791e-14,4.78620475073989e-14,5.06100510822222e-14,9.11893918956161e-14,9.80343833686472e-14,1.01723833940447e-13,1.40640495430001e-13,1.60202335992476e-13,1.13216588023532e-13,1.59553447702772e-13,1.59494147835603e-14,2.93829472201512e-14,3.59243500916565e-14,2.54165821202402e-14,2.1202835106015e-14,2.47192656370703e-14,2.01364500333664e-14,3.14635915368621e-14,2.11063591687094e-14,3.27040604691341e-14,1.26649152461957e-14,2.40358237280725e-13,2.40490483146631e-13,2.40505051789541e-13,2.40509313088151e-13,6.83942513660274e-13,2.40576127213565e-13,1.39120597692337e-14,1.03083946040457e-15,4.41680443949014e-15,3.74590967240837e-15,5.37566056287124e-15,1.0501138071138e-14,1.74147290412184e-14,-2.52905595860142e-14,1.85478298451804e-14,2.98741201349149e-14
