"","(Intercept)","policyTRUE","age_grp16-19","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp16-19","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"curr_pts_reg3",-4.06662727752812e-13,3.61831452228492e-13,-3.33575168315034e-13,1.33643088298556e-13,1.93005369866249e-13,1.89961190963145e-13,2.14421971588443e-13,2.14568796887282e-13,2.24324340662391e-13,1.57235821471773e-13,1.58669996867056e-13,5.49337023144159e-12,1.88485922912169e-13,1.69466396507603e-13,1.68472249822521e-13,1.96467899763408e-13,1.81891196973123e-13,1.7121682128818e-13,1.92789771341283e-13,1.5222497862555e-14,8.25680365196085e-15,2.92290052279049e-15,1.02197158161581e-14,9.08593596688388e-15,4.35236927877275e-15,-6.26675147976508e-15,2.21864999794239e-14,1.34394384067045e-14,1.66361790923396e-14,-5.74439370447676e-14,4.65063328824968e-14,6.09899727850336e-14,7.10777030770325e-14,6.44151437803242e-14,4.43293741901835e-14,8.44436607829179e-15,3.33841900987421e-13,-1.33765229206696e-13,-1.93311203805142e-13,-1.90395836224417e-13,-2.1484294236288e-13,-2.14969997274044e-13,-2.24705273029958e-13,-1.57047695235731e-13,-1.58527872770824e-13,-5.49326931781235e-12,-1.88180682637846e-13,-1.69237607878507e-13,-1.68099698632716e-13,-1.96142855229073e-13,-1.81433065405341e-13,-1.70744241452334e-13,-1.9168798248573e-13
"curr_pts_reg4",-4.54239462009607e-13,3.6957667076823e-13,-8.88450525344396e-13,4.25499421549855e-14,1.55089443563138e-13,1.97987021052939e-13,2.22408817947337e-13,2.49400091395025e-13,3.00045130280405e-13,1.69908287203605e-13,1.72906622788994e-13,1.8848592291217e-13,5.43482984962894e-11,2.00076262017365e-13,1.99238758653249e-13,2.54472784998212e-13,2.26578070951952e-13,2.12455976075296e-13,2.56202103012761e-13,2.82682464353176e-14,1.25090351568519e-14,1.42186583073312e-14,3.29327886296119e-14,1.49272001805582e-14,1.13887384853396e-14,-2.65570406162529e-15,4.96270870248994e-14,4.13864120879029e-14,3.71965225754039e-14,-8.6567887524291e-14,8.99013567408215e-14,1.00160705627437e-13,1.20058909952784e-13,1.06588050698024e-13,8.21598748381317e-14,1.34032273392548e-14,8.89092397330007e-13,-4.28019375472577e-14,-1.55735756917755e-13,-1.98915241377289e-13,-2.23299920952419e-13,-2.5024395714831e-13,-3.00843283923587e-13,-1.69470373410136e-13,-1.7260855166e-13,-1.88289149896218e-13,-5.43476452907147e-11,-1.99604527872004e-13,-1.98448618694507e-13,-2.53778082100731e-13,-2.25618692369477e-13,-2.11455945010496e-13,-2.53794522875357e-13
"curr_pts_reg5",-1.28212097047265e-13,4.86670039377532e-14,-6.72345122856264e-13,-2.69762966481396e-13,-1.74398208069448e-13,-1.39238557025026e-13,-1.08364643758292e-13,-7.9058557569095e-14,-2.42957500947749e-14,1.62497310866964e-13,1.62268808842656e-13,1.69466396507603e-13,2.00076262017362e-13,3.24676514924534e-11,1.80959428881854e-13,2.17053523364393e-13,2.02087249003973e-13,1.78623418226089e-13,2.18628226421016e-13,2.69805530050255e-14,1.51514017796519e-14,4.315449722051e-15,1.95742921654416e-14,1.80602918052419e-14,4.77520191458637e-15,1.13377999420365e-15,3.89730177154429e-14,2.93480339350231e-14,3.20807571142067e-14,-1.0460666270813e-13,8.60579829996144e-14,1.07069953578296e-13,1.18994707326292e-13,1.09196882495637e-13,8.25760865569524e-14,1.2572244611755e-14,6.72944025034606e-13,2.69469982487896e-13,1.73690514378248e-13,1.38245824867636e-13,1.0739606962387e-13,7.81285333572155e-14,2.34056223172812e-14,-1.62081707064738e-13,-1.61952961322279e-13,-1.69209200885684e-13,-1.99387854125856e-13,-3.24670944061428e-11,-1.80085708148714e-13,-2.16260570864726e-13,-2.00994931000521e-13,-1.77504270896875e-13,-2.16070303213726e-13
"curr_pts_reg6",-3.17301045361365e-13,2.20787294258628e-13,-4.59750604600005e-13,-1.55527869376647e-13,-9.27430914797307e-15,3.07806344134806e-14,8.40013223285218e-14,1.04018017926534e-13,1.28457817450159e-13,1.59597032596911e-13,1.59849370884346e-13,1.6847224982252e-13,1.99238758653248e-13,1.80959428881852e-13,4.61287942618073e-11,2.20141280162337e-13,2.04367857940984e-13,1.80426251866471e-13,2.24661303785345e-13,2.80621256359006e-14,1.82219308748808e-14,1.86273389594093e-14,3.28655611020835e-14,1.88757463431045e-14,1.7022736763262e-14,-2.01442523011822e-15,5.44282482504939e-14,4.15538328732344e-14,3.58255508813089e-14,-1.11177546996628e-13,9.74464409227798e-14,1.21820270511843e-13,1.40723758604487e-13,1.31875266254744e-13,9.26661936783304e-14,1.02636554917147e-14,4.6037595419435e-13,1.55366942111126e-13,8.75035631846419e-15,-3.15770105571579e-14,-8.4744281045132e-14,-1.04701328864148e-13,-1.2908904030837e-13,-1.59132842357019e-13,-1.59565350115168e-13,-1.68366473415024e-13,-1.98620733204807e-13,-1.80633014129884e-13,-4.61281512429368e-11,-2.19626824391314e-13,-2.03642687255291e-13,-1.79647669471941e-13,-2.22626555879409e-13
"curr_pts_reg7",-3.94493159734261e-13,2.70664290725097e-13,-1.04531701507192e-12,-3.33836588679309e-13,1.60180933327243e-14,9.40280729389097e-14,1.62134671304081e-13,1.77493438483578e-13,2.30457118463896e-13,1.72770344711858e-13,1.74803580624012e-13,1.96467899763408e-13,2.54472784998213e-13,2.17053523364395e-13,2.20141280162335e-13,1.42923878540026e-10,2.60565664685902e-13,2.36304743208585e-13,3.11689076629125e-13,3.92330469300516e-14,1.56322236636718e-14,5.26396755051921e-15,3.15087284760645e-14,3.9337758339429e-14,2.60596697887483e-14,1.62069059741988e-14,6.12127095370024e-14,5.62522611569589e-14,5.42103199947377e-14,-1.38422327803738e-13,1.17931227405978e-13,1.46702800911313e-13,1.6805519956235e-13,1.717793752349e-13,1.25947335014861e-13,2.80204534882545e-14,1.04617001715363e-12,3.33505847034153e-13,-1.68669816797106e-14,-9.52508932947892e-14,-1.63305680757589e-13,-1.78595128431583e-13,-2.31497606691019e-13,-1.72167536657666e-13,-1.74464352567132e-13,-1.9629920826227e-13,-2.53683081513216e-13,-2.16581568579844e-13,-2.19244452861726e-13,-1.42923145865303e-10,-2.59517776331269e-13,-2.35176290884087e-13,-3.08797973948277e-13
"curr_pts_reg8",-1.55957458984481e-13,3.10059870093757e-14,-8.90509387491503e-13,-4.94110103505477e-13,-2.62566060885945e-13,-1.46968758745998e-13,-1.00586502881314e-13,-5.22302014240827e-14,-9.94922774528548e-15,1.6754136949265e-13,1.67301021502241e-13,1.8189119697312e-13,2.26578070951948e-13,2.02087249003971e-13,2.04367857940983e-13,2.60565664685901e-13,1.3480512600312e-10,2.0761230718063e-13,2.75439870897144e-13,3.76049711949177e-14,2.45416739196996e-14,5.89147402185686e-15,3.2912303955115e-14,1.97409449996372e-14,1.68465014076144e-14,1.76667794047359e-15,6.16778503114643e-14,4.89875433897635e-14,6.33705278199131e-14,-1.635068829594e-13,1.28244939250614e-13,1.66931547917066e-13,1.90826268689169e-13,1.76509161999543e-13,1.23676770487496e-13,1.32411224770864e-14,8.91318282351716e-13,4.93790703407485e-13,2.61714036205091e-13,1.45744332089995e-13,9.94020775514231e-14,5.11021682730503e-14,8.87537238885626e-15,-1.66967164272839e-13,-1.66893798663161e-13,-1.81598271735944e-13,-2.25693547123482e-13,-2.01415422618484e-13,-2.03282008791948e-13,-2.59596623427439e-13,-1.34803791220175e-10,-2.062429144313e-13,-2.72239893126295e-13
"curr_pts_reg9",-5.62529110275983e-13,4.5865524511582e-13,-6.35745861809899e-13,-1.17079058488473e-14,2.82978531610157e-13,2.90346980445406e-13,3.2629706898267e-13,3.61784093117689e-13,3.10121370064588e-13,1.55842606751378e-13,1.56691211081454e-13,1.71216821288181e-13,2.12455976075294e-13,1.78623418226088e-13,1.80426251866473e-13,2.36304743208586e-13,2.07612307180633e-13,1.5319324198547e-10,2.39069393186517e-13,5.09279440308756e-14,2.7414462741999e-14,-1.40963221693206e-14,1.46602326458865e-14,8.02508699003633e-15,4.34750164301842e-15,-1.97306984202474e-14,3.99970113692938e-14,3.23643695725865e-14,4.19896933268712e-14,-1.53288485368203e-13,1.15108920449321e-13,1.49401461520387e-13,1.74345172062872e-13,1.63868879366182e-13,9.94686965682068e-14,1.63561744149987e-14,6.36193608801729e-13,1.13934703295798e-14,-2.83690750139806e-13,-2.91299519626892e-13,-3.27262771187321e-13,-3.62741321916276e-13,-3.11056814433065e-13,-1.55573605140078e-13,-1.56359269693322e-13,-1.70804619275972e-13,-2.11789574214544e-13,-1.77850172285738e-13,-1.79407324644833e-13,-2.35298559113444e-13,-2.06244528602729e-13,-1.53191912503543e-10,-2.36386731859302e-13
"curr_pts_reg10-150",-2.70591624338062e-13,1.08141482782849e-13,-1.12311031958832e-12,-7.76472624675395e-13,-1.73207753799317e-13,-4.74301339011089e-14,4.86879927438957e-15,4.35047883440441e-14,6.48654816305336e-14,1.66931786221158e-13,1.68924726857781e-13,1.9278977134128e-13,2.56202103012756e-13,2.18628226421015e-13,2.24661303785342e-13,3.11689076629128e-13,2.75439870897139e-13,2.39069393186518e-13,1.04153777404713e-10,4.25822400183333e-14,1.27594238695049e-14,5.52243561617189e-15,4.22095149257899e-14,4.66063614067797e-14,2.50062989868179e-14,1.18735425117801e-14,9.31817509393416e-14,8.30951758302626e-14,7.07099997100595e-14,-2.14463414795534e-13,1.6570357849533e-13,2.20809406295583e-13,2.26361806792242e-13,2.28463375945811e-13,1.62953554860193e-13,2.14022792866437e-14,1.12433141825654e-12,7.76117140834288e-13,1.72104922990342e-13,4.57863296191153e-14,-6.42552025028817e-15,-4.49552046615911e-14,-6.62274710367976e-14,-1.66018842306615e-13,-1.68408659631812e-13,-1.92553390960628e-13,-2.55024844041439e-13,-2.17947138788023e-13,-2.23361648350201e-13,-3.10628050307767e-13,-2.73951043118745e-13,-2.37466672446086e-13,-1.04149679144922e-10
"month02",-1.05006874820042e-12,-5.04266203833709e-18,6.01516774772421e-15,5.7353926212026e-15,9.56136250795883e-15,9.65091092427748e-15,9.95638222165802e-15,7.73376033590683e-15,3.93136331936526e-15,1.63250967468332e-14,1.55931435220138e-14,1.52224978625537e-14,2.82682464353132e-14,2.69805530050257e-14,2.80621256358978e-14,3.9233046930045e-14,3.76049711949213e-14,5.0927944030875e-14,4.2582240018331e-14,2.34279806346861e-12,1.01296074723298e-12,1.01345886721726e-12,1.01307239055183e-12,1.01303724417776e-12,1.01315662012685e-12,1.01322769711513e-12,1.01303174446215e-12,1.01268595021235e-12,1.01311877677305e-12,1.01301790571069e-12,2.61567816927424e-14,2.44635034107644e-14,1.98080699422027e-14,1.88204380343599e-14,2.46545952598909e-14,1.68664199737429e-14,1.68651169804095e-14,1.21978755245644e-14,6.73916594712101e-15,7.65471481986757e-15,5.03257385933245e-15,4.48757188262837e-15,3.98057889002812e-15,3.95689787008409e-15,1.0892766998626e-14,1.10094636791034e-14,2.62465723141059e-14,1.69974948722239e-14,1.46530712474075e-14,3.36886601244915e-14,3.02181669662704e-14,1.36103818783549e-14,3.09975583702636e-14
"month03",-1.04846169697169e-12,3.84832808422135e-16,1.83497949302685e-14,1.14381878038911e-14,7.45267173636561e-15,8.12502964328002e-15,3.53121437201457e-15,3.35392221239621e-15,1.76864141040765e-15,1.06598604189033e-14,7.82032025069899e-15,8.25680365195891e-15,1.25090351568466e-14,1.51514017796457e-14,1.82219308748804e-14,1.56322236636701e-14,2.45416739197054e-14,2.74144627420006e-14,1.27594238695017e-14,1.01296074723298e-12,2.25338883341319e-12,1.01380807157045e-12,1.01302189845469e-12,1.01326162813339e-12,1.01343606134823e-12,1.01331928493783e-12,1.01339061138577e-12,1.01274711670137e-12,1.01334850912448e-12,1.01340304995876e-12,7.3781224557385e-15,2.30246921399489e-14,2.14216017869979e-14,2.87468968445191e-14,3.98518914551251e-14,1.14521239429681e-14,2.50548336284027e-14,1.95089083992805e-14,9.5339854097389e-15,3.11704620710289e-15,6.09720395046322e-15,5.38088320168866e-15,3.59513820529081e-15,1.26332862018016e-14,2.59984897321414e-14,2.65250140958539e-14,4.39660771104773e-14,4.53001361695551e-14,4.2868295696391e-14,6.78212962473986e-14,6.37240525868529e-14,4.05770296703339e-14,6.76387312763089e-14
