"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1.37","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg3",-9.59161176732041e-05,3.23232847970113e-06,-29.6740007321511,1.66295175579553e-193,NA,NA,7461274411
"1.38","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg4",-0.00013777338487658,9.71617462863008e-06,-14.1797971056028,1.22199516887468e-45,NA,NA,7461274411
"1.39","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg5",-0.000158044992012833,7.61326726615826e-06,-20.7591545768213,1.0133430769342e-95,NA,NA,7461274411
"1.40","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg6",-0.000189305983300715,9.24298749791968e-06,-20.481038554182,3.17811635709057e-93,NA,NA,7461274411
"1.41","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg7",-0.000172357864046583,1.59415001455876e-05,-10.8118974044164,3.02350840298086e-27,NA,NA,7461274411
"1.42","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg8",-0.00023635485048489,1.55184979857153e-05,-15.230523643619,2.2180825382855e-52,NA,NA,7461274411
"1.43","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg9",-0.000154375980734248,1.70701275655401e-05,-9.04363368941018,1.51548508317398e-19,NA,NA,7461274411
"1.44","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg10-150",-0.000584066879192154,1.31299477825741e-05,-44.4835645094736,0,NA,NA,7461274411
"2","all","4 yr.","mnwk","with","with","all","Male","LPM","(Intercept)",-1.36866198881018e-05,1.28258909792038e-06,-10.6710870303619,1.3899079405992e-26,NA,NA,7461274411
"2.1","all","4 yr.","mnwk","with","with","all","Male","LPM","policyTRUE",0.000215686476779095,1.83826125619583e-06,117.331786247535,0,NA,NA,7461274411
"2.2","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp20-24",0.000244422789947314,1.77527975616185e-06,137.681280428587,0,NA,NA,7461274411
"2.3","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp25-34",0.000118701430868583,1.24529266048572e-06,95.3201079835196,0,NA,NA,7461274411
"2.4","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp35-44",0.000100818006069036,1.23344580867953e-06,81.7368751505727,0,NA,NA,7461274411
"2.5","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp45-54",6.84213035238788e-05,1.18333490692324e-06,57.8207429896403,0,NA,NA,7461274411
"2.6","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp55-64",2.8309031740041e-05,1.20556833772567e-06,23.4818971717909,6.24522776950008e-122,NA,NA,7461274411
"2.7","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp65-199",-3.42802154257517e-05,1.15930110493063e-06,-29.5697254837026,3.66324038005126e-192,NA,NA,7461274411
"2.8","all","4 yr.","mnwk","with","with","all","Male","LPM","curr_pts_reg1",0.000722912132185145,5.72648822209176e-06,126.240045233356,0,NA,NA,7461274411
