"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1.35","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayMonday",0.000121490008163914,8.4214850930669e-07,144.26197614947,0,NA,NA,6928125511
"1.36","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayTuesday",0.000160645415106724,8.65359207695624e-07,185.640152295263,0,NA,NA,6928125511
"1.37","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayWednesday",0.000183532204285646,8.78555310631385e-07,208.902276344728,0,NA,NA,6928125511
"1.38","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayThursday",0.000162917798568428,8.68178011180956e-07,187.654831693809,0,NA,NA,6928125511
"1.39","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdayFriday",0.000132227387549068,8.50194392121885e-07,155.526064126417,0,NA,NA,6928125511
"1.40","all","Monthly 4 yr.","mnwk","no","all","Male","LPM","weekdaySaturday",2.79633318518834e-05,7.84009231134604e-07,35.6670951583254,1.28027049002075e-278,NA,NA,6928125511
"2","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","(Intercept)",8.53248499948562e-05,1.47371719820056e-06,57.8977093427692,0,NA,NA,5244778633
"2.1","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policyTRUE",1.38347500538459e-05,5.12768758127568e-07,26.9804855201495,2.50444340401284e-160,NA,NA,5244778633
"2.2","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy01",2.36158950672864e-05,1.84023936580266e-06,12.833056126362,1.07056515346535e-37,NA,NA,5244778633
"2.3","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy02",1.27658900906213e-05,1.80427493897707e-06,7.07535742743227,1.49064065241299e-12,NA,NA,5244778633
"2.4","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy03",-8.7326411555976e-06,1.74245527268796e-06,-5.01168741170979,5.39548015733437e-07,NA,NA,5244778633
"2.5","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy04",-3.89894344065228e-05,1.6075452043006e-06,-24.2540205415163,5.99697936281498e-130,NA,NA,5244778633
"2.6","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy05",-3.76769607961655e-05,1.51113329138634e-06,-24.9329169113864,3.2720637913651e-137,NA,NA,5244778633
"2.7","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy06",-4.4998034029479e-05,1.79867604046446e-06,-25.0173088522708,3.96275588165867e-138,NA,NA,5244778633
"2.8","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy07",-3.78760292674111e-05,1.75990749802946e-06,-21.5216023057009,9.77273088640335e-103,NA,NA,5244778633
"2.9","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy08",-4.86711656394053e-05,1.72746763982716e-06,-28.174863897465,1.18872476641743e-174,NA,NA,5244778633
"2.10","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy09",-4.94641753177275e-05,1.08946225702501e-06,-45.4023762629458,0,NA,NA,5244778633
"2.11","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy10",-9.02642173063688e-05,1.34789635136654e-06,-66.9667346564566,0,NA,NA,5244778633
"2.12","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy11",-4.72911997304837e-05,1.70750846818583e-06,-27.6960264687466,7.79582247338197e-169,NA,NA,5244778633
"2.13","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","policy_monthpolicy12",-2.13474826672862e-05,1.73029570064683e-06,-12.3374765708,5.69117814446069e-35,NA,NA,5244778633
"2.14","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp20-24",3.82256747840995e-05,1.56183385425384e-06,24.4748663117958,2.73630475818516e-132,NA,NA,5244778633
"2.15","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp25-34",-1.41715572589419e-05,1.33211687571636e-06,-10.6383737923303,1.97547105402685e-26,NA,NA,5244778633
"2.16","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp35-44",-2.64276624692435e-05,1.31464713584586e-06,-20.1024759790311,7.02027333415819e-90,NA,NA,5244778633
"2.17","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp45-54",-6.99953451998893e-05,1.28614445307119e-06,-54.4226156189123,0,NA,NA,5244778633
"2.18","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp55-64",-0.000107032979271211,1.28858070082617e-06,-83.0626899833179,0,NA,NA,5244778633
"2.19","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","age_grp65-199",-0.000143647374247991,1.28313351621156e-06,-111.950449764658,0,NA,NA,5244778633
"2.20","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","curr_pts_grp1-3",0.000483423662675506,1.2180242906567e-06,396.891643609889,0,NA,NA,5244778633
"2.21","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","curr_pts_grp4-6",0.000959212533776935,3.46741458946845e-06,276.63623977656,0,NA,NA,5244778633
"2.22","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","curr_pts_grp7-9",0.0013388265677442,7.76628290976239e-06,172.389621045257,0,NA,NA,5244778633
"2.23","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","curr_pts_grp10-150",0.00182570509815712,1.39819423089718e-05,130.57592842345,0,NA,NA,5244778633
"2.24","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month02",3.76580398979576e-05,1.17177275397349e-06,32.1376647223268,1.31357066533417e-226,NA,NA,5244778633
"2.25","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month03",4.74506595035637e-05,1.15559061413363e-06,41.0618249432033,0,NA,NA,5244778633
"2.26","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month04",3.35727506383002e-05,1.14058995935322e-06,29.434548641247,1.98529062561219e-190,NA,NA,5244778633
"2.27","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month05",4.21940458531952e-05,1.14550615118191e-06,36.8344122898512,5.19624660643218e-297,NA,NA,5244778633
"2.28","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month06",3.31423521049134e-05,1.14288636388812e-06,28.9988166383949,6.80978643537935e-185,NA,NA,5244778633
"2.29","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month07",2.02021068046207e-05,1.11412665219172e-06,18.1326842553125,1.75957406116066e-73,NA,NA,5244778633
"2.30","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month08",2.25606541948264e-06,1.09271465634142e-06,2.06464277420448,0.0389568129275538,NA,NA,5244778633
"2.31","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month09",7.31755721196589e-05,1.19502030069395e-06,61.2337481439984,0,NA,NA,5244778633
"2.32","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month10",6.30274652890564e-05,1.17373941970559e-06,53.698005051978,0,NA,NA,5244778633
"2.33","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month11",6.15049848806648e-05,1.18392868092006e-06,51.9499070103344,0,NA,NA,5244778633
"2.34","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","month12",-8.68777386358693e-05,9.6186298202166e-07,-90.3223642657171,0,NA,NA,5244778633
"2.35","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayMonday",0.000109588238171283,6.89613206252866e-07,158.912615329323,0,NA,NA,5244778633
"2.36","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayTuesday",0.000145101800953898,7.23170289641589e-07,200.64679513564,0,NA,NA,5244778633
"2.37","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayWednesday",0.000158223506792619,7.35196045219059e-07,215.212673982047,0,NA,NA,5244778633
"2.38","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayThursday",0.000141658728843956,7.21348058247233e-07,196.380550587694,0,NA,NA,5244778633
"2.39","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdayFriday",0.000102883109967583,6.84514947970129e-07,150.300749856046,0,NA,NA,5244778633
"2.40","all","Monthly 4 yr.","mnwk","no","all","Female","LPM","weekdaySaturday",1.78151660305167e-05,5.94153399128096e-07,29.9841186748405,1.58098354660054e-197,NA,NA,5244778633
"3","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","(Intercept)",-8.4286172965464,0.00403532739933293,-2088.70717601247,0,NA,NA,6928125511
"3.1","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policyTRUE",-0.0750073627984582,0.00145475003194663,-51.5603101228942,0,-3.09802849002447,-16.7959836429724,6928125511
"3.2","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy01",0.133510329258135,0.00465477271566972,28.682459362342,6.3146688559092e-181,6.75602867855806,35.1702562161479,6928125511
"3.3","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy02",0.0943151998465844,0.00455795288548728,20.6924472929257,4.05120443733951e-95,4.66862515726968,23.4250789763498,6928125511
"3.4","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy03",0.0201168873320793,0.00476073713097191,4.22558246310323,2.38323529271571e-05,0.885692827336866,4.47095901247078,6928125511
"3.5","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy04",-0.114357660463913,0.00487143609858077,-23.4751432944444,7.32040068257732e-122,-4.22687944545824,-20.800948327761,6928125511
"3.6","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy05",-0.113887533067239,0.00517807617575407,-21.9941787647907,3.27405533016736e-107,-3.68105883644295,-20.7299035599897,6928125511
"3.7","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy06",-0.136308616010451,0.00468463251816778,-29.0969708897814,3.92107835888392e-186,-5.5345913113807,-23.9988940324007,6928125511
"3.8","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy07",-0.0930351087069286,0.00462821884660582,-20.1017090570722,7.12955651146051e-90,-3.86816169100888,-17.4672501858351,6928125511
"3.9","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy08",-0.145200971004076,0.00488479899499701,-29.7250656890469,3.6430904679686e-194,-5.32666616059077,-25.2295631439347,6928125511
"3.10","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy09",-0.261076275390425,0.00712215762861208,-36.6569077805291,3.55173872054073e-294,-3.95359799158758,-38.221441688314,6928125511
"3.11","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy10",-0.378389220979648,0.0056860645844089,-66.5467680436107,0,-8.36000270931212,-46.6237949002253,6928125511
"3.12","all","Monthly 4 yr.","mnwk","no","all","Male","Logit","policy_monthpolicy11",-0.142206633034678,0.0051148841040005,-27.8025132423731,4.04461837769987e-170,-5.06229799839505,-24.8192399863533,6928125511
