"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"6.14","all","Placebo","mnwk","with","all","Male","Logit","month04",0.0114302688966835,0.00422763110730469,2.70370536278196,0.00685710611480777,NA,NA,3447446426
"6.15","all","Placebo","mnwk","with","all","Male","Logit","month05",0.0483643710682859,0.00412481043055251,11.7252348641408,9.46381894984753e-32,NA,NA,3447446426
"6.16","all","Placebo","mnwk","with","all","Male","Logit","month06",0.0658815719640102,0.00415179618305231,15.8682095794923,1.05199229435616e-56,NA,NA,3447446426
"6.17","all","Placebo","mnwk","with","all","Male","Logit","month07",0.0795523690122236,0.00410842714355981,19.3632176578636,1.57719425942547e-83,NA,NA,3447446426
"6.18","all","Placebo","mnwk","with","all","Male","Logit","month08",-0.0152437180449502,0.00417812168545131,-3.64846196271174,0.000263814952310556,NA,NA,3447446426
"6.19","all","Placebo","mnwk","with","all","Male","Logit","month09",0.21125546534059,0.00400138934729858,52.7955285039214,0,NA,NA,3447446426
"6.20","all","Placebo","mnwk","with","all","Male","Logit","month10",0.162312346906064,0.0039958185937263,40.620549481627,0,NA,NA,3447446426
"6.21","all","Placebo","mnwk","with","all","Male","Logit","month11",0.158451348029298,0.00401899894598029,39.4255759105826,0,NA,NA,3447446426
"6.22","all","Placebo","mnwk","with","all","Male","Logit","month12",-0.545338997840747,0.00486397853198812,-112.117887497715,0,NA,NA,3447446426
"6.23","all","Placebo","mnwk","with","all","Male","Logit","weekdayMonday",0.322693783964076,0.00340163465776764,94.8643274277573,0,NA,NA,3447446426
"6.24","all","Placebo","mnwk","with","all","Male","Logit","weekdayTuesday",0.400884851234808,0.00335414455108758,119.519253010375,0,NA,NA,3447446426
"6.25","all","Placebo","mnwk","with","all","Male","Logit","weekdayWednesday",0.457029933044495,0.00331835415181488,137.727895256308,0,NA,NA,3447446426
"6.26","all","Placebo","mnwk","with","all","Male","Logit","weekdayThursday",0.430569714641947,0.00333442338023905,129.128687494711,0,NA,NA,3447446426
"6.27","all","Placebo","mnwk","with","all","Male","Logit","weekdayFriday",0.343729631369121,0.00339364594748426,101.286238072045,0,NA,NA,3447446426
"6.28","all","Placebo","mnwk","with","all","Male","Logit","weekdaySaturday",0.0764790153144624,0.00359685174592299,21.262765528535,2.51170489917293e-100,NA,NA,3447446426
"6.29","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp20-24",-0.759574010684899,0.012663349281909,-59.9820784987772,0,-38.8227569860947,-123.568837995298,3447446426
"6.30","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp25-34",-0.700524166375141,0.0122650935061605,-57.1152731956981,0,-27.0664291063343,-97.3654716122365,3447446426
"6.31","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp35-44",-0.686402602494795,0.0123178731548477,-55.7241168070205,0,-21.7553096721824,-87.042487647383,3447446426
"6.32","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp45-54",-0.689812567841427,0.0123416032811815,-55.893270276582,0,-18.8838835083094,-79.9686869591045,3447446426
"6.33","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp55-64",-0.680041481322947,0.0126987569158204,-53.5518150186602,0,-15.3496847744092,-69.7053053177604,3447446426
"6.34","all","Placebo","mnwk","with","all","Male","Logit","policyTRUE:age_grp65-199",-0.678952089912398,0.0134106089764534,-50.6279834945986,0,-10.105011253463,-51.4957611282878,3447446426
"7","all","Placebo","mnwk","no","all","Female","Logit","(Intercept)",-9.90809648827014,0.012571495528113,-788.139841128144,0,NA,NA,2597356380
"7.1","all","Placebo","mnwk","no","all","Female","Logit","policyTRUE",-0.0038378641476308,0.00268782053377416,-1.42787217353451,0.153328654240743,-0.0822220224810217,-0.597165612725931,2597356380
"7.2","all","Placebo","mnwk","no","all","Female","Logit","age_grp20-24",0.788414056580665,0.0114928090841594,68.6006398268059,0,17.7590431364961,85.1037358332784,2597356380
"7.3","all","Placebo","mnwk","no","all","Female","Logit","age_grp25-34",0.631679248169602,0.0110668524553772,57.0784918942946,0,12.8757778712734,62.4828575364113,2597356380
"7.4","all","Placebo","mnwk","no","all","Female","Logit","age_grp35-44",0.573547841194684,0.0110458377586885,51.9243405275927,0,11.0661517691468,54.9519888876012,2597356380
"7.5","all","Placebo","mnwk","no","all","Female","Logit","age_grp45-54",0.422233954247178,0.0110770160685116,38.1180230881358,0,7.10501794176606,37.2796010078429,2597356380
"7.6","all","Placebo","mnwk","no","all","Female","Logit","age_grp55-64",0.207018290194689,0.0113910047571946,18.1738393238695,8.3169816680086e-74,2.91747863748177,16.3244415671751,2597356380
"7.7","all","Placebo","mnwk","no","all","Female","Logit","age_grp65-199",-0.130744336645608,0.0121677150070614,-10.7451840028907,6.24373008781443e-27,-1.44726503782442,-8.7006377778775,2597356380
"7.8","all","Placebo","mnwk","no","all","Female","Logit","curr_pts_grp1-3",1.41587651592675,0.00323696833275043,437.408207427129,0,NA,NA,2597356380
"7.9","all","Placebo","mnwk","no","all","Female","Logit","curr_pts_grp4-6",1.93617934776814,0.00497964518293619,388.818736403724,0,NA,NA,2597356380
"7.10","all","Placebo","mnwk","no","all","Female","Logit","curr_pts_grp7-9",2.20744639289283,0.00810984345939442,272.193465132269,0,NA,NA,2597356380
"7.11","all","Placebo","mnwk","no","all","Female","Logit","curr_pts_grp10-150",2.52491808674995,0.0113868619815069,221.739588207057,0,NA,NA,2597356380
"7.12","all","Placebo","mnwk","no","all","Female","Logit","month02",0.148980606175547,0.00669388921033154,22.2562103277129,9.82067625119749e-110,NA,NA,2597356380
"7.13","all","Placebo","mnwk","no","all","Female","Logit","month03",0.172118243006712,0.00654186280000487,26.3102801554602,1.46275652346625e-152,NA,NA,2597356380
"7.14","all","Placebo","mnwk","no","all","Female","Logit","month04",0.133451743956533,0.00675082975224763,19.7681987035891,5.5937752635949e-87,NA,NA,2597356380
"7.15","all","Placebo","mnwk","no","all","Female","Logit","month05",0.182853998058563,0.00654926627605919,27.9197684673449,1.53558308081884e-171,NA,NA,2597356380
