"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"8.16","all","Placebo","mnwk","with","no","all","Female","Logit","month06",0.150267125244139,0.0066792995559282,22.497437640863,4.39743469466751e-112,NA,NA,1690623228
"8.17","all","Placebo","mnwk","with","no","all","Female","Logit","month07",0.097465570739419,0.00672395641925809,14.4952710371929,1.29789060121382e-47,NA,NA,1690623228
"8.18","all","Placebo","mnwk","with","no","all","Female","Logit","month08",0.0227768165194755,0.00678452211748647,3.35717330197368,0.000787437398522772,NA,NA,1690623228
"8.19","all","Placebo","mnwk","with","no","all","Female","Logit","month09",0.310799492572702,0.00644034775292609,48.2581848831834,0,NA,NA,1690623228
"8.20","all","Placebo","mnwk","with","no","all","Female","Logit","month10",0.257250712776266,0.00642279972760316,40.0527376979674,0,NA,NA,1690623228
"8.21","all","Placebo","mnwk","with","no","all","Female","Logit","month11",0.267513593997886,0.00644069495777466,41.5348958073175,0,NA,NA,1690623228
"8.22","all","Placebo","mnwk","with","no","all","Female","Logit","month12",-0.544817523862693,0.00803644062712724,-67.7933862938831,0,NA,NA,1690623228
"8.23","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayMonday",0.62214253129443,0.0058077965334949,107.121957132346,0,NA,NA,1690623228
"8.24","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayTuesday",0.750522206392949,0.00569327649515676,131.826059568934,0,NA,NA,1690623228
"8.25","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayWednesday",0.803055757849091,0.00564762039313826,142.193650059198,0,NA,NA,1690623228
"8.26","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayThursday",0.757974227074718,0.00568614814536159,133.301878125182,0,NA,NA,1690623228
"8.27","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayFriday",0.574855927569688,0.00586646642318391,97.9901504759139,0,NA,NA,1690623228
"8.28","all","Placebo","mnwk","with","no","all","Female","Logit","weekdaySaturday",0.113354062575051,0.00644683104850515,17.5829119333497,3.33025102171019e-69,NA,NA,1690623228
"8.29","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp20-24",-0.883208459337559,0.0259784605287115,-33.9977212414659,2.40741983006592e-253,-30.1413432359768,-92.3858659203267,1690623228
"8.30","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp25-34",-0.934307098146657,0.0252245349799806,-37.0396163452832,2.63908275583935e-300,-27.3578617063096,-83.4453865147087,1690623228
"8.31","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp35-44",-0.92490403853099,0.0251941885377343,-36.7110072684312,4.87425113337648e-295,-24.4487823429268,-76.7405793959745,1690623228
"8.32","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp45-54",-0.956243084865205,0.0252648585392252,-37.8487409054985,0,-19.25459845645,-63.9236420055459,1690623228
"8.33","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp55-64",-0.964076084298224,0.0258326825118369,-37.3200144373884,7.7731597488252e-305,-13.7648992316191,-48.6546461805397,1690623228
"8.34","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp65-199",-0.971586482064828,0.0272255433917228,-35.6865781551384,6.38506099839936e-279,-8.56672341762662,-32.2278225643757,1690623228
