"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1.34","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","month12",-0.000301859568612652,2.12546193691773e-06,-142.020688947457,0,NA,NA,3817878617
"1.35","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayMonday",0.000220457179020012,1.52814821729272e-06,144.264264765217,0,NA,NA,3817878617
"1.36","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayTuesday",0.000291476863167777,1.57021298792396e-06,185.628870356721,0,NA,NA,3817878617
"1.37","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayWednesday",0.000333023800195906,1.59411900269817e-06,208.907741286716,0,NA,NA,3817878617
"1.38","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayThursday",0.000295659289744215,1.57534434538e-06,187.679151298758,0,NA,NA,3817878617
"1.39","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdayFriday",0.000239950019096133,1.54272613316848e-06,155.53636769173,0,NA,NA,3817878617
"1.40","all","Monthly 4 yr.","mnwk","no","no","all","Male","LPM","weekdaySaturday",5.07363663670101e-05,1.42273063656872e-06,35.661259456234,1.57681634408893e-278,NA,NA,3817878617
"2","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","(Intercept)",0.000146604099736772,2.26791659144938e-06,64.6426329299351,0,NA,NA,3432552779
"2.1","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policyTRUE",2.30487819550327e-05,7.81211812131148e-07,29.5038830661758,2.56713716921552e-191,NA,NA,3432552779
"2.2","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy01",3.73514646813406e-05,2.81165327148702e-06,13.2845202003113,2.84677968976241e-40,NA,NA,3432552779
"2.3","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy02",2.0806877795466e-05,2.75559528028676e-06,7.55077421721407,4.32678473574217e-14,NA,NA,3432552779
"2.4","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy03",-1.17923860342503e-05,2.66018542766076e-06,-4.43291881521956,9.29658816860759e-06,NA,NA,3432552779
"2.5","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy04",-5.78620272189149e-05,2.45323112247543e-06,-23.5860480852409,5.3597676952969e-123,NA,NA,3432552779
"2.6","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy05",-5.59328335728734e-05,2.30520363010831e-06,-24.263727873032,4.73687170481881e-130,NA,NA,3432552779
"2.7","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy06",-6.75955887389352e-05,2.74278606488332e-06,-24.6448637042389,4.17776465639758e-134,NA,NA,3432552779
"2.8","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy07",-5.68259861140408e-05,2.68249538440488e-06,-21.1840014504434,1.34141702769852e-99,NA,NA,3432552779
"2.9","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy08",-7.34263641465057e-05,2.63214399163706e-06,-27.8960286290562,2.98121776308933e-171,NA,NA,3432552779
"2.10","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy09",-7.41674202819826e-05,1.65905799919982e-06,-44.7045373445378,0,NA,NA,3432552779
"2.11","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy10",-0.000137035039368088,2.05236890224698e-06,-66.7692047068432,0,NA,NA,3432552779
"2.12","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy11",-7.21791738326608e-05,2.59862818509069e-06,-27.7758758435624,8.48770468084394e-170,NA,NA,3432552779
"2.13","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","policy_monthpolicy12",-3.29370439375186e-05,2.63201608554018e-06,-12.5139979647042,6.25928898750526e-36,NA,NA,3432552779
"2.14","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp20-24",7.25387335621249e-05,2.41411007775342e-06,30.0478152303766,2.33175690946607e-198,NA,NA,3432552779
"2.15","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp25-34",8.9094127495325e-06,2.07921420435601e-06,4.28499032512717,1.82747145676444e-05,NA,NA,3432552779
"2.16","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp35-44",-1.73964795626582e-05,2.04327180375317e-06,-8.51403104114862,1.67989083041178e-17,NA,NA,3432552779
"2.17","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp45-54",-0.000104282768842581,1.98342401653407e-06,-52.5771433507245,0,NA,NA,3432552779
"2.18","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp55-64",-0.000175867184908465,1.97453683781234e-06,-89.0675633599797,0,NA,NA,3432552779
"2.19","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","age_grp65-199",-0.000239709236975156,1.95620442267242e-06,-122.537928141315,0,NA,NA,3432552779
"2.20","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","curr_pts_grp1-3",0.000370183363340467,1.24403722622511e-06,297.566146363439,0,NA,NA,3432552779
"2.21","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","curr_pts_grp4-6",0.000838660236099657,3.47819360145879e-06,241.119481028288,0,NA,NA,3432552779
"2.22","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","curr_pts_grp7-9",0.00121507613370212,7.77104479932791e-06,156.359429790857,0,NA,NA,3432552779
"2.23","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","curr_pts_grp10-150",0.00169532345831089,1.39853395742862e-05,121.221472621798,0,NA,NA,3432552779
"2.24","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month02",5.76231846437934e-05,1.78841529102203e-06,32.2202482460678,9.18832765596852e-228,NA,NA,3432552779
"2.25","all","Monthly 4 yr.","mnwk","no","no","all","Female","LPM","month03",7.26683098514698e-05,1.76325348719547e-06,41.2126278945018,0,NA,NA,3432552779
