"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1.38","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg4",-0.000139921069579791,9.74792097246497e-06,-14.3539396733957,1.00653446696966e-46,NA,NA,3817878617
"1.39","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg5",-0.000165785992948474,7.65363651168299e-06,-21.6610747969815,4.77959213194953e-104,NA,NA,3817878617
"1.40","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg6",-0.000198696132562519,9.2764168986346e-06,-21.4194914624595,8.79449118750844e-102,NA,NA,3817878617
"1.41","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg7",-0.000171896466391586,1.59607472632506e-05,-10.7699510277552,4.77255408979478e-27,NA,NA,3817878617
"1.42","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg8",-0.000242075328693214,1.5538169468345e-05,-15.5793981515249,1.00496865407351e-54,NA,NA,3817878617
"1.43","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg9",-0.000162792264458411,1.70880826230295e-05,-9.52665480672573,1.62433157365902e-21,NA,NA,3817878617
"1.44","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg10-150",-0.000591129941765217,1.31542935968856e-05,-44.9381745520086,0,NA,NA,3817878617
"2","all","4 yr.","mnwk","no","with","all","Female","LPM","(Intercept)",0.000123026471314573,2.17606245522318e-06,56.5362777246004,0,NA,NA,3432552779
"2.1","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE",4.58759561739299e-06,5.87925207694796e-07,7.80302589062401,6.04401606817198e-15,NA,NA,3432552779
"2.2","all","4 yr.","mnwk","no","with","all","Female","LPM","age_grp20-24",7.11473868439283e-05,2.4143147127916e-06,29.4689778706036,7.19367207717173e-191,NA,NA,3432552779
"2.3","all","4 yr.","mnwk","no","with","all","Female","LPM","age_grp25-34",7.30443656891773e-06,2.07979115077418e-06,3.51210099446703,0.000444579024733028,NA,NA,3432552779
"2.4","all","4 yr.","mnwk","no","with","all","Female","LPM","age_grp35-44",-1.90809559363566e-05,2.04395035074748e-06,-9.33533240148352,1.00674908521385e-20,NA,NA,3432552779
"2.5","all","4 yr.","mnwk","no","with","all","Female","LPM","age_grp45-54",-0.000105861840649884,1.9841755995521e-06,-53.353060421558,0,NA,NA,3432552779
"2.6","all","4 yr.","mnwk","no","with","all","Female","LPM","age_grp55-64",-0.000177331105040402,1.97530030062942e-06,-89.774251025981,0,NA,NA,3432552779
"2.7","all","4 yr.","mnwk","no","with","all","Female","LPM","age_grp65-199",-0.000241192646449736,1.95681588341554e-06,-123.257710903667,0,NA,NA,3432552779
"2.8","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg1",0.000303604367865121,5.68365227177782e-06,53.4171257050099,0,NA,NA,3432552779
"2.9","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg2",0.000362836140494364,2.69029315098745e-06,134.868625882346,0,NA,NA,3432552779
"2.10","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg3",0.000424624509327711,2.72898177682069e-06,155.598147607422,0,NA,NA,3432552779
"2.11","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg4",0.000741415202882827,9.61050396746458e-06,77.1463396084967,0,NA,NA,3432552779
"2.12","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg5",0.00084013961152154,7.93306208309594e-06,105.903572003015,0,NA,NA,3432552779
"2.13","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg6",0.00100087268346133,1.06049625621888e-05,94.3777667853221,0,NA,NA,3432552779
"2.14","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg7",0.0012437133631314,2.09540280139548e-05,59.3543810432592,0,NA,NA,3432552779
"2.15","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg8",0.00138094060307597,2.11811428897723e-05,65.1966992651177,0,NA,NA,3432552779
"2.16","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg9",0.00103902726853523,1.99216145234728e-05,52.1557761952974,0,NA,NA,3432552779
"2.17","all","4 yr.","mnwk","no","with","all","Female","LPM","curr_pts_reg10-150",0.00184433015748407,2.40738073173092e-05,76.611486217138,0,NA,NA,3432552779
"2.18","all","4 yr.","mnwk","no","with","all","Female","LPM","month02",7.39958264500738e-05,1.4993961538011e-06,49.3504176748006,0,NA,NA,3432552779
"2.19","all","4 yr.","mnwk","no","with","all","Female","LPM","month03",9.88844101679354e-05,1.48789330408274e-06,66.459342142746,0,NA,NA,3432552779
"2.20","all","4 yr.","mnwk","no","with","all","Female","LPM","month04",9.42892832727476e-05,1.49813731187445e-06,62.9376776917557,0,NA,NA,3432552779
"2.21","all","4 yr.","mnwk","no","with","all","Female","LPM","month05",0.000103485914187238,1.49597053620163e-06,69.1764387619531,0,NA,NA,3432552779
"2.22","all","4 yr.","mnwk","no","with","all","Female","LPM","month06",8.14011784092168e-05,1.48235441159927e-06,54.9134388998075,0,NA,NA,3432552779
"2.23","all","4 yr.","mnwk","no","with","all","Female","LPM","month07",4.99915361207689e-05,1.43310739238464e-06,34.8833146674269,1.33149393405213e-266,NA,NA,3432552779
"2.24","all","4 yr.","mnwk","no","with","all","Female","LPM","month08",2.31846438359368e-05,1.39815308777655e-06,16.5823356817147,9.35227278700387e-62,NA,NA,3432552779
"2.25","all","4 yr.","mnwk","no","with","all","Female","LPM","month09",0.000128776221827034,1.537466871146e-06,83.7586970124734,0,NA,NA,3432552779
"2.26","all","4 yr.","mnwk","no","with","all","Female","LPM","month10",0.000116104065686296,1.51124058453884e-06,76.8269902715228,0,NA,NA,3432552779
"2.27","all","4 yr.","mnwk","no","with","all","Female","LPM","month11",0.000109740403987828,1.5149776848166e-06,72.4369771830088,0,NA,NA,3432552779
"2.28","all","4 yr.","mnwk","no","with","all","Female","LPM","month12",-0.000117029263057071,1.21596588271773e-06,-96.2438705891205,0,NA,NA,3432552779
"2.29","all","4 yr.","mnwk","no","with","all","Female","LPM","weekdayMonday",0.000167388446404154,1.05349884123599e-06,158.888116296142,0,NA,NA,3432552779
"2.30","all","4 yr.","mnwk","no","with","all","Female","LPM","weekdayTuesday",0.000221802099806868,1.10456734416107e-06,200.804505926553,0,NA,NA,3432552779
"2.31","all","4 yr.","mnwk","no","with","all","Female","LPM","weekdayWednesday",0.000242042691263483,1.12284549300287e-06,215.561885203082,0,NA,NA,3432552779
"2.32","all","4 yr.","mnwk","no","with","all","Female","LPM","weekdayThursday",0.000216280956819354,1.10168137887875e-06,196.318972949762,0,NA,NA,3432552779
"2.33","all","4 yr.","mnwk","no","with","all","Female","LPM","weekdayFriday",0.000157107991429395,1.0456465180558e-06,150.249619461757,0,NA,NA,3432552779
"2.34","all","4 yr.","mnwk","no","with","all","Female","LPM","weekdaySaturday",2.69829617366266e-05,9.07499373471366e-07,29.733311697408,2.85041762510903e-194,NA,NA,3432552779
"2.35","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg1",-7.58713472095234e-06,7.61161917790277e-06,-0.996783278777069,0.318869716401208,NA,NA,3432552779
"2.36","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg2",-2.82918984874497e-05,3.56261314065797e-06,-7.9413333332691,2.00019401779498e-15,NA,NA,3432552779
"2.37","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg3",-3.07483938964818e-05,3.7735737625173e-06,-8.14834844409401,3.68928156765873e-16,NA,NA,3432552779
"2.38","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg4",-1.91254936100835e-05,1.23825561381263e-05,-1.54455133469538,0.122454825293717,NA,NA,3432552779
"2.39","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg5",-1.71090515209859e-05,1.06103587737496e-05,-1.61248567421813,0.106856294941426,NA,NA,3432552779
"2.40","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg6",-5.92326427260085e-05,1.4113658406103e-05,-4.1968312553459,2.70675459506019e-05,NA,NA,3432552779
"2.41","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg7",-3.97984974488182e-05,2.69731452747448e-05,-1.47548597108109,0.140081937293923,NA,NA,3432552779
"2.42","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg8",-5.43800509774678e-05,2.78112242055268e-05,-1.955327481293,0.0505444296189738,NA,NA,3432552779
"2.43","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg9",2.27843145133513e-05,2.67724427265618e-05,0.851036072653403,0.394749314897767,NA,NA,3432552779
"2.44","all","4 yr.","mnwk","no","with","all","Female","LPM","policyTRUE:curr_pts_reg10-150",-0.000234015566667608,2.95557407960385e-05,-7.91777029994034,2.41807616447047e-15,NA,NA,3432552779
