"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"curr_pts_reg4",-1.1659974511253e-13,6.52321236269014e-14,-2.18523863553176e-14,-4.99413786515058e-14,-3.59375783732591e-14,-5.72663022858214e-14,-5.75248787746997e-14,-4.36742180330907e-14,6.04337540625807e-14,6.11276876182915e-14,5.90924098243908e-14,9.22409884522977e-11,5.92883636706969e-14,5.82583143473229e-14,5.99083763613203e-14,5.96830282684828e-14,4.50590528047085e-14,5.27945541346767e-14,2.47236129977163e-14,1.58651019053893e-14,2.15259650958542e-14,3.92545589154698e-14,2.21957164878451e-14,7.15703913302508e-15,4.77047478107086e-15,3.87542644156256e-14,5.76778587905188e-14,4.94855801584907e-14,-6.65870047442255e-14,9.61471089916929e-14,1.16795577614373e-13,1.23005098447679e-13,1.15186719267533e-13,8.00791208640254e-14,9.87493818289085e-15,-6.40293117085054e-14,-6.52048289875458e-14,-6.5553759382698e-14,-9.22458568994695e-11,-6.52860819065131e-14,-6.39840208801633e-14,-6.54144907741663e-14,-6.49156153170158e-14,-6.2867557597875e-14,-6.08375049414058e-14
"curr_pts_reg5",-9.92337434991789e-14,6.52047927320656e-14,-2.3773725818643e-14,-6.49162891554752e-14,-6.94113896985466e-14,-6.6823898733862e-14,-7.13255093545244e-14,-6.03917885142363e-14,6.13253776949048e-14,6.22257415556906e-14,5.99905975292136e-14,5.92883636706974e-14,6.28093647364668e-11,5.97145622297755e-14,6.09079076111308e-14,6.10376085514287e-14,4.59297077628537e-14,5.39944562915499e-14,2.23974631375229e-14,1.47694386137224e-14,1.25626322159125e-14,3.54143265959396e-14,2.12914961710403e-14,1.2246565199776e-14,-1.04051080470303e-15,4.23452586340373e-14,4.30196373015959e-14,4.18877649797105e-14,-8.21228406135115e-14,1.0173657099795e-13,1.11937545887884e-13,1.3712733486297e-13,1.1823964126181e-13,8.53389320067561e-14,8.78598711424008e-15,-6.43042501806424e-14,-6.56977123558182e-14,-6.60385535295e-14,-6.34821110599968e-14,-6.28146896859669e-11,-6.47326025731583e-14,-6.5746317430627e-14,-6.5577571348609e-14,-6.34898888484467e-14,-6.24802638119157e-14
"curr_pts_reg6",-1.18060775643641e-13,6.53322979986936e-14,-1.58380755756517e-14,-6.18384684543002e-14,-7.2803163966347e-14,-8.42020427666692e-14,-7.54500519139421e-14,-7.3089744049699e-14,6.08503041835422e-14,6.21545188909228e-14,5.97426229752557e-14,5.82583143473234e-14,5.97145622297771e-14,1.1234551130345e-10,5.8768830590002e-14,5.9375754236833e-14,4.50964246038118e-14,5.19693058782516e-14,2.94604334442493e-14,2.81298802960492e-14,3.16944505639254e-14,5.02441003514456e-14,3.78513725827483e-14,1.54958852134263e-14,3.1206448093787e-15,4.28951489250339e-14,3.46817030743922e-14,5.25894042468816e-14,-9.38214599054202e-14,1.2168567306349e-13,1.53840077799656e-13,1.702763335467e-13,1.49917110592809e-13,8.8893975786377e-14,1.16640941847211e-14,-6.46639430001805e-14,-6.64431271987146e-14,-6.69802650411682e-14,-6.42630319813717e-14,-6.70680815472475e-14,-1.12352693655055e-10,-6.64797948352774e-14,-6.66581157060196e-14,-6.49475620909336e-14,-6.45350104449714e-14
"curr_pts_reg7",-1.40148687718901e-13,6.45188833421794e-14,-7.14528853306206e-14,-6.08755059810404e-14,-4.63229143489611e-14,-4.33487689207461e-14,-4.68061474634492e-14,-3.66493764086396e-14,6.02740406607813e-14,6.07593339030679e-14,5.86253302958845e-14,5.99083763613207e-14,6.09079076111335e-14,5.87688305900027e-14,4.38942616656332e-10,6.3205926700058e-14,4.44910501800399e-14,5.49538807692528e-14,1.19713148571968e-14,5.5778684420504e-15,-3.78966562646795e-15,4.90012894287489e-14,2.8458127473451e-14,-8.38209301611704e-15,1.28650207819256e-16,4.1390878181811e-14,2.99425609199534e-14,3.16062061505146e-14,-1.29106386570313e-13,1.41871036633969e-13,1.78227621215333e-13,1.77260732346048e-13,1.78423065186796e-13,1.21224557714166e-13,7.01750250744024e-15,-6.24781234027957e-14,-6.37246514232157e-14,-6.38661782317682e-14,-6.11323952110711e-14,-6.34360528815421e-14,-6.04833581155681e-14,-4.38942169669483e-10,-6.28272928042142e-14,-6.02828999053474e-14,-5.42832887128239e-14
"curr_pts_reg8",-1.62470750283894e-13,6.47103910542604e-14,-6.23207155273635e-14,-8.64674724089812e-14,-9.53703038345531e-14,-8.80420641047812e-14,-8.78256760405606e-14,-7.28147863629169e-14,6.09710287183644e-14,6.21208946561493e-14,5.94792345542657e-14,5.96830282684835e-14,6.10376085514306e-14,5.9375754236834e-14,6.32059267000535e-14,4.48517973553376e-10,4.36152262606814e-14,5.26826027241263e-14,7.05812189766298e-14,4.46362932945413e-14,5.9006963216302e-14,6.60419753005764e-14,4.64585237032735e-14,3.47386436022321e-14,1.12419367325646e-14,6.13619549940613e-14,9.59806158840528e-14,6.0847051059445e-14,-9.26039290371837e-14,1.69637870058484e-13,2.12161961572678e-13,2.06438520253732e-13,2.13853913069863e-13,1.37881260076206e-13,3.67928090468926e-14,-6.4041973530201e-14,-6.54551582432208e-14,-6.59591531249795e-14,-6.2933141917031e-14,-6.57582584179702e-14,-6.36753659862306e-14,-6.65508441187141e-14,-4.48521255694835e-10,-6.30326266737508e-14,-5.95008913066715e-14
"curr_pts_reg9",-1.41290339739594e-13,6.65550873094997e-14,-1.11745840262752e-14,1.18550229723746e-14,-2.04610120581173e-15,-1.4605517456279e-14,-4.64126967492204e-14,-1.28465350023562e-13,5.09739316217393e-14,5.27020945815082e-14,5.24473481798667e-14,4.50590528047091e-14,4.5929707762854e-14,4.50964246038144e-14,4.44910501800399e-14,4.36152262606818e-14,3.96780013570589e-10,3.380774978072e-14,1.79828846787059e-14,4.80245932725853e-14,1.78897774035581e-14,3.10682395379112e-14,2.15268437947119e-14,-1.47158050501603e-14,-1.42788690116776e-15,2.39072350969625e-14,3.29990152172645e-14,3.36587042906179e-14,-1.14664857307681e-13,1.01794644194383e-13,1.38969939805127e-13,1.50461084958009e-13,1.50656684106034e-13,9.86604247556869e-14,7.25834120983042e-16,-6.36734911673401e-14,-6.65535302795539e-14,-6.65810314538007e-14,-6.34640469012417e-14,-6.58418175570349e-14,-6.40420481021275e-14,-6.63093707294384e-14,-6.51642445015774e-14,-3.96804007485842e-10,-5.79784095665546e-14
"curr_pts_reg10-150",-1.66225072298148e-13,6.46786324653716e-14,4.74630737818945e-14,-7.04906713911859e-14,-7.11930061245876e-14,-8.6733901509064e-14,-5.52736982739404e-14,-5.97167307480616e-14,5.53913528921249e-14,5.86576237207293e-14,5.52145807063531e-14,5.27945541346718e-14,5.39944562915492e-14,5.19693058782498e-14,5.49538807692506e-14,5.2682602724126e-14,3.38077497807182e-14,5.79435021214407e-10,4.74366292067763e-14,2.63737791924552e-14,2.41544628185175e-14,4.08117360640061e-14,5.91373238513577e-15,1.4434670790302e-14,2.0295866371292e-15,5.86566371042947e-14,6.35130916739388e-14,8.7768167241248e-14,-2.09907259267265e-13,1.64499601246263e-13,2.13741126762692e-13,2.58596462558851e-13,2.2702913649928e-13,1.37712791705876e-13,1.37386795791328e-14,-6.28885522594888e-14,-6.58305215600529e-14,-6.6988458632413e-14,-6.23251370379408e-14,-6.68323218017918e-14,-6.46954608133929e-14,-6.87346534487996e-14,-6.74680598969241e-14,-6.51601127363872e-14,-5.79457548558212e-10
"month02",-4.14592473756284e-13,6.08363187473311e-15,-3.81112761777821e-15,-3.63814958551176e-15,-2.57064187133314e-15,-5.41416486524013e-15,-8.37885537711591e-15,-9.85049222460572e-15,-2.59632729792792e-15,9.31845258557868e-15,1.47839568227335e-14,2.47236129977127e-14,2.23974631375264e-14,2.94604334442508e-14,1.19713148571974e-14,7.05812189766266e-14,1.79828846787032e-14,4.74366292067795e-14,9.66683432264097e-13,4.04508299787859e-13,4.04755362243798e-13,4.04564587135852e-13,4.04567772232537e-13,4.04577616311447e-13,4.04633073294923e-13,4.04568867260041e-13,4.04370735043956e-13,4.04571285493439e-13,4.04482895893722e-13,1.36625816015413e-14,1.37679368715904e-14,1.06862799609722e-14,1.00682491484452e-14,1.08524193051664e-14,7.28568527583659e-15,2.24487242353454e-14,1.40267428833496e-14,1.66517901709451e-14,2.87052988476333e-14,1.52730739169106e-14,2.94621239136223e-14,6.25585839320149e-14,-2.97426895341684e-16,4.32993028454132e-14,4.14308653751759e-14
"month03",-4.11921711581302e-13,8.35163626049071e-15,-6.37737583507045e-15,-9.67960644934244e-15,-9.85227668413121e-15,-1.28691548395228e-14,-1.54116366646101e-14,-1.78665555392559e-14,5.37956033597304e-15,6.24695339801243e-15,1.27323748817825e-14,1.58651019053875e-14,1.47694386137243e-14,2.81298802960485e-14,5.57786844205075e-15,4.46362932945412e-14,4.80245932725845e-14,2.63737791924543e-14,4.0450829978786e-13,9.52408695535932e-13,4.04973401253185e-13,4.04604690606e-13,4.04708374643221e-13,4.04743979912934e-13,4.04691044232045e-13,4.04800276795119e-13,4.04423171056946e-13,4.04680674801975e-13,4.04675505371939e-13,7.28126059957e-15,1.45694011358983e-14,1.48273084216134e-14,1.69440629969508e-14,2.00889878376692e-14,6.12659819527438e-15,2.83174692092761e-14,2.86901445008487e-14,3.04525944205067e-14,4.96285478150053e-14,5.38076226449251e-14,5.06730811398008e-14,1.09117797176401e-13,5.01255175324048e-14,5.45195016362068e-14,8.03309823334828e-14
"month04",-4.38581584317416e-13,1.08604973385984e-14,1.31059967753145e-14,1.30661184654471e-14,1.07658755735347e-14,1.22536798534267e-14,1.15640595180594e-14,1.14441795575345e-14,-3.80885786962115e-16,1.03322387431089e-14,1.21643241547494e-14,2.15259650958502e-14,1.25626322159149e-14,3.16944505639246e-14,-3.78966562646699e-15,5.90069632163006e-14,1.78897774035578e-14,2.41544628185177e-14,4.04755362243801e-13,4.04973401253187e-13,9.59961330043523e-13,4.04721589732425e-13,4.04656710645124e-13,4.04712742932298e-13,4.04634073233891e-13,4.04907185965636e-13,4.04657132952836e-13,4.04925824653209e-13,4.04380451871878e-13,1.50080612685155e-14,1.35181150814615e-14,1.75915309722409e-14,1.73692558893558e-14,2.45081428312583e-14,9.66463852478883e-15,3.72746261298656e-14,2.54494556175387e-14,3.41069236669218e-14,5.14372297679062e-14,5.79144217204491e-14,6.19757148227406e-14,1.27719924708006e-13,5.87880148925941e-14,1.12072544643744e-13,1.27399706301513e-13
