"","(Intercept)","policyTRUE","age_grp20-24","age_grp25-34","age_grp35-44","age_grp45-54","age_grp55-64","age_grp65-199","curr_pts_reg1","curr_pts_reg2","curr_pts_reg3","curr_pts_reg4","curr_pts_reg5","curr_pts_reg6","curr_pts_reg7","curr_pts_reg8","curr_pts_reg9","curr_pts_reg10-150","month02","month03","month04","month05","month06","month07","month08","month09","month10","month11","month12","weekdayMonday","weekdayTuesday","weekdayWednesday","weekdayThursday","weekdayFriday","weekdaySaturday","policyTRUE:age_grp20-24","policyTRUE:age_grp25-34","policyTRUE:age_grp35-44","policyTRUE:age_grp45-54","policyTRUE:age_grp55-64","policyTRUE:age_grp65-199","policyTRUE:curr_pts_reg1","policyTRUE:curr_pts_reg2","policyTRUE:curr_pts_reg3","policyTRUE:curr_pts_reg4","policyTRUE:curr_pts_reg5","policyTRUE:curr_pts_reg6","policyTRUE:curr_pts_reg7","policyTRUE:curr_pts_reg8","policyTRUE:curr_pts_reg9","policyTRUE:curr_pts_reg10-150"
"month12",-3.99060613671598e-13,-1.19585643959412e-14,-8.45100287389232e-15,-5.12215055579074e-15,-4.28259449948797e-15,-9.86548250375819e-16,2.22860034745712e-15,6.58795240958573e-15,-3.99392948569307e-14,-4.13715021377488e-14,-4.45757475912395e-14,-6.62768756362256e-14,-8.178299151482e-14,-9.34844266011306e-14,-1.28743764894748e-13,-9.22294587642352e-14,-1.14416548699304e-13,-2.09539110926649e-13,4.04482099726777e-13,4.04674865101973e-13,4.04382055353541e-13,4.04252931607617e-13,4.04150683754523e-13,4.04424052515316e-13,4.04294516836074e-13,4.04384861000686e-13,4.04450615800569e-13,4.04476602927283e-13,6.35162410060577e-13,-8.51513798306214e-16,-3.03360111995122e-15,-7.48659136350085e-15,-3.21395507551045e-15,8.64687320370459e-15,5.32815704888096e-15,1.54826480030065e-14,1.62389609852363e-14,1.50325443713881e-14,1.54748499579336e-14,1.50940319767207e-14,1.32847241876073e-14,1.37839862697321e-14,1.0849339093224e-14,1.69243601430135e-14,1.90096267616958e-14,2.29867304543095e-14,2.76743167461011e-14,6.02038504732907e-14,-3.51630952677113e-15,5.20565772109548e-14,1.02975133065395e-13
"weekdayMonday",-1.93057972503353e-13,1.4490408050191e-14,1.17982102208314e-14,1.29834351214262e-14,1.55556948074295e-14,1.12957756998123e-14,9.08614584719602e-15,5.12695107999363e-15,3.3193815679522e-14,5.08804685892899e-14,5.16024635313053e-14,9.61489848502731e-14,1.01703225194507e-13,1.21633542606958e-13,1.41952633529912e-13,1.69675121104771e-13,1.01800672204044e-13,1.64661440786523e-13,1.36625644691081e-14,7.28124016481644e-15,1.50082580644226e-14,1.33388536288999e-14,1.0763837426806e-14,7.5187406044471e-15,1.12763587473599e-14,1.76141187428562e-14,1.10414043649289e-14,1.72220697789624e-14,-8.51513798307666e-16,4.75405273324573e-13,1.6465241678502e-13,1.64640635637084e-13,1.64562649283235e-13,1.64578626258822e-13,1.64636577012309e-13,-1.10124573933375e-14,-1.31083371200172e-14,-1.45278336923329e-14,-1.50551076020142e-14,-1.538111344132e-14,-1.57273632019376e-14,8.58034825968225e-15,-6.49928440407098e-15,-8.34157346051578e-16,-1.42726129548791e-14,-2.44884592152073e-15,-1.27761480143386e-14,-2.38472290293404e-14,-2.61417196170769e-14,-4.02284407167423e-15,-5.72222296915464e-16
"weekdayTuesday",-1.98870076522558e-13,1.75261346036878e-14,1.11343111929628e-14,1.68085387956238e-14,2.08392711397434e-14,1.64616685451204e-14,1.22513237694556e-14,8.41425377493037e-15,4.37468689709924e-14,6.31103203641068e-14,6.71054902919489e-14,1.16875469478894e-13,1.11976762419094e-13,1.5385138076773e-13,1.78428843251556e-13,2.12303894253524e-13,1.39033584709379e-13,2.140462829713e-13,1.37677753339811e-14,1.45692125527572e-14,1.3518863051345e-14,1.27544981769092e-14,1.25804617729677e-14,1.00593139545964e-14,1.32687938952755e-14,1.80869532036122e-14,3.55071944533207e-15,1.59564915442923e-14,-3.03360111995423e-15,1.64652416785019e-13,5.22641347720772e-13,1.64722838674417e-13,1.646278452998e-13,1.64658484410163e-13,1.64648302706604e-13,-1.40356537626821e-14,-1.60998395589469e-14,-1.73773966661677e-14,-1.93525939893084e-14,-1.94323246890125e-14,-2.07436630026778e-14,9.5116460802611e-15,-1.16620608493172e-15,1.55374160897508e-15,-6.61546052015676e-15,2.17243312340496e-14,-7.61154185459025e-15,8.75842550358895e-15,-2.24275587539956e-14,7.91287166473286e-15,8.23428818281973e-15
"weekdayWednesday",-2.03046360581308e-13,2.03510041543721e-14,1.27566867877582e-14,1.83760988994268e-14,2.39516795177893e-14,1.88880454856155e-14,1.56003448312705e-14,9.95315927071052e-15,4.63065628560092e-14,6.79381286019064e-14,7.65363202959652e-14,1.23092036358115e-13,1.37171244269875e-13,1.70287570475111e-13,1.77480297983352e-13,2.06596881917145e-13,1.50527528514078e-13,2.58935206606113e-13,1.06861809870001e-14,1.48271643764608e-14,1.7591844851296e-14,1.15080151658604e-14,1.92764388045239e-14,1.06085166028546e-14,1.08606752931492e-14,2.45931849034794e-14,7.65427391016377e-15,1.88068619364407e-14,-7.48659136350255e-15,1.64640635637084e-13,1.64722838674417e-13,5.40098908045877e-13,1.64704655185573e-13,1.6467074769897e-13,1.6465630003902e-13,-1.81472538079269e-14,-1.78728336356114e-14,-2.03610916171449e-14,-2.26605859674541e-14,-2.33495623306527e-14,-2.35207602161577e-14,1.67286024787527e-15,-3.74934302986311e-15,4.63123795045781e-16,1.22438149714791e-15,9.67929732283918e-15,-1.23832829707921e-14,1.5545889663025e-14,-1.09198539708918e-14,1.61690738669582e-15,-2.5502926917179e-14
"weekdayThursday",-1.9781871947242e-13,1.51005483582972e-14,9.33060334297634e-15,1.61642277153005e-14,2.10423084835377e-14,1.62854269919792e-14,1.21233882441471e-14,7.56855441181266e-15,4.33885294322001e-14,6.51805375754917e-14,6.98596778925656e-14,1.15215054806769e-13,1.18231994994968e-13,1.49882219389219e-13,1.78557592806334e-13,2.1393307568787e-13,1.50704637702999e-13,2.27264436650276e-13,1.00680998974684e-14,1.69437967999767e-14,1.73697804647132e-14,1.13135072663597e-14,1.42603123390967e-14,8.92710091484097e-15,9.63331984726711e-15,2.20865226649652e-14,7.13210335041308e-15,8.84353288786928e-15,-3.21395507550991e-15,1.64562649283235e-13,1.64627845299802e-13,1.64704655185574e-13,5.19893543279213e-13,1.64674373759823e-13,1.646199197443e-13,-1.24696156759738e-14,-1.45422538485157e-14,-1.57381412425289e-14,-1.81007363839884e-14,-1.71220925537587e-14,-1.7777251231602e-14,1.87700222611149e-15,-8.11227661529997e-15,-4.39153919908721e-15,-5.38128668195042e-15,3.25952105936907e-15,-1.41791506824833e-14,-1.89551854475859e-14,-4.66415549422968e-14,-2.12926766715227e-14,-1.81766742151603e-14
"weekdayFriday",-1.95742599279367e-13,1.38127894864265e-14,7.34074756337414e-15,1.03466453188885e-14,1.37934943870888e-14,9.94940715607438e-15,6.98717262224456e-15,2.49598111052723e-15,2.77900677191808e-14,4.35924869735775e-14,4.59969591341999e-14,8.01137091190879e-14,8.53459913082545e-14,8.88866080263816e-14,1.2132689925148e-13,1.3794932444313e-13,9.86797219585856e-14,1.3787159190187e-13,1.08523066499009e-14,2.00888721463133e-14,2.45078201160231e-14,1.72608406156147e-14,1.42161008939087e-14,1.71034733456485e-14,1.35589332365412e-14,2.13916875372722e-14,1.47109963478854e-14,2.21724978877815e-14,8.64687320370436e-15,1.64578626258822e-13,1.64658484410164e-13,1.64670747698971e-13,1.64674373759823e-13,4.6834336985067e-13,1.64726358267227e-13,-1.20627745448886e-14,-1.16217686706475e-14,-1.28666569880492e-14,-1.36025576178291e-14,-1.53722507707738e-14,-1.45229822077981e-14,1.09664750633282e-14,4.41507956291174e-16,3.31581807200286e-15,2.5737169988943e-15,4.17313137199406e-15,8.32908591511574e-15,1.40044090775951e-14,-2.18122214843425e-14,1.53708725659634e-14,2.4551249824387e-14
"weekdaySaturday",-1.73618802877403e-13,4.27208228962776e-15,8.46973602592433e-16,2.98287838295401e-15,3.44220455330419e-15,2.27380954705214e-15,1.34396073291586e-15,-1.17666098346172e-16,-5.42756387563359e-16,5.4052379531994e-15,7.5395429067429e-15,9.84751203014514e-15,8.75060882032359e-15,1.16286269076327e-14,6.99645870594335e-15,3.67628572531529e-14,7.04374695265629e-16,1.37192425485116e-14,7.28569975972038e-15,6.12665328355149e-15,9.66463267764411e-15,3.75169290812838e-15,6.233658428942e-15,7.983258285307e-15,6.26655997943712e-15,3.55161271219988e-15,3.45243868231094e-15,8.73408475746972e-15,5.32815704888045e-15,1.6463657701231e-13,1.64648302706605e-13,1.64656300039021e-13,1.646199197443e-13,1.64726358267227e-13,3.5272758015427e-13,-3.1660832495496e-15,-3.8439608539349e-15,-3.35916735485677e-15,-3.53443978503704e-15,-4.1810193704015e-15,-3.55889045618381e-15,8.30764830299523e-15,2.00617152179211e-15,-6.66389631691079e-16,1.30835380422428e-15,5.56376589725492e-15,2.40550649024231e-15,1.16718480492029e-14,-4.02796529584229e-14,3.46008492168657e-15,2.79432907077744e-14
"policyTRUE:age_grp20-24",1.31790027129009e-12,-5.67273382861797e-12,-3.0667848576937e-12,-1.26847080306467e-12,-1.27275364038614e-12,-1.2818945400606e-12,-1.29060273236742e-12,-1.2978346894151e-12,4.59753123457141e-16,1.24791769990098e-14,-9.11035285267075e-15,-3.30746813972521e-15,-4.47811747991373e-15,-2.09285427566376e-14,8.83552989818896e-14,7.08195107991429e-14,-2.72144566602986e-14,-1.51554896099497e-13,-9.09293455759552e-15,-1.66135500878161e-14,1.47516333389116e-14,7.2652104179144e-15,-1.82439385092091e-15,1.80892484733548e-15,-2.62100882880604e-15,-1.00595000708806e-14,-1.13529131052967e-14,-1.09779930691456e-14,1.54826480030078e-14,-1.10124573933312e-14,-1.40356537626946e-14,-1.81472538079272e-14,-1.24696156759691e-14,-1.2062774544875e-14,-3.16608324955639e-15,9.44503438455219e-12,5.62004107473805e-12,5.62606691168600e-12,5.64086292515064e-12,5.65306899411856e-12,5.66305269554822e-12,-5.93101123704481e-14,-4.42243490454416e-14,7.57708123563422e-16,-3.10864292768304e-14,-8.82219762383989e-14,-8.93069349266451e-14,-2.0884284379605e-13,-2.18091876933505e-13,1.22924401086052e-13,6.27154074152079e-14
"policyTRUE:age_grp25-34",1.3195905363029e-12,-5.65723559933469e-12,-1.26844842225524e-12,-1.84640333858343e-12,-1.27951608150428e-12,-1.28691569322337e-12,-1.29395345424565e-12,-1.29948251053059e-12,9.67375819572652e-14,6.10961428288865e-14,3.98023609350738e-14,5.56221081034909e-14,8.01875222203099e-14,7.32176892466475e-14,7.25710028881152e-14,1.23401214521529e-13,-6.92602244875983e-14,9.26687735016297e-14,-6.69201050885035e-15,-1.74638430767062e-14,5.60160145704788e-15,-2.69211448851642e-15,-5.88859673308393e-15,-1.67882004593771e-15,-6.02688218367085e-15,-1.52956778505474e-14,-9.78337696929177e-15,-8.95769699439694e-15,1.62389609852449e-14,-1.31083371200055e-14,-1.60998395589529e-14,-1.78728336356079e-14,-1.45422538485059e-14,-1.16217686706294e-14,-3.84396085393762e-15,5.62004107473828e-12,6.78733822093215e-12,5.63235644372665e-12,5.64060369154017e-12,5.6479688848396e-12,5.6535408786071e-12,-1.81001501634261e-13,-1.12020748615991e-13,-5.55308922468669e-14,-1.111593229931e-13,-1.67030320047763e-13,-1.74807989052301e-13,-1.76455201444253e-13,-2.69868885267651e-13,1.49487178192813e-13,-1.37061929586781e-13
"policyTRUE:age_grp35-44",1.32063950925117e-12,-5.65359746104831e-12,-1.27269051328896e-12,-1.27950126263181e-12,-1.74309029587854e-12,-1.28865867373607e-12,-1.29486439780996e-12,-1.29967804496615e-12,8.52072490023676e-14,7.46153366541331e-14,4.31652995865241e-14,2.75141348814485e-14,8.84267562634269e-14,9.44373942973493e-14,4.29487226095565e-14,1.40402556232771e-13,-4.06442857134725e-14,9.37792378980456e-14,-9.6406511163144e-15,-2.01385400576419e-14,4.60896012982853e-15,-2.98693082082509e-15,-7.23234892197039e-15,-4.32718153186489e-16,-6.89132165841277e-15,-1.30932702790873e-14,-8.6620236364849e-15,-1.19218061427387e-14,1.50325443713872e-14,-1.45278336923305e-14,-1.73773966661826e-14,-2.03610916171534e-14,-1.57381412425298e-14,-1.28666569880387e-14,-3.35916735486811e-15,5.62606691168614e-12,5.63235644372656e-12,6.61054036968474e-12,5.64125674118642e-12,5.64715069251431e-12,5.65145057501838e-12,-1.78981446962574e-13,-1.30832324032221e-13,-6.71023104888988e-14,-7.42297506953802e-14,-1.82354253601536e-13,-2.10036835491171e-13,-1.44642019110069e-13,-3.03260012270108e-13,1.1938832930019e-13,-1.12624140167427e-13
