"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"1.38","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg4",-0.000126975718784095,9.73558027818443e-06,-13.0424397063032,7.0175128157673e-39,NA,NA,4351027460
"1.39","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg5",-0.000150683105501161,7.63807241257412e-06,-19.7278969564494,1.24233089258823e-86,NA,NA,4351027460
"1.40","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg6",-0.000181462134923588,9.26344328128526e-06,-19.5890587779808,1.91703120340263e-85,NA,NA,4351027460
"1.41","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg7",-0.000161039566667837,1.59532241247595e-05,-10.0944840621841,5.84375922800729e-24,NA,NA,4351027460
"1.42","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg8",-0.000227739404561005,1.55305232899642e-05,-14.6639878327969,1.09640203182438e-48,NA,NA,4351027460
"1.43","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg9",-0.000145572792299519,1.7081011931729e-05,-8.52249227864006,1.56156113663112e-17,NA,NA,4351027460
"1.44","all","4 yr.","mnwk","no","with","all","Male","LPM","policyTRUE:curr_pts_reg10-150",-0.000571791768342289,1.31444079943897e-05,-43.5007623459606,0,NA,NA,4351027460
"2","all","4 yr.","mnwk","with","with","all","Male","LPM","(Intercept)",-3.65617353590225e-05,2.05864018763565e-06,-17.760138745282,1.43879308528883e-70,NA,NA,4351027460
"2.1","all","4 yr.","mnwk","with","with","all","Male","LPM","policyTRUE",0.000347982348035885,2.7408499347797e-06,126.961474110714,0,NA,NA,4351027460
"2.2","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp20-24",0.000497306076400889,2.9224806774388e-06,170.165736334899,0,NA,NA,4351027460
"2.3","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp25-34",0.000291749563651683,2.02033034770732e-06,144.406860978335,0,NA,NA,4351027460
"2.4","all","4 yr.","mnwk","with","with","all","Male","LPM","age_grp35-44",0.000274156815604498,2.03059898345903e-06,135.01278087783,0,NA,NA,4351027460
