"","past_pts","window","seasonality","age_int","pts_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"8.22","all","Placebo","mnwk","with","no","all","Female","Logit","month12",-0.544745233900219,0.00803640221056702,-67.7847150537011,0,NA,NA,1793920694
"8.23","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayMonday",0.622143395422362,0.00580776677149409,107.122654868992,0,NA,NA,1793920694
"8.24","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayTuesday",0.750516775726612,0.00569324599584783,131.825811896056,0,NA,NA,1793920694
"8.25","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayWednesday",0.803047037544131,0.00564758954043597,142.192882785554,0,NA,NA,1793920694
"8.26","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayThursday",0.757965372818495,0.00568611753233357,133.301038627569,0,NA,NA,1793920694
"8.27","all","Placebo","mnwk","with","no","all","Female","Logit","weekdayFriday",0.574847565278979,0.00586643671135274,97.9892213217835,0,NA,NA,1793920694
"8.28","all","Placebo","mnwk","with","no","all","Female","Logit","weekdaySaturday",0.113347518196277,0.00644680365662422,17.5819715061138,3.38595446728402e-69,NA,NA,1793920694
"8.29","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp20-24",-0.895123702913859,0.0259773891249879,-34.4578009209106,3.44090599345521e-260,-28.0960416793659,-91.9370884597083,1793920694
"8.30","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp25-34",-0.945098457676487,0.0252233216197902,-37.4692307350577,2.92114353155276e-307,-25.478926595846,-82.9300567075469,1793920694
"8.31","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp35-44",-0.937073094233552,0.025193003603274,-37.1957670863737,7.98872199105011e-303,-23.4430213347478,-77.942441328718,1793920694
"8.32","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp45-54",-0.967603241786568,0.0252636146246387,-38.3002692276227,0,-18.4534433377384,-65.0395288569602,1793920694
"8.33","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp55-64",-0.974912255414587,0.025831421770875,-37.7413316255709,0,-13.1901018121441,-49.6391798175233,1793920694
"8.34","all","Placebo","mnwk","with","no","all","Female","Logit","policyTRUE:age_grp65-199",-0.981826915639994,0.0272243023258062,-36.0643554383875,8.21548824088793e-285,-8.20775091176618,-32.9819637088639,1793920694
