"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER","N"
"51.1","all","4 yr.","mnwk","no","1","Female","Logit","policyTRUE",0.232361479630836,0.00620247648010548,37.4626941958004,3.73238378078464e-307,0.677581960034322,2.64911931788273,3642166888
"51.2","all","4 yr.","mnwk","no","1","Female","Logit","age_grp20-24",0.0510305669392921,0.017259300105769,2.95669967070303,0.00310950828701371,0.198992239413535,0.503865031799656,3642166888
"51.3","all","4 yr.","mnwk","no","1","Female","Logit","age_grp25-34",-0.0633303531398616,0.0158169551405036,-4.00395351553391,6.2292609923046e-05,-0.227461359675697,-0.590599103461633,3642166888
"51.4","all","4 yr.","mnwk","no","1","Female","Logit","age_grp35-44",-0.121056852501753,0.0157870864198438,-7.66809335695968,1.74571812644595e-14,-0.417237330155553,-1.09731137831145,3642166888
"51.5","all","4 yr.","mnwk","no","1","Female","Logit","age_grp45-54",-0.350667667159099,0.0159320300359385,-22.0102313621104,2.29816328873523e-107,-1.01087537313969,-2.84670339015333,3642166888
"51.6","all","4 yr.","mnwk","no","1","Female","Logit","age_grp55-64",-0.633608524837375,0.0170889207636586,-37.0771527119963,6.55985152253333e-301,-1.50276016693745,-4.51702547192354,3642166888
"51.7","all","4 yr.","mnwk","no","1","Female","Logit","age_grp65-199",-1.1059606654967,0.0199395574782079,-55.4656574853986,0,-2.01461718643734,-6.43993353420001,3642166888
"51.8","all","4 yr.","mnwk","no","1","Female","Logit","curr_pts_grp1-3",0.889454382736802,0.00734822195557697,121.043483459525,0,NA,NA,3642166888
"51.9","all","4 yr.","mnwk","no","1","Female","Logit","curr_pts_grp4-6",1.26331194522191,0.0116118957270396,108.79463396146,0,NA,NA,3642166888
"51.10","all","4 yr.","mnwk","no","1","Female","Logit","curr_pts_grp7-9",1.5136522094655,0.0188515495089688,80.2932516897546,0,NA,NA,3642166888
"51.11","all","4 yr.","mnwk","no","1","Female","Logit","curr_pts_grp10-150",1.94868824618297,0.0229428834548322,84.9365011167569,0,NA,NA,3642166888
"51.12","all","4 yr.","mnwk","no","1","Female","Logit","month02",0.292561304147445,0.0161980495330075,18.061514354014,6.40413818354731e-73,NA,NA,3642166888
"51.13","all","4 yr.","mnwk","no","1","Female","Logit","month03",0.409700030209788,0.0154873396736447,26.4538674067431,3.29345222225594e-154,NA,NA,3642166888
"51.14","all","4 yr.","mnwk","no","1","Female","Logit","month04",0.319499916113846,0.0159741164024094,20.0011010352757,5.38700189724843e-89,NA,NA,3642166888
"51.15","all","4 yr.","mnwk","no","1","Female","Logit","month05",0.396334729234327,0.0156044279355685,25.3988631221096,2.59586374430628e-142,NA,NA,3642166888
"51.16","all","4 yr.","mnwk","no","1","Female","Logit","month06",0.361353568615303,0.0158222679393459,22.8382915774488,1.91050298624349e-115,NA,NA,3642166888
"51.17","all","4 yr.","mnwk","no","1","Female","Logit","month07",0.194708880375954,0.0162559154168328,11.977724747161,4.64908388817309e-33,NA,NA,3642166888
"51.18","all","4 yr.","mnwk","no","1","Female","Logit","month08",0.178411526122895,0.0163559512070151,10.9080495450716,1.05495488360142e-27,NA,NA,3642166888
"51.19","all","4 yr.","mnwk","no","1","Female","Logit","month09",0.615485981924884,0.0150279984413049,40.9559519405594,0,NA,NA,3642166888
"51.20","all","4 yr.","mnwk","no","1","Female","Logit","month10",0.412051915850774,0.0154894330312119,26.602130305252,6.41356541037903e-156,NA,NA,3642166888
"51.21","all","4 yr.","mnwk","no","1","Female","Logit","month11",0.344064156088199,0.0158515742168183,21.7053619648169,1.8258005344126e-104,NA,NA,3642166888
"51.22","all","4 yr.","mnwk","no","1","Female","Logit","month12",-0.503091986013575,0.0195703454744541,-25.7068525780641,9.7985298351746e-146,NA,NA,3642166888
"51.23","all","4 yr.","mnwk","no","1","Female","Logit","weekdayMonday",0.785535370657487,0.0137427957916958,57.1597935794226,0,NA,NA,3642166888
"51.24","all","4 yr.","mnwk","no","1","Female","Logit","weekdayTuesday",0.916760601760969,0.0134745142013544,68.0366347952506,0,NA,NA,3642166888
"51.25","all","4 yr.","mnwk","no","1","Female","Logit","weekdayWednesday",0.961615667761571,0.0133952469832299,71.787826604874,0,NA,NA,3642166888
"51.26","all","4 yr.","mnwk","no","1","Female","Logit","weekdayThursday",0.890838629381403,0.0135394386833533,65.7958317339023,0,NA,NA,3642166888
"51.27","all","4 yr.","mnwk","no","1","Female","Logit","weekdayFriday",0.698871481015812,0.0139459403614385,50.1128975818829,0,NA,NA,3642166888
"51.28","all","4 yr.","mnwk","no","1","Female","Logit","weekdaySaturday",0.143975746062111,0.0155601075429011,9.25287602705521,2.18531829771915e-20,NA,NA,3642166888
"53","all","4 yr.","mnwk","no","2","Female","Logit","(Intercept)",-9.98286108412027,0.0103626096419852,-963.353964784478,0,NA,NA,3642166888
"53.1","all","4 yr.","mnwk","no","2","Female","Logit","policyTRUE",0.0514330355441466,0.00275432777621381,18.673534787079,8.12902018247071e-78,0.75128891292486,3.06611391876275,3642166888
"53.2","all","4 yr.","mnwk","no","2","Female","Logit","age_grp20-24",0.226530567435051,0.00860821332114296,26.3156312447161,1.27038109570623e-152,4.15970261962826,11.7776527147307,3642166888
"53.3","all","4 yr.","mnwk","no","2","Female","Logit","age_grp25-34",0.176263669430423,0.00795355120060103,22.1616313247727,8.05782762475102e-109,3.07611539332523,8.92946958440191,3642166888
"53.4","all","4 yr.","mnwk","no","2","Female","Logit","age_grp35-44",0.159170588541884,0.00792028806706686,20.0965655786849,7.90806531341011e-90,2.71873376134323,7.99308307384275,3642166888
"53.5","all","4 yr.","mnwk","no","2","Female","Logit","age_grp45-54",-0.0582119522504764,0.00797151275709634,-7.30249753394115,2.82474488338346e-13,-0.828703552503257,-2.62004482893489,3642166888
"53.6","all","4 yr.","mnwk","no","2","Female","Logit","age_grp55-64",-0.367987609647635,0.00844975214136728,-43.5501069724975,0,-4.20722475706786,-14.2659191395662,3642166888
"53.7","all","4 yr.","mnwk","no","2","Female","Logit","age_grp65-199",-0.888405385793527,0.00971889519316934,-91.4101210205373,0,-7.53048912522675,-27.2815335864429,3642166888
"53.8","all","4 yr.","mnwk","no","2","Female","Logit","curr_pts_grp1-3",0.920654764564959,0.00328987476255209,279.84492754696,0,NA,NA,3642166888
"53.9","all","4 yr.","mnwk","no","2","Female","Logit","curr_pts_grp4-6",1.39990738444437,0.00497293385489464,281.505329709243,0,NA,NA,3642166888
"53.10","all","4 yr.","mnwk","no","2","Female","Logit","curr_pts_grp7-9",1.61628069905921,0.00818953809551605,197.359201484655,0,NA,NA,3642166888
"53.11","all","4 yr.","mnwk","no","2","Female","Logit","curr_pts_grp10-150",1.76885123796039,0.0115255612660226,153.472025971955,0,NA,NA,3642166888
"53.12","all","4 yr.","mnwk","no","2","Female","Logit","month02",0.285038148904491,0.00719657783788684,39.6074572283356,0,NA,NA,3642166888
"53.13","all","4 yr.","mnwk","no","2","Female","Logit","month03",0.402189675739044,0.00688201144792323,58.4407158840766,0,NA,NA,3642166888
"53.14","all","4 yr.","mnwk","no","2","Female","Logit","month04",0.378680147655414,0.00700103495018732,54.0891668660048,0,NA,NA,3642166888
"53.15","all","4 yr.","mnwk","no","2","Female","Logit","month05",0.403374699703035,0.00691049854235919,58.3712878644679,0,NA,NA,3642166888
"53.16","all","4 yr.","mnwk","no","2","Female","Logit","month06",0.308391037870531,0.00710040948294333,43.4328525152458,0,NA,NA,3642166888
"53.17","all","4 yr.","mnwk","no","2","Female","Logit","month07",0.19125413873054,0.00722165753719749,26.4834129485403,1.50500003965184e-154,NA,NA,3642166888
"53.18","all","4 yr.","mnwk","no","2","Female","Logit","month08",0.111219952584015,0.00736762276976889,15.0957718737144,1.72655546524719e-51,NA,NA,3642166888
"53.19","all","4 yr.","mnwk","no","2","Female","Logit","month09",0.466735276700545,0.00685924229708681,68.0447280450747,0,NA,NA,3642166888
"53.20","all","4 yr.","mnwk","no","2","Female","Logit","month10",0.417714430226175,0.00686461617146638,60.8503694587406,0,NA,NA,3642166888
"53.21","all","4 yr.","mnwk","no","2","Female","Logit","month11",0.391348022986345,0.00696049596272647,56.2241577442209,0,NA,NA,3642166888
"53.22","all","4 yr.","mnwk","no","2","Female","Logit","month12",-0.616842917609131,0.0090106457941385,-68.4571263483015,0,NA,NA,3642166888
